ori9,ori7,state_fips,state_abbr,agency_name_raw,agency_name_std,agency_type_raw,agency_type_norm,source_presence_srs,source_presence_nibrs,srs_years,nibrs_years,srs_year_count,nibrs_year_count,latest_srs_year,latest_nibrs_year,latest_srs_part1_total,latest_srs_months_reported,latest_srs_months_missing,population_latest_nibrs,name_alias_group,manual_review_flag
CA0349950,CA03499,06,CA,Highway Patrol: North Sacramento Area Office,HIGHWAY PATROL NORTH SACRAMENTO AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL NORTH SACRAMENTO AREA OFFICE,False
CA0349952,CA03499,06,CA,Highway Patrol: South Sacramento Area Office,HIGHWAY PATROL SOUTH SACRAMENTO AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SOUTH SACRAMENTO AREA OFFICE,False
CA0079920,CA00799,06,CA,Highway Patrol: Contra Costa Area Office,HIGHWAY PATROL CONTRA COSTA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL CONTRA COSTA AREA OFFICE,False
CA0019970,CA00199,06,CA,Highway Patrol: Oakland Area Office,HIGHWAY PATROL OAKLAND AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL OAKLAND AREA OFFICE,False
CA0509965,CA05099,06,CA,Highway Patrol: Modesto Area Office,HIGHWAY PATROL MODESTO AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL MODESTO AREA OFFICE,False
CA028090X,CA02809,06,CA,American Canyon Police Department,AMERICAN CANYON POLICE DEPARTMENT,City,local_police,False,True,,2024,,1,,2024,,,,,AMERICAN CANYON POLICE DEPARTMENT,False
CA0399965,CA03999,06,CA,Highway Patrol: Stockton Area Office,HIGHWAY PATROL STOCKTON AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL STOCKTON AREA OFFICE,False
CA0549980,CA05499,06,CA,Highway Patrol: Visalia Area Office,HIGHWAY PATROL VISALIA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL VISALIA AREA OFFICE,False
CA0179951,CA01799,06,CA,Highway Patrol: Clear Lake Area Office,HIGHWAY PATROL CLEAR LAKE AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL CLEAR LAKE AREA OFFICE,False
CA0449920,CA04499,06,CA,Highway Patrol: Santa Cruz Area Office,HIGHWAY PATROL SANTA CRUZ AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SANTA CRUZ AREA OFFICE,False
CA0019945,CA00199,06,CA,Highway Patrol: Hayward Area Office,HIGHWAY PATROL HAYWARD AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL HAYWARD AREA OFFICE,False
