city_key,jurisdiction_id,city_name,state_abbr,source_name,source_url,portal_type,coverage_start_year,coverage_end_year,years_usable,offense_fields_present,date_field,location_fields_present,latlon_present,address_present,block_group_join_ready,geocode_quality_tier,dedupe_key_available,offense_crosswalk_complexity,recommended_disposition,analyst_notes
new_york,36:municipal:place:3651000,New York,NY,NYPD Complaint Data Historic + Current feeds,https://data.cityofnewyork.us/api/views/qgea-i56i/rows.csv?accessType=DOWNLOAD ; https://data.cityofnewyork.us/api/views/5uac-w243/rows.csv?accessType=DOWNLOAD,socrata_dual_feed,2007,2025,7,"ofns_desc,pd_desc",cmplnt_fr_dt/cmplnt_fr_tm + cmplnt_to_dt/cmplnt_to_tm midpoint,lat_lon / addr_pct_cd / prem_typ_desc,yes,no,yes,high,yes,medium,ready_now,The 2018-2024 NYC panel is now building cleanly from the cached dual-feed snapshot with stable lat/lon coverage and direct offense crosswalking. A stored reconciliation artifact against the NYPD year-end 2024 public release is now required alongside the share surface.
chicago,17:municipal:place:1714000,Chicago,IL,Chicago Crimes 2001 to Present,https://data.cityofchicago.org/api/views/ijzp-q8t2/rows.csv?accessType=DOWNLOAD,socrata,2001,2025,25,"primary_type,description",date,"latitude,longitude,location_description",yes,no,yes,high,yes,low,ready_now,Cleanest non-NYC first-wave city. Stable single feed with direct coordinates and mature local offense/location crosswalks.
boston,25:municipal:place:2507000,Boston,MA,Boston Police Department Crime Incident Reports (August 2015 - To Date) (Source: New System),https://data.boston.gov/dataset/crime-incident-reports-august-2015-to-date-source-new-system,ckan_multi_resource_csv,2015,2026,6,"offense_code,offense_description,offense_code_group",occurred_on_date with explicit year filter,"lat,long,location,street,district,reporting_area",yes,yes,yes,high,yes,medium,ready_now,"Official Analyze Boston/BPD new-system export is ready for offense-selective onboarding of larceny and motor_vehicle_theft only. Keep the initial live window at 2019-2024 because 2018 needs explicit incident/offense dedupe; keep murder pending policy and leave rape, robbery, aggravated_assault, and burglary blocked by public-feed coverage gaps. The live builder resolves current CKAN resource URLs from Boston package metadata instead of hardcoding rotating temp filenames."
seattle,53:municipal:place:5363000,Seattle,WA,Seattle SPD Crime Data 2008 to Present,https://data.seattle.gov/api/views/tazs-3rd5/rows.csv?accessType=DOWNLOAD,socrata,2008,2025,18,"nibrs_offense_code,nibrs_offense_code_description,offense_category,offense_sub_category",offense_date with report_datetime fallback,"latitude,longitude,beat,precinct,sector,neighborhood,reporting_area,block_address",yes,yes,yes,high,yes,medium,ready_now,Seattle is live offense-selectively after Beat-aware fallback hardening. Promote murder rape robbery burglary larceny and motor_vehicle_theft; keep aggravated_assault blocked because the remaining gap appears methodological rather than a spatial bug.
san_francisco,06:municipal:place:0667000,San Francisco,CA,SFPD incidents early + late feeds,https://data.sfgov.org/api/views/tmnf-yvry/rows.csv?accessType=DOWNLOAD ; https://data.sfgov.org/api/views/wg3w-h783/rows.csv?accessType=DOWNLOAD,socrata_dual_feed,2003,2025,23,"incident_category,incident_description",incident_date + incident_time,"latitude,longitude,address/intersection,police_district",yes,yes,yes,high,yes,medium,ready_now,"Source contract is stable enough for live offense-selective promotion. San Francisco is currently live for robbery, aggravated_assault, burglary, larceny, and motor_vehicle_theft; murder and rape remain blocked by public-feed limits."
austin,48:municipal:place:4805000,Austin,TX,Austin APD Crime Reports,https://data.austintexas.gov/api/views/fdj4-gpfu/rows.csv?accessType=DOWNLOAD,socrata,2003,2025,23,"ucr_category,category_description",occurred_date_time,"census_block_group,location_type",no,no,yes,high,yes,medium,ready_now,"Use the current fdj4-gpfu block-group-centric contract. Austin is now live offense-selectively for robbery burglary larceny and motor_vehicle_theft. Aggravated assault remains blocked because the official APD lookup places the empirically helpful 0903 0909 0911 and 2013 codes under 13B Simple Assault rather than 13A."
mesa,04:municipal:place:0446000,Mesa,AZ,Mesa Police incidents 2020-present,"https://data.mesaaz.gov/resource/hpbg-2wph.csv?$select=crime_id,crime_type,report_date,report_year,occurred_date,verified,address,city,state,nibrs_code,nibrs_description,crime_against,offense_type,location&$where=report_year=%272024%27&$limit=60000",socrata_csv,2020,2025,6,"crime_type,nibrs_code,nibrs_description,crime_against,offense_type",report_year with occurred/report date fallback,"location,address",yes,yes,yes,medium,yes,medium,ready_now,"Mesa is now live offense-selectively for robbery, burglary, larceny, and motor_vehicle_theft under the current 2020-present public feed. Murder and rape remain blocked on location redaction, and aggravated_assault remains blocked on the incident-vs-victim comparability gap."
baltimore,24:municipal:place:2404000,Baltimore,MD,Baltimore legacy SRS Part 1 feed + Baltimore NIBRS Group A companion feed,https://services1.arcgis.com/UWYHeuuJISiGmgXx/arcgis/rest/services/Part1_Crime_Beta/FeatureServer/0 ; https://services1.arcgis.com/UWYHeuuJISiGmgXx/arcgis/rest/services/NIBRS_GroupA_Crime_Data/FeatureServer/0,arcgis_dual_feed,2011,2025,14,"Description,CrimeCode,CCNumber,Total_Incidents,Shooting(nibrs only)",CrimeDateTime,"Latitude,Longitude,GeoLocation,Location,Neighborhood,Post,Old_District,New_District",yes,yes,yes,high,yes,high,ready_now,"Baltimore is now live offense-selectively off the legacy SRS feed for rape, robbery, aggravated_assault, and larceny under the packet-validated 2024 window through 2024-12-28. Murder remains blocked on the unresolved annual homicide mismatch, burglary remains blocked on the persistent public overcount, and motor_vehicle_theft remains blocked on the remaining annual reconciliation gap. The NIBRS Group A feed stays companion-only rather than the live overlay object."
philadelphia,42:municipal:cousub:4210160000,Philadelphia,PA,City of Philadelphia Crime Incidents / incidents_part1_part2,https://opendataphilly.org/datasets/crime-incidents/ ; https://phl.carto.com/api/v2/sql,opendataphilly_plus_carto_sql_api,2006,2026,19,"ucr_general,text_general_code",dispatch_date_time,"the_geom,point_x,point_y,location_block,dc_dist,psa",yes,yes,yes,high_with_4.2pct_xy_missing_2024,objectid_yes_dc_key_near_unique_only,medium,ready_now,"Philadelphia is now live offense-selectively for aggravated_assault and burglary. The public feed has direct UCR-style categories and high coordinate coverage, but murder stays pending a clean criminal-homicide-only public anchor and rape, robbery, larceny, and motor_vehicle_theft remain blocked by stable public reconciliation gaps."
los_angeles,06:municipal:place:0644000,Los Angeles,CA,LAPD legacy geocoded incidents plus public NIBRS companion feeds,https://data.lacity.org/api/views/63jg-8b9z/rows.csv?accessType=DOWNLOAD ; https://data.lacity.org/api/views/2nrs-mtv8/rows.csv?accessType=DOWNLOAD ; https://data.lacity.org/api/views/y8y3-fqfu/rows.csv?accessType=DOWNLOAD ; https://data.lacity.org/api/views/gqf2-vm2j/rows.csv?accessType=DOWNLOAD,socrata_multiplex,2010,2025,15,legacy crm_cd/crm_cd_desc/crm_cd_1-4; nibrs nibr_code/nibr_description,legacy date_occ/time_occ; nibrs date_occ/time_occ,"legacy location,lat,lon,area,rpt_dist_no; nibrs area,area_name,rpt_dist_no only",mixed,mixed,no,mixed_blocked,yes,high,blocked,Los Angeles remains blocked. Public LA incidents are split between a geocoded historical-only legacy feed and non-spatial live NIBRS feeds; no current public contract is both offense-comparable and spatially usable for defendable 2024 city-share onboarding.
