county_fips,cbsa_code,cbsa_title
01001,33860,"Montgomery, AL"
01003,19300,"Daphne-Fairhope-Foley, AL"
01005,21640,"Eufaula, AL-GA"
01007,13820,"Birmingham, AL"
01009,13820,"Birmingham, AL"
01015,11500,"Anniston-Oxford, AL"
01017,29300,"LaGrange, GA-AL"
01021,13820,"Birmingham, AL"
01031,21460,"Enterprise, AL"
01033,22520,"Florence-Muscle Shoals, AL"
01037,45180,"Talladega-Sylacauga, AL"
01043,18980,"Cullman, AL"
01045,37120,"Ozark, AL"
01047,42820,"Selma, AL"
01049,22840,"Fort Payne, AL"
01051,33860,"Montgomery, AL"
01055,23460,"Gadsden, AL"
01059,40770,"Russellville, AL"
01061,20020,"Dothan, AL"
01063,46220,"Tuscaloosa, AL"
01065,46220,"Tuscaloosa, AL"
01067,20020,"Dothan, AL"
01069,20020,"Dothan, AL"
01071,42460,"Scottsboro, AL"
01073,13820,"Birmingham, AL"
01077,22520,"Florence-Muscle Shoals, AL"
01079,19460,"Decatur, AL"
01081,12220,"Auburn-Opelika, AL"
01083,26620,"Huntsville, AL"
01085,33860,"Montgomery, AL"
01087,12220,"Auburn-Opelika, AL"
01089,26620,"Huntsville, AL"
01095,10700,"Albertville, AL"
01097,33660,"Mobile, AL"
01101,33860,"Montgomery, AL"
01103,19460,"Decatur, AL"
01107,46220,"Tuscaloosa, AL"
01109,45980,"Troy, AL"
01113,17980,"Columbus, GA-AL"
01115,13820,"Birmingham, AL"
01117,13820,"Birmingham, AL"
01121,45180,"Talladega-Sylacauga, AL"
01123,10760,"Alexander City, AL"
01125,46220,"Tuscaloosa, AL"
01127,13820,"Birmingham, AL"
02020,11260,"Anchorage, AK"
02090,21820,"Fairbanks-College, AK"
02110,27940,"Juneau, AK"
02130,28540,"Ketchikan, AK"
02170,11260,"Anchorage, AK"
04003,43420,"Sierra Vista-Douglas, AZ"
04005,22380,"Flagstaff, AZ"
04007,37740,"Payson, AZ"
04009,40940,"Safford, AZ"
04013,38060,"Phoenix-Mesa-Chandler, AZ"
04015,29420,"Lake Havasu City-Kingman, AZ"
04017,43320,"Show Low, AZ"
04019,46060,"Tucson, AZ"
04021,38060,"Phoenix-Mesa-Chandler, AZ"
04023,35700,"Nogales, AZ"
04025,39150,"Prescott Valley-Prescott, AZ"
04027,49740,"Yuma, AZ"
05005,34260,"Mountain Home, AR"
05007,22220,"Fayetteville-Springdale-Rogers, AR"
05009,25460,"Harrison, AR"
05013,15780,"Camden, AR"
05019,11660,"Arkadelphia, AR"
05025,38220,"Pine Bluff, AR"
05027,31620,"Magnolia, AR"
05031,27860,"Jonesboro, AR"
05033,22900,"Fort Smith, AR-OK"
05035,32820,"Memphis, TN-MS-AR"
05045,30780,"Little Rock-North Little Rock-Conway, AR"
05051,26300,"Hot Springs, AR"
05053,30780,"Little Rock-North Little Rock-Conway, AR"
05055,37500,"Paragould, AR"
05059,31680,"Malvern, AR"
05063,12900,"Batesville, AR"
05069,38220,"Pine Bluff, AR"
05081,45500,"Texarkana, TX-AR"
05085,30780,"Little Rock-North Little Rock-Conway, AR"
05087,22220,"Fayetteville-Springdale-Rogers, AR"
05091,45500,"Texarkana, TX-AR"
05093,14180,"Blytheville, AR"
05101,25460,"Harrison, AR"
05103,15780,"Camden, AR"
05105,30780,"Little Rock-North Little Rock-Conway, AR"
05111,27860,"Jonesboro, AR"
05115,40780,"Russellville, AR"
05119,30780,"Little Rock-North Little Rock-Conway, AR"
05123,22620,"Forrest City, AR"
05125,30780,"Little Rock-North Little Rock-Conway, AR"
05131,22900,"Fort Smith, AR-OK"
05139,20980,"El Dorado, AR"
05143,22220,"Fayetteville-Springdale-Rogers, AR"
05145,42620,"Searcy, AR"
05149,40780,"Russellville, AR"
06001,41860,"San Francisco-Oakland-Fremont, CA"
06003,23820,"Gardnerville Ranchos, NV-CA"
06007,17020,"Chico, CA"
06013,41860,"San Francisco-Oakland-Fremont, CA"
06015,18860,"Crescent City, CA"
06017,40900,"Sacramento-Roseville-Folsom, CA"
06019,23420,"Fresno, CA"
06023,21700,"Eureka-Arcata, CA"
06025,20940,"El Centro, CA"
06027,13860,"Bishop, CA"
06029,12540,"Bakersfield-Delano, CA"
06031,25260,"Hanford-Corcoran, CA"
06033,17340,"Clearlake, CA"
06035,45000,"Susanville, CA"
06037,31080,"Los Angeles-Long Beach-Anaheim, CA"
06039,23420,"Fresno, CA"
06041,41860,"San Francisco-Oakland-Fremont, CA"
06045,46380,"Ukiah, CA"
06047,32900,"Merced, CA"
06053,41500,"Salinas, CA"
06055,34900,"Napa, CA"
06057,46020,"Truckee-Grass Valley, CA"
06059,31080,"Los Angeles-Long Beach-Anaheim, CA"
06061,40900,"Sacramento-Roseville-Folsom, CA"
06065,40140,"Riverside-San Bernardino-Ontario, CA"
06067,40900,"Sacramento-Roseville-Folsom, CA"
06069,41940,"San Jose-Sunnyvale-Santa Clara, CA"
06071,40140,"Riverside-San Bernardino-Ontario, CA"
06073,41740,"San Diego-Chula Vista-Carlsbad, CA"
06075,41860,"San Francisco-Oakland-Fremont, CA"
06077,44700,"Stockton-Lodi, CA"
06079,42020,"San Luis Obispo-Paso Robles, CA"
06081,41860,"San Francisco-Oakland-Fremont, CA"
06083,42200,"Santa Maria-Santa Barbara, CA"
06085,41940,"San Jose-Sunnyvale-Santa Clara, CA"
06087,42100,"Santa Cruz-Watsonville, CA"
06089,39820,"Redding, CA"
06095,46700,"Vallejo, CA"
06097,42220,"Santa Rosa-Petaluma, CA"
06099,33700,"Modesto, CA"
06101,49700,"Yuba City, CA"
06103,39780,"Red Bluff, CA"
06107,47300,"Visalia, CA"
06109,43760,"Sonora, CA"
06111,37100,"Oxnard-Thousand Oaks-Ventura, CA"
06113,40900,"Sacramento-Roseville-Folsom, CA"
06115,49700,"Yuba City, CA"
08001,19740,"Denver-Aurora-Centennial, CO"
08003,10480,"Alamosa, CO"
08005,19740,"Denver-Aurora-Centennial, CO"
08013,14500,"Boulder, CO"
08014,19740,"Denver-Aurora-Centennial, CO"
08019,19740,"Denver-Aurora-Centennial, CO"
08021,10480,"Alamosa, CO"
08023,10480,"Alamosa, CO"
08031,19740,"Denver-Aurora-Centennial, CO"
08035,19740,"Denver-Aurora-Centennial, CO"
08037,20780,"Edwards, CO"
08039,19740,"Denver-Aurora-Centennial, CO"
08041,17820,"Colorado Springs, CO"
08043,15860,"Cañon City, CO"
08045,40090,"Rifle, CO"
08047,19740,"Denver-Aurora-Centennial, CO"
08059,19740,"Denver-Aurora-Centennial, CO"
08065,14720,"Breckenridge, CO"
08067,20420,"Durango, CO"
08069,22660,"Fort Collins-Loveland, CO"
08075,44540,"Sterling, CO"
08077,24300,"Grand Junction, CO"
08081,44460,"Steamboat Springs, CO"
08085,33940,"Montrose, CO"
08087,22820,"Fort Morgan, CO"
08093,19740,"Denver-Aurora-Centennial, CO"
08097,40090,"Rifle, CO"
08101,39380,"Pueblo, CO"
08107,44460,"Steamboat Springs, CO"
08117,14720,"Breckenridge, CO"
08119,17820,"Colorado Springs, CO"
08123,24540,"Greeley, CO"
09110,25540,"Hartford-West Hartford-East Hartford, CT"
09120,14860,"Bridgeport-Stamford-Danbury, CT"
09130,25540,"Hartford-West Hartford-East Hartford, CT"
09140,47930,"Waterbury-Shelton, CT"
09150,39480,"Putnam, CT"
09160,45860,"Torrington, CT"
09170,35300,"New Haven, CT"
09180,35980,"Norwich-New London-Willimantic, CT"
09190,14860,"Bridgeport-Stamford-Danbury, CT"
10001,20100,"Dover, DE"
10003,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
10005,42580,"Seaford, DE"
11001,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
12001,23540,"Gainesville, FL"
12003,27260,"Jacksonville, FL"
12005,37460,"Panama City-Panama City Beach, FL"
12009,37340,"Palm Bay-Melbourne-Titusville, FL"
12011,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
12015,39460,"Punta Gorda, FL"
12017,26140,"Homosassa Springs, FL"
12019,27260,"Jacksonville, FL"
12021,34940,"Naples-Marco Island, FL"
12023,29380,"Lake City, FL"
12027,11580,"Arcadia, FL"
12031,27260,"Jacksonville, FL"
12033,37860,"Pensacola-Ferry Pass-Brent, FL"
12035,19660,"Deltona-Daytona Beach-Ormond Beach, FL"
12039,45220,"Tallahassee, FL"
12041,23540,"Gainesville, FL"
12043,17500,"Clewiston, FL"
12051,17500,"Clewiston, FL"
12053,45300,"Tampa-St. Petersburg-Clearwater, FL"
12055,42700,"Sebring, FL"
12057,45300,"Tampa-St. Petersburg-Clearwater, FL"
12061,42680,"Sebastian-Vero Beach-West Vero Corridor, FL"
12065,45220,"Tallahassee, FL"
12069,36740,"Orlando-Kissimmee-Sanford, FL"
12071,15980,"Cape Coral-Fort Myers, FL"
12073,45220,"Tallahassee, FL"
12075,23540,"Gainesville, FL"
12081,35840,"North Port-Bradenton-Sarasota, FL"
12083,36100,"Ocala, FL"
12085,38940,"Port St. Lucie, FL"
12086,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
12087,28580,"Key West-Key Largo, FL"
12089,27260,"Jacksonville, FL"
12091,18880,"Crestview-Fort Walton Beach-Destin, FL"
12093,36380,"Okeechobee, FL"
12095,36740,"Orlando-Kissimmee-Sanford, FL"
12097,36740,"Orlando-Kissimmee-Sanford, FL"
12099,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
12101,45300,"Tampa-St. Petersburg-Clearwater, FL"
12103,45300,"Tampa-St. Petersburg-Clearwater, FL"
12105,29460,"Lakeland-Winter Haven, FL"
12107,37260,"Palatka, FL"
12109,27260,"Jacksonville, FL"
12111,38940,"Port St. Lucie, FL"
12113,37860,"Pensacola-Ferry Pass-Brent, FL"
12115,35840,"North Port-Bradenton-Sarasota, FL"
12117,36740,"Orlando-Kissimmee-Sanford, FL"
12119,48680,"Wildwood-The Villages, FL"
12127,19660,"Deltona-Daytona Beach-Ormond Beach, FL"
12129,45220,"Tallahassee, FL"
12131,18880,"Crestview-Fort Walton Beach-Destin, FL"
12133,37460,"Panama City-Panama City Beach, FL"
13003,20060,"Douglas, GA"
13009,33300,"Milledgeville, GA"
13013,12060,"Atlanta-Sandy Springs-Roswell, GA"
13015,12060,"Atlanta-Sandy Springs-Roswell, GA"
13017,22340,"Fitzgerald, GA"
13021,31420,"Macon-Bibb County, GA"
13025,15260,"Brunswick-St. Simons, GA"
13027,46660,"Valdosta, GA"
13029,42340,"Savannah, GA"
13031,44340,"Statesboro, GA"
13033,12260,"Augusta-Richmond County, GA-SC"
13035,12060,"Atlanta-Sandy Springs-Roswell, GA"
13039,28680,"Kingsland, GA"
13045,12060,"Atlanta-Sandy Springs-Roswell, GA"
13047,16860,"Chattanooga, TN-GA"
13051,42340,"Savannah, GA"
13053,17980,"Columbus, GA-AL"
13055,44900,"Summerville, GA"
13057,12060,"Atlanta-Sandy Springs-Roswell, GA"
13059,12020,"Athens-Clarke County, GA"
13063,12060,"Atlanta-Sandy Springs-Roswell, GA"
13067,12060,"Atlanta-Sandy Springs-Roswell, GA"
13069,20060,"Douglas, GA"
13071,34220,"Moultrie, GA"
13073,12260,"Augusta-Richmond County, GA-SC"
13077,12060,"Atlanta-Sandy Springs-Roswell, GA"
13079,31420,"Macon-Bibb County, GA"
13081,18380,"Cordele, GA"
13083,16860,"Chattanooga, TN-GA"
13085,12060,"Atlanta-Sandy Springs-Roswell, GA"
13087,12460,"Bainbridge, GA"
13089,12060,"Atlanta-Sandy Springs-Roswell, GA"
13095,10500,"Albany, GA"
13097,12060,"Atlanta-Sandy Springs-Roswell, GA"
13101,46660,"Valdosta, GA"
13103,42340,"Savannah, GA"
13109,44340,"Statesboro, GA"
13113,12060,"Atlanta-Sandy Springs-Roswell, GA"
13115,40660,"Rome, GA"
13117,12060,"Atlanta-Sandy Springs-Roswell, GA"
13121,12060,"Atlanta-Sandy Springs-Roswell, GA"
13127,15260,"Brunswick-St. Simons, GA"
13129,15660,"Calhoun, GA"
13131,45620,"Thomasville, GA"
13135,12060,"Atlanta-Sandy Springs-Roswell, GA"
13137,18460,"Cornelia, GA"
13139,23580,"Gainesville, GA"
13143,12060,"Atlanta-Sandy Springs-Roswell, GA"
13145,17980,"Columbus, GA-AL"
13149,12060,"Atlanta-Sandy Springs-Roswell, GA"
13151,12060,"Atlanta-Sandy Springs-Roswell, GA"
13153,47580,"Warner Robins, GA"
13157,27600,"Jefferson, GA"
13159,12060,"Atlanta-Sandy Springs-Roswell, GA"
13167,20140,"Dublin, GA"
13169,31420,"Macon-Bibb County, GA"
13173,46660,"Valdosta, GA"
13175,20140,"Dublin, GA"
13177,10500,"Albany, GA"
13179,25980,"Hinesville, GA"
13181,12260,"Augusta-Richmond County, GA-SC"
13183,25980,"Hinesville, GA"
13185,46660,"Valdosta, GA"
13187,12060,"Atlanta-Sandy Springs-Roswell, GA"
13189,12260,"Augusta-Richmond County, GA-SC"
13191,15260,"Brunswick-St. Simons, GA"
13195,12020,"Athens-Clarke County, GA"
13197,17980,"Columbus, GA-AL"
13199,12060,"Atlanta-Sandy Springs-Roswell, GA"
13207,31420,"Macon-Bibb County, GA"
13209,47080,"Vidalia, GA"
13211,12060,"Atlanta-Sandy Springs-Roswell, GA"
13213,19140,"Dalton, GA"
13215,17980,"Columbus, GA-AL"
13217,12060,"Atlanta-Sandy Springs-Roswell, GA"
13219,12020,"Athens-Clarke County, GA"
13221,12020,"Athens-Clarke County, GA"
13223,12060,"Atlanta-Sandy Springs-Roswell, GA"
13225,47580,"Warner Robins, GA"
13227,12060,"Atlanta-Sandy Springs-Roswell, GA"
13229,48180,"Waycross, GA"
13231,12060,"Atlanta-Sandy Springs-Roswell, GA"
13233,16340,"Cedartown, GA"
13239,21640,"Eufaula, AL-GA"
13245,12260,"Augusta-Richmond County, GA-SC"
13247,12060,"Atlanta-Sandy Springs-Roswell, GA"
13249,11140,"Americus, GA"
13255,12060,"Atlanta-Sandy Springs-Roswell, GA"
13257,45740,"Toccoa, GA"
13259,17980,"Columbus, GA-AL"
13261,11140,"Americus, GA"
13263,17980,"Columbus, GA-AL"
13273,10500,"Albany, GA"
13275,45620,"Thomasville, GA"
13277,45700,"Tifton, GA"
13279,47080,"Vidalia, GA"
13285,29300,"LaGrange, GA-AL"
13287,45700,"Tifton, GA"
13289,31420,"Macon-Bibb County, GA"
13293,45580,"Thomaston, GA"
13295,16860,"Chattanooga, TN-GA"
13297,12060,"Atlanta-Sandy Springs-Roswell, GA"
13299,48180,"Waycross, GA"
13305,27700,"Jesup, GA"
13313,19140,"Dalton, GA"
13321,10500,"Albany, GA"
15001,25900,"Hilo-Kailua, HI"
15003,46520,"Urban Honolulu, HI"
15005,27980,"Kahului-Wailuku, HI"
15007,28180,"Kapaa, HI"
15009,27980,"Kahului-Wailuku, HI"
