town,cousub_geoid_2020,county_fips_2020,coverage_type,troop,ct_despp_reporting_unit,despp_population_2024,despp_total_nibrs_crimes_2024,current_master_municipal_cousub,coverage_source_locator,coverage_source_url,geoid_source_url,review_note
Andover,0901301080,09013,resident_trooper,K,CTSP00100,3143,13,no,2024 Crime in Connecticut p100,https://portal.ct.gov/despp/-/media/despp-beta/pdf/data/crime-in-connecticut-2024-final.pdf,https://www2.census.gov/geo/tiger/TIGER2020/COUSUB/tl_2020_09_cousub.zip,
Barkhamsted,0900502760,09005,resident_trooper,B,CTSP00500,3689,13,no,2024 Crime in Connecticut p100,https://portal.ct.gov/despp/-/media/despp-beta/pdf/data/crime-in-connecticut-2024-final.pdf,https://www2.census.gov/geo/tiger/TIGER2020/COUSUB/tl_2020_09_cousub.zip,
Beacon Falls,0900903250,09009,resident_trooper,I,CTSP00600,6274,43,yes,2024 Crime in Connecticut p100,https://portal.ct.gov/despp/-/media/despp-beta/pdf/data/crime-in-connecticut-2024-final.pdf,https://www2.census.gov/geo/tiger/TIGER2020/COUSUB/tl_2020_09_cousub.zip,
Bethany,0900904580,09009,resident_trooper,I,CTSP00800,5267,40,no,2024 Crime in Connecticut p100,https://portal.ct.gov/despp/-/media/despp-beta/pdf/data/crime-in-connecticut-2024-final.pdf,https://www2.census.gov/geo/tiger/TIGER2020/COUSUB/tl_2020_09_cousub.zip,
Bethlehem,0900504930,09005,resident_trooper,L,CTSP01000,3432,14,no,2024 Crime in Connecticut p100,https://portal.ct.gov/despp/-/media/despp-beta/pdf/data/crime-in-connecticut-2024-final.pdf,https://www2.census.gov/geo/tiger/TIGER2020/COUSUB/tl_2020_09_cousub.zip,
Bolton,0901306260,09013,resident_trooper,K,CTSP01200,4830,14,no,2024 Crime in Connecticut p100,https://portal.ct.gov/despp/-/media/despp-beta/pdf/data/crime-in-connecticut-2024-final.pdf,https://www2.census.gov/geo/tiger/TIGER2020/COUSUB/tl_2020_09_cousub.zip,
Bridgewater,0900508210,09005,resident_trooper,A,CTSP01600,1645,3,no,2024 Crime in Connecticut p100,https://portal.ct.gov/despp/-/media/despp-beta/pdf/data/crime-in-connecticut-2024-final.pdf,https://www2.census.gov/geo/tiger/TIGER2020/COUSUB/tl_2020_09_cousub.zip,
Brooklyn,0901509190,09015,resident_trooper,D,CTSP01900,8691,79,no,2024 Crime in Connecticut p100,https://portal.ct.gov/despp/-/media/despp-beta/pdf/data/crime-in-connecticut-2024-final.pdf,https://www2.census.gov/geo/tiger/TIGER2020/COUSUB/tl_2020_09_cousub.zip,
Burlington,0900310100,09003,resident_trooper,L,CTSP02000,9831,72,no,2024 Crime in Connecticut p100,https://portal.ct.gov/despp/-/media/despp-beta/pdf/data/crime-in-connecticut-2024-final.pdf,https://www2.census.gov/geo/tiger/TIGER2020/COUSUB/tl_2020_09_cousub.zip,
Chaplin,0901513810,09015,resident_trooper,D,CTSP02400,2159,22,no,2024 Crime in Connecticut p100,https://portal.ct.gov/despp/-/media/despp-beta/pdf/data/crime-in-connecticut-2024-final.pdf,https://www2.census.gov/geo/tiger/TIGER2020/COUSUB/tl_2020_09_cousub.zip,
