case_id,ori9,year,offense,adjudication,reason_code,reviewer,evidence_note
extadj-ilcpd0000-burglary,ILCPD0000,2024,burglary,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"City of Chicago Data Portal, 'Crimes - 2024' dataset (data.cityofchicago.org, resource dqcy-ctma), queried by primary_type for calendar year 2024 — Held FBI-lane counts (burglary 7778, larceny 61185, mvt 22663, rape 1551, robbery 8847) are "
extadj-ilcpd0000-larceny,ILCPD0000,2024,larceny,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"City of Chicago Data Portal, 'Crimes - 2024' dataset (data.cityofchicago.org, resource dqcy-ctma), queried by primary_type for calendar year 2024 — Held FBI-lane counts (burglary 7778, larceny 61185, mvt 22663, rape 1551, robbery 8847) are "
extadj-ilcpd0000-motor_vehicle_theft,ILCPD0000,2024,motor_vehicle_theft,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"City of Chicago Data Portal, 'Crimes - 2024' dataset (data.cityofchicago.org, resource dqcy-ctma), queried by primary_type for calendar year 2024 — Held FBI-lane counts (burglary 7778, larceny 61185, mvt 22663, rape 1551, robbery 8847) are "
extadj-ilcpd0000-rape,ILCPD0000,2024,rape,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"City of Chicago Data Portal, 'Crimes - 2024' dataset (data.cityofchicago.org, resource dqcy-ctma), queried by primary_type for calendar year 2024 — Held FBI-lane counts (burglary 7778, larceny 61185, mvt 22663, rape 1551, robbery 8847) are "
extadj-ilcpd0000-robbery,ILCPD0000,2024,robbery,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"City of Chicago Data Portal, 'Crimes - 2024' dataset (data.cityofchicago.org, resource dqcy-ctma), queried by primary_type for calendar year 2024 — Held FBI-lane counts (burglary 7778, larceny 61185, mvt 22663, rape 1551, robbery 8847) are "
extadj-dcmpd0000-murder,DCMPD0000,2024,murder,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"MPD Annual Report 2024 (official, mpdc.dc.gov), citywide 'DC Crime Rates' table, calendar-year 2024 totals — Held murder 179 vs report's 187 (4% diff); held larceny 18220 vs report's Theft-from-Vehicle+Theft-Other 19735 (8% diff); held mvt "
extadj-dcmpd0000-larceny,DCMPD0000,2024,larceny,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"MPD Annual Report 2024 (official, mpdc.dc.gov), citywide 'DC Crime Rates' table, calendar-year 2024 totals — Held murder 179 vs report's 187 (4% diff); held larceny 18220 vs report's Theft-from-Vehicle+Theft-Other 19735 (8% diff); held mvt "
extadj-dcmpd0000-motor_vehicle_theft,DCMPD0000,2024,motor_vehicle_theft,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"MPD Annual Report 2024 (official, mpdc.dc.gov), citywide 'DC Crime Rates' table, calendar-year 2024 totals — Held murder 179 vs report's 187 (4% diff); held larceny 18220 vs report's Theft-from-Vehicle+Theft-Other 19735 (8% diff); held mvt "
extadj-md0172100-aggravated_assault,MD0172100,2024,aggravated_assault,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"WUSA9, Washington Post, and WTOP News (Jan 2025), reporting PGPD Chief Malik Aziz's year-end 2024 crime statistics presentation — Held murder 100 vs multiple independent news reports of 113 homicides in 2024 (a reported 5% decline from 2023"
extadj-md0172100-burglary,MD0172100,2024,burglary,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"WUSA9, Washington Post, and WTOP News (Jan 2025), reporting PGPD Chief Malik Aziz's year-end 2024 crime statistics presentation — Held murder 100 vs multiple independent news reports of 113 homicides in 2024 (a reported 5% decline from 2023"
extadj-md0172100-larceny,MD0172100,2024,larceny,accept_unchanged,external_evidence_admit,external-evidence-agent-1,"WUSA9, Washington Post, and WTOP News (Jan 2025), reporting PGPD Chief Malik Aziz's year-end 2024 crime statistics presentation — Held murder 100 vs multiple independent news reports of 113 homicides in 2024 (a reported 5% decline from 2023"
