offense,stratum,w_prior,w_gbm,w_exposure,n_cells,pooled_fallback,selection_version
murder,core,0.125,0.875,0.0,19,False,reselect_v3
murder,suburban,0.375,0.25,0.375,4,False,reselect_v3
murder,small,0.125,0.875,0.0,0,True,reselect_v3
rape,core,0.125,0.625,0.25,16,False,reselect_v3
rape,suburban,0.125,0.5,0.375,8,False,reselect_v3
rape,small,0.125,0.5,0.375,0,True,reselect_v3
robbery,core,0.375,0.5,0.125,36,False,reselect_v3
robbery,suburban,0.25,0.25,0.5,26,False,reselect_v3
robbery,small,0.625,0.0,0.375,13,False,reselect_v3
aggravated_assault,core,0.625,0.25,0.125,33,False,reselect_v3
aggravated_assault,suburban,0.375,0.0,0.625,36,False,reselect_v3
aggravated_assault,small,0.25,0.125,0.625,17,False,reselect_v3
burglary,core,0.5,0.5,0.0,39,False,reselect_v3
burglary,suburban,0.875,0.125,0.0,42,False,reselect_v3
burglary,small,0.75,0.25,0.0,20,False,reselect_v3
larceny,core,0.375,0.125,0.5,39,False,reselect_v3
larceny,suburban,0.125,0.0,0.875,50,False,reselect_v3
larceny,small,0.0,0.0,1.0,28,False,reselect_v3
motor_vehicle_theft,core,0.375,0.625,0.0,39,False,reselect_v3
motor_vehicle_theft,suburban,0.5,0.375,0.125,41,False,reselect_v3
motor_vehicle_theft,small,0.5,0.5,0.0,21,False,reselect_v3
