ori,state_fips,block_group_geoid,bg_responsibility_population_coverage_share,responsibility_fraction_basis
KYKSP0100,21,210079501001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210079501002,0.143418467583497,census_2020_nonmunicipal_block_population
KYKSP0100,21,210079501003,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210079501004,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210079502001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210079503001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210079503002,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210079503003,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350101001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350101002,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350101003,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350101004,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350102001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350102002,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350102003,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350103031,0.23168908819133,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350103034,0.0373563218390805,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350103041,0.620967741935484,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350103042,0.0237906423473434,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350104001,0.266511266511266,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350105004,0.875637104994903,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350106021,0.492388758782201,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350106022,0.342675159235669,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350107001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350107002,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350107003,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,210350108001,1,census_2020_nonmunicipal_block_population
