municipality_geoid,county_name,municipality_name,police_service_type,provider_name,provider_ori,service_area_id,admitted_concurrent_oris,adjudicated_alias_oris,target_year_disposition,municipality_population,source_url,source_modified_utc
4200100116,Adams,Abbottstown Borough,Municipal Police Force,Abbottstown Boro,PA0012500,42:police_service:PA0012500,,,2024_provider_identity_reviewed,1022,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200102928,Adams,Arendtsville Borough,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_provider_identity_reviewed,867,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200105536,Adams,Bendersville Borough,Municipal Police Force,Bendersville Boro,PA0012100,42:police_service:PA0012100,,,2024_provider_identity_reviewed,736,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200105880,Adams,Berwick Township,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_fbi_covered_by,2403,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200106296,Adams,Biglerville Borough,Municipal Police Force,Biglerville Boro,PA0011500,42:police_service:PA0011500,,,2024_provider_identity_reviewed,1225,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200107560,Adams,Bonneauville Borough,Municipal Police Force,Bonneauville Boro,PA0011600,42:police_service:PA0011600,,,2024_provider_identity_reviewed,1758,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200110456,Adams,Butler Township,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_provider_identity_reviewed,2550,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200111472,Adams,Carroll Valley Borough,Municipal Police Force,Carroll Valley Boro,PA0012300,42:police_service:PA0012300,,,2024_fbi_covered_by,3940,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200115632,Adams,Conewago Township,Municipal Police Force,Conewago Twp,PA0010300,42:police_service:PA0010300,,,2024_active_official_provider,7875,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200117640,Adams,Cumberland Township,Municipal Police Force,Cumberland Twp,PA0010500,42:police_service:PA0010500,,,2024_active_official_provider,7033,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200120792,Adams,East Berlin Borough,Municipal Police Force,East Berlin Boro,PA0010800,42:police_service:PA0010800,,,2024_provider_identity_reviewed,1542,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200124560,Adams,Fairfield Borough,Police Service contracted from another municipality,Carroll Valley Boro,PA0012300,42:police_service:PA0012300,,,2024_fbi_covered_by,526,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200127320,Adams,Franklin Township,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_provider_identity_reviewed,4676,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200127704,Adams,Freedom Township,Police Service contracted from another municipality,Liberty Twp,PA0011200,42:police_service:PA0011200,,,2024_provider_identity_reviewed,825,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200128936,Adams,Germany Township,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_provider_identity_reviewed,2844,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200128960,Adams,Gettysburg Borough,Municipal Police Force,Gettysburg Boro,PA0010100,42:police_service:PA0010100,,,2024_provider_identity_reviewed,7106,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200132144,Adams,Hamilton Township,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_provider_identity_reviewed,2714,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200132200,Adams,Hamiltonban Township,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_fbi_covered_by,2300,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200134424,Adams,Highland Township,Police Service contracted from another municipality,Liberty Twp,PA0011200,42:police_service:PA0011200,,,2024_provider_identity_reviewed,997,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200136424,Adams,Huntington Township,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_provider_identity_reviewed,2395,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200141672,Adams,Latimore Township,Municipal Police Force,Latimore Twp,PA0012400,42:police_service:PA0012400,,,2024_active_official_provider,2646,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200143056,Adams,Liberty Township,Municipal Police Force,Liberty Twp,PA0011200,42:police_service:PA0011200,,,2024_provider_identity_reviewed,1376,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200143944,Adams,Littlestown Borough,Municipal Police Force,Littlestown Boro,PA0010200,42:police_service:PA0010200,,,2024_provider_identity_reviewed,4782,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200146376,Adams,McSherrystown Borough,Municipal Police Force,Mcsherrystown Boro,PA0010400,42:police_service:PA0010400,,,2024_provider_identity_reviewed,3077,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200148608,Adams,Menallen Township,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_provider_identity_reviewed,3701,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200151640,Adams,Mount Joy Township,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_provider_identity_reviewed,3789,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200151776,Adams,Mount Pleasant Township,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_provider_identity_reviewed,4666,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200153920,Adams,New Oxford Borough,Regional Police Service,Eastern Adams,PA0011800,42:police_service:PA0011800,,,2024_fbi_covered_by,1868,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200157472,Adams,Oxford Township,Regional Police Service,Eastern Adams Regional Police,PA0011800,42:police_service:PA0011800,,,2024_provider_identity_reviewed,5936,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200163616,Adams,Reading Township,Municipal Police Force,Reading Twp,PA0011300,42:police_service:PA0011300,,,2024_provider_identity_reviewed,5799,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200174680,Adams,Straban Township,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_provider_identity_reviewed,4851,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200178160,Adams,Tyrone Township,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_provider_identity_reviewed,2268,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200178264,Adams,Union Township,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_provider_identity_reviewed,3076,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200187136,Adams,York Springs Borough,State Police coverage only,State Police Coverage Only,PA001SP00,42:police_service:PA001SP00,,,2024_provider_identity_reviewed,683,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200300724,Allegheny,Aleppo Township,Police Service contracted from another municipality,Ohio Twp,PA0021A00,42:police_service:PA0021A00,,,2024_provider_identity_reviewed,1825,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200303320,Allegheny,Aspinwall Borough,Municipal Police Force,Aspinwall Boro,PA0024800,42:police_service:PA0024800,,,2024_provider_identity_reviewed,2916,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200303608,Allegheny,Avalon Borough,Municipal Police Force,Avalon Boro,PA0022900,42:police_service:PA0022900,,,2024_provider_identity_reviewed,4762,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200303928,Allegheny,Baldwin Borough,Municipal Police Force,Baldwin Boro,PA0020100,42:police_service:PA0020100,,,2024_provider_identity_reviewed,21510,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200303932,Allegheny,Baldwin Township,Municipal Police Force,Baldwin Twp,PA0020A00,42:police_service:PA0020A00,,,2024_active_official_provider,1985,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200305216,Allegheny,Bell Acres Borough,Municipal Police Force,Bell Acres Boro,PA0024900,42:police_service:PA0024900,,,2024_provider_identity_reviewed,1505,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200305312,Allegheny,Bellevue Borough,Municipal Police Force,Bellevue Boro,PA0020200,42:police_service:PA0020200,,,2024_provider_identity_reviewed,8311,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200305504,Allegheny,Ben Avon Borough,Police Service contracted from another municipality,Ohio Twp,PA0021A00,42:police_service:PA0021A00,,,2024_provider_identity_reviewed,1918,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200305520,Allegheny,Ben Avon Heights Borough,Police Service contracted from another municipality,Ohio Twp,PA0021A00,42:police_service:PA0021A00,,,2024_provider_identity_reviewed,400,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200306064,Allegheny,Bethel Park Borough,Municipal Police Force,Bethel Park Boro,PA0020300,42:police_service:PA0020300,,,2024_provider_identity_reviewed,33577,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200307000,Allegheny,Blawnox Borough,Police Service contracted from another municipality,Ohara Twp,PA0020Z00,42:police_service:PA0020Z00,,,2024_provider_identity_reviewed,1454,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200307976,Allegheny,Brackenridge Borough,Police Service contracted from another municipality,Tarentum Boro,PA0029200,42:police_service:PA0029200,,,2024_fbi_covered_by,3240,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200307992,Allegheny,Braddock Borough,Regional Police Service,Eastern Regional Mon Valley Police Department,PA002B800,42:police_service:PA002B800,PA0023000,,2024_transition_concurrent_reporters,1721,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200308008,Allegheny,Braddock Hills Borough,Police Service contracted from another municipality,Swissvale Boro,PA0025400,42:police_service:PA0025400,,,2024_pre_2026_regionalization,1730,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
4200308064,Allegheny,Bradfordwoods Borough,Regional Police Service,Northern Regional Police Department,PA0021B00,42:police_service:PA0021B00,,,2024_fbi_covered_by,1183,https://services.arcgis.com/nx9zcV4VjX0IwxpW/arcgis/rest/services/Police_Jurisdictions/FeatureServer/0,2026-07-06T16:43:28.733000+00:00
