case_id,validation_target,key,offense,expected,disposition
augusta-ccd,jurisdiction,13:municipal:cousub:1324590168,*,absent,fixed
augusta-consolidated-place,jurisdiction,13:municipal:place:1304204,*,population_ge_200000,fixed
louisville-old-city-piece,geometry,2148000,*,assigned_to_21:municipal:place:2148006,fixed
louisville-control-murder,control,21:municipal:place:2148006,murder,147,fixed
ct-beacon-falls,control,09:municipal:cousub:0900903250,*,16,fixed
ct-canaan,control,09:municipal:cousub:0900510940,*,1,fixed
ct-litchfield,control,09:municipal:cousub:0900543370,*,35,fixed
ct-lyme,control,09:municipal:cousub:0901144210,*,1,fixed
ct-prospect,control,09:municipal:cousub:0900962290,*,11,fixed
ct-sherman,control,09:municipal:cousub:0900168310,*,1,fixed
ct-stafford,control,09:municipal:cousub:0901372090,*,28,fixed
ct-tolland,control,09:municipal:cousub:0901376290,*,34,fixed
ct-windham,control,09:municipal:cousub:0901586790,*,19,fixed
pine-township-bg-1,geometry,420034090011,*,assigned_to_42:municipal:cousub:4200360272,fixed
pine-township-bg-2,geometry,420034090012,*,assigned_to_42:municipal:cousub:4200360272,fixed
pine-township-bg-3,geometry,420034090013,*,assigned_to_42:municipal:cousub:4200360272,fixed
pine-township-bg-4,geometry,420034090014,*,assigned_to_42:municipal:cousub:4200360272,fixed
pine-township-bg-5,geometry,420034090021,*,assigned_to_42:municipal:cousub:4200360272,fixed
pine-township-bg-6,geometry,420034090022,*,assigned_to_42:municipal:cousub:4200360272,fixed
pa-rural-underfill,surface,421179509003,larceny,diagnosis_recorded,design
pine-ridge-footprint,surface,461029410001,*,footprint_modeled_mass_text,fixed
standing-rock-footprint,surface,380859408001,*,footprint_modeled_mass_text,fixed
navajo-az-nm-seam,surface,aiannh:2430,*,cross_state_benchmark_design,design
wichita-repair,control,20:municipal:place:2079000,larceny,15717,fixed
nyc-overlap,allocation,36:municipal:place:3651000,rape,municipal_1943_plus_separate_overlap,diagnosed
jackson-ms,control,28:municipal:place:2836000,murder,independent_anchor_required,design
birmingham-al,control,01:municipal:place:0107000,murder,locked_state_exceeds_benchmark,design
exact-zero-population,surface,national,robbery,no_positive_population_exact_zero,fixed
popup-imputed-observed,surface,421179509003,larceny,no_observed_complete_contradiction,fixed
popup-central-park,surface,360610143001,robbery,reliability_separate_from_incident_count,fixed
popup-times-square,surface,360610119001,robbery,reliability_separate_from_incident_count,fixed
popup-chicago-loop,surface,170313204001,robbery,reliability_separate_from_incident_count,fixed
manhattan-hole-east-harlem,surface,360610180003,motor_vehicle_theft,compositional_total_published,intended
manhattan-hole-midtown-1,surface,360610097002,motor_vehicle_theft,compositional_total_published,intended
manhattan-hole-midtown-2,surface,360610093006,motor_vehicle_theft,compositional_total_published,intended
sagamore-hills-false-low,control,39:municipal:cousub:3915369428,*,not_high_complete_provenance,fixed
broadview-heights-false-low,control,39:municipal:place:3909064,*,not_high_complete_provenance,fixed
campton-hills-false-low,control,17:municipal:place:1710906,*,not_high_complete_provenance,fixed
st-clairsville-false-low,control,39:municipal:place:3969526,*,not_high_complete_provenance,fixed
lewisboro-false-low,control,36:municipal:cousub:3611942136,*,not_high_complete_provenance,fixed
cumming-ga-false-low,control,13:municipal:place:1320932,*,not_high_complete_provenance,fixed
new-windsor-md-county-footprint,control,24:municipal:place:2455925,*,county-reporter-footprint-design,design
union-bridge-md-county-footprint,control,24:municipal:place:2479350,*,county-reporter-footprint-design,design
rothschild-covered-place,control,55:municipal:place:5569725,*,covered-place-routing-diagnosed,diagnosed
nyack-covered-place,control,36:municipal:place:3654100,*,covered-place-routing-diagnosed,diagnosed
pewaukee-covered-place,control,55:municipal:place:5562250,*,covered-place-routing-diagnosed,diagnosed
mount-kisco-covered-place,control,36:municipal:place:3648890,*,covered-place-routing-diagnosed,diagnosed
rosebud-tribal-comparator,surface,461219401001,*,tribal-footprint-benchmark-design,design
san-carlos-tribal-comparator,surface,040079404001,*,tribal-footprint-benchmark-design,design
salt-river-tribal-comparator,surface,040139413001,*,tribal-footprint-benchmark-design,design
detroit-murder,control,26:municipal:place:2622000,murder,state-soft-reconciliation-diagnosed,diagnosed
shelby-county-mo,control,29:state_nonmunicipal_remainder,larceny,remainder-allocation-diagnosed,diagnosed
savannah-ga,control,13:municipal:place:1369000,*,feed-break-level-unresolved,unresolved
port-st-lucie-fl,control,12:municipal:place:1258715,*,feed-break-level-unresolved,unresolved
las-vegas-strip,surface,320030067001,*,violent-count-allocation-unresolved,unresolved
carroll-county-tn-1,surface,470179620001,murder,partial-murder-path-unresolved,unresolved
carroll-county-tn-2,surface,470179620002,murder,partial-murder-path-unresolved,unresolved
carroll-county-tn-4,surface,470179620004,murder,partial-murder-path-unresolved,unresolved
