service_scope_id,state_fips,block_group_geoid,bg_service_population_coverage_share,bg_land_area_coverage_share,coverage_basis
navajo_nation_police,04,040019426001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019426002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019427001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019427002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019427003,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019427004,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019440001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019440002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019440003,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019441001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019441002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019441003,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019441004,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019441005,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019442011,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019442012,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019442021,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019442022,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019442023,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019443011,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019443012,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019443013,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019443021,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019443022,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019449011,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019449012,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019449013,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019449014,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019449021,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019449022,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019449023,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019449024,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019450011,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019450012,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019450013,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019450014,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019450021,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019450022,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019450023,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019451001,0.85121107266436,0.979811251702736,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040019451002,0.759825327510917,0.878518690814372,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040050013023,0,2.82909882766523e-05,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040050015003,0,0.0178520249053632,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040050021011,0,0.196923337498177,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040050022013,0,0.00378440786931836,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059422011,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059422012,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059422013,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059422021,1,0.999981237460338,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059422022,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059422023,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059449001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059449002,0.0869565217391304,0.00595007931504539,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059449003,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059450001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059450002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059450003,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059451001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059451002,0.992840095465394,0.982697143299289,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059451003,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059451004,0.946987951807229,0.430480475544696,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059452001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059452002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040059452003,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400081,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400082,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400101,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400102,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400103,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400111,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400112,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400113,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400132,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400141,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400142,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400143,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400151,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400152,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179400153,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179423001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179423002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179423003,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179424001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179424002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179425001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179425002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179425003,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179604001,0.668253968253968,0.979782166752668,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179605001,0.00218023255813953,0.309942520579511,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179605002,0.0187332738626227,0.0299950843103287,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179606001,0.0477648499693815,0.870416926886481,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350019406021,0.986624203821656,0.868474830002776,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350069458002,0.445643793369314,0.123533360802241,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350069461001,0.0514640638864241,0.163784693378479,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350069747015,0,0.057729598545596,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319435001,0.938196555217832,0.369235105825219,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319435002,0.93543428132206,0.88507960850698,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319435003,0.993894165535957,0.733933755236939,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319436011,0.98216276477146,0.834107663335098,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319436012,0.992069214131218,0.73720366691937,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319436013,0.886222910216718,0.75736245623161,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319436021,0.997621878715815,0.947811403865192,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319436022,0.755959849435383,0.438687462184164,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319436023,0.979910714285714,0.876894052158134,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319437011,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319437012,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319437021,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319437022,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319438011,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
