vector_id,role,offense,weight,unit,source,source_version,note
cchi_sentencing_days_v1,primary,murder,5475.0,days_of_imprisonment,"Sherman LW, Neyroud PW, Neyroud E (2016), ""The Cambridge Crime Harm Index: Measuring Total Harm from Crime Based on Sentencing Guidelines"", Policing: A Journal of Policy and Practice 10(3):171-183, doi:10.1093/police/paw003",cchi_method_2016_ucr_part_i_mapping_v1,"15 years. CCHI METHOD -- sentencing-guideline starting point for a first-time offender pleading not guilty -- mapped to the seven UCR Part-I offenses. NOT the England and Wales schedule verbatim: the published CCHI is keyed to E&W offence codes and no verbatim UCR mapping exists. Round starting points, frozen here as the vector this project has published since v1."
cchi_sentencing_days_v1,primary,rape,1825.0,days_of_imprisonment,"Sherman LW, Neyroud PW, Neyroud E (2016), ""The Cambridge Crime Harm Index: Measuring Total Harm from Crime Based on Sentencing Guidelines"", Policing: A Journal of Policy and Practice 10(3):171-183, doi:10.1093/police/paw003",cchi_method_2016_ucr_part_i_mapping_v1,5 years.
cchi_sentencing_days_v1,primary,robbery,365.0,days_of_imprisonment,"Sherman LW, Neyroud PW, Neyroud E (2016), ""The Cambridge Crime Harm Index: Measuring Total Harm from Crime Based on Sentencing Guidelines"", Policing: A Journal of Policy and Practice 10(3):171-183, doi:10.1093/police/paw003",cchi_method_2016_ucr_part_i_mapping_v1,1 year.
cchi_sentencing_days_v1,primary,aggravated_assault,180.0,days_of_imprisonment,"Sherman LW, Neyroud PW, Neyroud E (2016), ""The Cambridge Crime Harm Index: Measuring Total Harm from Crime Based on Sentencing Guidelines"", Policing: A Journal of Policy and Practice 10(3):171-183, doi:10.1093/police/paw003",cchi_method_2016_ucr_part_i_mapping_v1,6 months.
cchi_sentencing_days_v1,primary,burglary,90.0,days_of_imprisonment,"Sherman LW, Neyroud PW, Neyroud E (2016), ""The Cambridge Crime Harm Index: Measuring Total Harm from Crime Based on Sentencing Guidelines"", Policing: A Journal of Policy and Practice 10(3):171-183, doi:10.1093/police/paw003",cchi_method_2016_ucr_part_i_mapping_v1,3 months.
cchi_sentencing_days_v1,primary,larceny,7.0,days_of_imprisonment,"Sherman LW, Neyroud PW, Neyroud E (2016), ""The Cambridge Crime Harm Index: Measuring Total Harm from Crime Based on Sentencing Guidelines"", Policing: A Journal of Policy and Practice 10(3):171-183, doi:10.1093/police/paw003",cchi_method_2016_ucr_part_i_mapping_v1,1 week.
cchi_sentencing_days_v1,primary,motor_vehicle_theft,30.0,days_of_imprisonment,"Sherman LW, Neyroud PW, Neyroud E (2016), ""The Cambridge Crime Harm Index: Measuring Total Harm from Crime Based on Sentencing Guidelines"", Policing: A Journal of Policy and Practice 10(3):171-183, doi:10.1093/police/paw003",cchi_method_2016_ucr_part_i_mapping_v1,1 month.
mccollister_social_cost_2008usd_v1,alternative,murder,8982907.0,usd_2008_per_offense,"McCollister KE, French MT, Fang H (2010), ""The cost of crime to society: New crime-specific estimates for policy and program evaluation"", Drug and Alcohol Dependence 108(1-2):98-109, doi:10.1016/j.drugalcdep.2009.12.002, Table 5 (total cost per offense = tangible + intangible)",2008_usd,"US victim-cost derivation, deliberately unlike a UK sentencing vector. Only the RATIOS matter: the burden index divides by its own reference rate, so any positive rescaling of the whole vector leaves it unchanged."
mccollister_social_cost_2008usd_v1,alternative,rape,240776.0,usd_2008_per_offense,"McCollister KE, French MT, Fang H (2010), ""The cost of crime to society: New crime-specific estimates for policy and program evaluation"", Drug and Alcohol Dependence 108(1-2):98-109, doi:10.1016/j.drugalcdep.2009.12.002, Table 5 (total cost per offense = tangible + intangible)",2008_usd,"Table 5 row ""rape/sexual assault""."
mccollister_social_cost_2008usd_v1,alternative,robbery,42310.0,usd_2008_per_offense,"McCollister KE, French MT, Fang H (2010), ""The cost of crime to society: New crime-specific estimates for policy and program evaluation"", Drug and Alcohol Dependence 108(1-2):98-109, doi:10.1016/j.drugalcdep.2009.12.002, Table 5 (total cost per offense = tangible + intangible)",2008_usd,"Below aggravated assault in this vector and above it in the CCHI vector -- the reversal the sensitivity test exists to price."
mccollister_social_cost_2008usd_v1,alternative,aggravated_assault,107020.0,usd_2008_per_offense,"McCollister KE, French MT, Fang H (2010), ""The cost of crime to society: New crime-specific estimates for policy and program evaluation"", Drug and Alcohol Dependence 108(1-2):98-109, doi:10.1016/j.drugalcdep.2009.12.002, Table 5 (total cost per offense = tangible + intangible)",2008_usd,
mccollister_social_cost_2008usd_v1,alternative,burglary,6462.0,usd_2008_per_offense,"McCollister KE, French MT, Fang H (2010), ""The cost of crime to society: New crime-specific estimates for policy and program evaluation"", Drug and Alcohol Dependence 108(1-2):98-109, doi:10.1016/j.drugalcdep.2009.12.002, Table 5 (total cost per offense = tangible + intangible)",2008_usd,"Table 5 row ""household burglary""."
mccollister_social_cost_2008usd_v1,alternative,larceny,3532.0,usd_2008_per_offense,"McCollister KE, French MT, Fang H (2010), ""The cost of crime to society: New crime-specific estimates for policy and program evaluation"", Drug and Alcohol Dependence 108(1-2):98-109, doi:10.1016/j.drugalcdep.2009.12.002, Table 5 (total cost per offense = tangible + intangible)",2008_usd,"Table 5 row ""larceny/theft""."
mccollister_social_cost_2008usd_v1,alternative,motor_vehicle_theft,10772.0,usd_2008_per_offense,"McCollister KE, French MT, Fang H (2010), ""The cost of crime to society: New crime-specific estimates for policy and program evaluation"", Drug and Alcohol Dependence 108(1-2):98-109, doi:10.1016/j.drugalcdep.2009.12.002, Table 5 (total cost per offense = tangible + intangible)",2008_usd,
uniform_event_v1,anchor,murder,1.0,events,definitional,uniform_v1,"NOT a severity claim. The degenerate vector under which harm burden IS event burden, carried so the sensitivity matrix separates ""severity is doing the work"" from ""volume is doing the work""."
uniform_event_v1,anchor,rape,1.0,events,definitional,uniform_v1,
uniform_event_v1,anchor,robbery,1.0,events,definitional,uniform_v1,
uniform_event_v1,anchor,aggravated_assault,1.0,events,definitional,uniform_v1,
uniform_event_v1,anchor,burglary,1.0,events,definitional,uniform_v1,
uniform_event_v1,anchor,larceny,1.0,events,definitional,uniform_v1,
uniform_event_v1,anchor,motor_vehicle_theft,1.0,events,definitional,uniform_v1,
