# stage1_adjudications registry: twins_adjudicated.csv
# source_registry: state/qa/stage1_adhoc_review/twins_adjudicated.csv
# source_pass: pass 4 (apply_stage1_final_rulings.py) landing on passes 1-3
# rows: live rulings only (the per-class registries hold no superseded rows); the full
#   audit ledger with every superseded instance is state/qa/stage1_adhoc_review/rulings_full.csv
# target_year: not_year_scoped_identity_ruling
# generated_by: scripts/review/source_audit/promote_stage1_adjudications_to_configs.py
# generated_at: 2026-07-30T00:32:54+00:00
# source_sha256: 8cf0366a381792ad691a722fd39530edecd14c623143c2c0f59c794412a20162
# rows_written: 106
case_id,state,n_oris,oris,verdict,canonical_ori,footprint,downstream_action,confidence,needs_review,detail
a2-CA01999-highway-patrol-east,CA,14,CA0199935;CA0199940;CA0199925;CA0199950;CA0199930;CA0199910;CA0199990;CA0199975;CA0199965;CA0199980;CA0199901;CA0199941;CA0199945;CA0199998,distinct_agencies,,statewide_overlap_layer,keep_all_oris,high,0,"Keep all 14 ORI9s. Block total 486 for 2024 is correct as reported; no member collapses into CA0199935. Why the shared ORI7 is not evidence of double counting: CA01999xx is the FBI's state-agency ORI convention (CA019 = Los Angeles County, 99 = state agency operating in that county), so the shared ORI7 encodes 'state agency in LA County', not a parent/child rollup — and the packet confirms no ...00 stem (CA0199900) exists, so the ...00-stem twin rule has nothing to key on. Why the shared footprint is not evidence either: the crosswalk is marked 'overlap', not 'exclusive' — statewide_overlap_layer is the designed mechanism for agencies with no assignable exclusive territory, so co-residence there is intended, not duplication. SECONDARY: CA0199901 'Southern Division' reports 6, not the 486 group sum, so it is not a rollup parent. HYGIENE: five members (CA0199910, CA0199901, CA0199941, CA0199945, CA0199998) carry '(blank)' panel names while the roster has proper names, and their crosswalk rows are flagged_auto — a name-backfill gap worth fixing separately."
a3-MA-cambridge-vs-mass-inst-of,MA,2,MA009639E;MA009IT00,same_agency_merge,MA009639E,25:statewide_overlap_layer | place 2511000 | statewide_overlap_layer,merge_dedupe,high,0,"Canonical ORI9 = MA009639E. Supersede MA009IT00 so only ONE 295-count mass lands. Correct the canonical record's display name from 'CAMBRIDGE' — the covering-city name carried by the NIBRS batch header — to the roster name 'Massachusetts Institute of Technology'. Footprint: BOTH ORIs currently sit on 25:statewide_overlap_layer at w=1, which is wrong for either. MIT PD is a campus force inside Cambridge city, Middlesex County; the correct footprint is a non-exclusive campus OVERLAP anchored on place 2511000 (Cambridge city) at weight <1, layered under Cambridge PD's exclusive municipal footprint — never the statewide layer. Note MA009IT00 already carries plc11000 (Cambridge city) with a mislabeled census_name 'state of massachusetts'; that place code, not the statewide layer, is the right anchor to carry forward onto MA009639E."
a3-NY-ithaca-vs-cornell-university,NY,2,NY054119E;NY254UC00,same_agency_merge,NY054119E,36:statewide_overlap_layer | statewide_overlap_layer,merge_dedupe,high,0,"Canonical ORI9 = NY054119E (Cornell University Police). Retire NY254UC00: drop its 2024 mass entirely and re-key its pre-2020 rows (2018 CIUS/SRS 229, 2019 SRS 158/9mo) onto NY054119E so the agency keeps its history. Correct footprint: neither ORI's current 36:statewide_overlap_layer is right for a campus PD — the merged agency should carry a Tompkins County campus overlay (Ithaca city / town of Ithaca, non-exclusive, overlap weight) so it neither smears across New York State nor subtracts from Ithaca PD's place mass."
a3-CT-yale-university-vs-yale-university,CT,2,CT0016900;CT0050400,superseded_ori,CT0050400,statewide_overlap_layer,merge_dedupe,high,0,"One agency, two ORIs. Survivor / mass carrier: CT0050400 (the live submitter). CT0016900 must stop carrying mass from 2021 forward; its 2018-2020 rows are the same agency's earlier history and can be merged under the surviving record. CT0050400's identity metadata is defective (type 'unknown', county <NA>, place <NA>, agency_master_fallback footprint) and should be replaced with CT0016900's (special_jurisdiction, CT cty009, plc52000 New Haven). Correct footprint is a New Haven campus overlay, not statewide_overlap_layer — as it stands both ORIs smear 277 each over the whole state, double-counting 554. If downstream prefers a merge framing, the merged record is CT0050400's counts on CT0016900's identity."
a2-CA00199-highway-patrol-oakland,CA,6,CA0019970;CA0019945;CA0019990;CA0019916;CA0019947;CA0019991,distinct_agencies,,06:statewide_overlap_layer | statewide_overlap_layer,keep_all_oris,high,0,"Keep all 6 ORI9s; the block total of 689 is a correct sum, not double counting, and no canonical merge should be applied. Separate defect to route: all six are ALAMEDA-county CHP commands crosswalked to 06:statewide_overlap_layer — the correct footprint is Alameda County (the CHP-patrolled non-municipal/freeway remainder), not the statewide smear. The three zero members (CA0019916, CA0019947, CA0019991) are genuine 12-month NIBRS zeros — commercial-vehicle enforcement facilities and an investigative services unit have no Part-I patrol volume — keep as zeros, do not fill."
a3-MN-white-earth-vs-white-earth-tribal,MN,2,MN0030600;MNDI01900,same_agency_merge,MN0030600,27:statewide_overlap_layer | 27:municipal:place:2770006 | statewide_overlap_layer | municipal:place:2770006,merge_dedupe,high,0,"Canonical ORI = MN0030600 (the only one on the FBI 2024 roster, listed as ""White Earth Tribal"", Tribal, is_nibrs since 2017-02-01). MNDI01900 must stop carrying mass — it is the BIA-series shadow ORI for the same White Earth Tribal Police Department and is ABSENT from the 2024 roster. Footprint: BOTH current footprints are wrong and the merge must not inherit either. 27:statewide_overlap_layer smears a tribal PD's 171 offenses across 5.7M Minnesotans; 27:municipal:place:2770006 (White Earth CDP, ~600 people) would imply ~28,000/100k. Correct footprint is the White Earth Reservation AIANNH area spanning Becker (005), Mahnomen and Clearwater counties (~9-10k served, giving a plausible ~1,700/100k). If the crosswalk has no AIANNH layer, escalate the footprint separately rather than defaulting to statewide."
a3-MI-lincoln-vs-lincoln-township,MI,2,MI0153300;MI1176600,same_agency_merge,MI1176600,26:municipal:cousub:2602147600 | municipal:cousub:2602147600 | cousub:2602147600,merge_dedupe,high,0,"Canonical ORI = MI1176600 (Lincoln Township Police Department, Berrien County), footprint 26:municipal:cousub:2602147600 (Lincoln charter township) — already correct, keep as-is. MI0153300 must stop carrying mass entirely and should carry ZERO, not a fill: its CIUS rows are a name-collision mis-key of Lincoln Township's published data onto the Lincoln village (Alcona County) ORI, and it has no independent data of its own to preserve. Do not let the differing county FIPS (001 vs 021) or differing footprints block the merge — the geographic mismatch IS the defect. The 2022 discrepancy (CIUS 149 vs NIB/SRS 153) is an as-published-vs-revised difference, not evidence of a second agency. Recommend a parser guard: reject a CIUS row whose implied all-offence rate exceeds a hard ceiling (e.g. 10,000/100k) against the target ORI's own FBI population."
a2-CA05499-highway-patrol-visalia,CA,2,CA0549980;CA0549981,distinct_agencies,,06:statewide_overlap_layer | statewide_overlap_layer,keep_all_oris,high,0,"Keep both ORI9s. CA0549980 (Visalia Area Office, 314) and CA0549981 (Porterville Area Office, 140) are separate CHP field offices; the correct 2024 block total is 454 and no counts should be collapsed. The shared 06:statewide_overlap_layer footprint is NOT evidence of a shared jurisdiction — it is the crosswalk's default for every state agency the FBI publishes no population for, so every CHP office in California lands on that same layer by construction and it carries zero discriminating information. Separately worth recording (not a merge issue): the statewide smear means this MVT-heavy CHP mass is not localized to Tulare County, which is the state-police-localization problem, not a duplication problem."
a2-OK05502-del-city,OK,2,OK0550200;OK055025C,distinct_agencies,,40:municipal:place:4019900 | 40:statewide_overlap_layer | statewide_overlap_layer | municipal:place:4019900,keep_all_oris,high,0,"Keep both. OK0550200 = Del City Police Department, 777, footprint 40:municipal:place:4019900 — correct as-is. OK055025C = Oklahoma Department of Corrections, 133, a state correctional agency. No merge, no supersession; the block total of 910 is not double counting and the 133 must NOT be collapsed onto Del City. Two follow-ups that are footprint problems, not dedup problems: (1) OK055025C carries name '(blank)' and type 'unknown' in the panel while the FBI 2024 roster names it — adopt the roster name and type so it stops presenting as a Del City twin; (2) its 15 murders and 37 rapes ride 40:statewide_overlap_layer at w=1, smearing institutional-population incidents across all of Oklahoma residential geography, which should be reviewed separately."
a3-NC-raleigh-vs-wakemed-campus-police,NC,2,NC092109E;NC0929800,same_agency_merge,NC092109E,37:statewide_overlap_layer | statewide_overlap_layer,merge_dedupe,high,0,"Canonical ORI9: NC092109E (the ORI the FBI's own 2024 CDE roster identifies as 'WakeMed Campus Police', Other, Wake County). Retire NC0929800 — it is ABSENT from the 2024 roster and is the duplicate carrier. Correct the canonical record's name from the batch-header value 'RALEIGH' to 'WakeMed Campus Police'. Footprint: a hospital campus police agency belongs on a Wake County / Raleigh non-exclusive overlay, not 37:statewide_overlap_layer; at minimum keep exactly ONE overlay at w=1 so the 103 counts land once instead of twice. Not a succession — the active windows overlap fully (2019-2024 in both), so this is a concurrent cross-lane duplicate."
