ori,state_fips,state_abbr,agency_name_std,leaic_lg_name,est_total_2024,match_status,aiannh_codes,aiannh_names,comptyp_included,footprint_pop20_in_state,n_blocks_in_state,match_basis,reviewer_note
WADI05700,53,WA,COLVILLE TRIBAL,CONFEDERATED TRIBES OF THE COLVILLE RESERVATION,76.36363636363636,matched,0760,Colville Reservation,R;T,7807,940,leaic_lg_name 'CONFEDERATED TRIBES OF THE COLVILLE RESERVATION' == AIANNH NAME 'Colville',Same footprint as WA0241400.
MTDI06200,30,MT,ROCKY BOY S TRIBAL,CHIPPEWA CREE TRIBE,36.0,matched,3205,Rocky Boy's Reservation,R;T,3639,210,"agency_name_std ""ROCKY BOY S TRIBAL"" == AIANNH NAME ""Rocky Boy's""","leaic_lg_name 'CHIPPEWA CREE TRIBE' does not resemble the Census name; the Chippewa Cree Tribe's reservation is Rocky Boy's, and the agency name supplies it. Same footprint as MT0210200 and MTDI05600. COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 2,007 (R only) to 3,639 (+81%)."
MNDI01900,27,MN,WHITE EARTH TRIBAL,MINNESOTA CHIPPEWA - FOND DU LAC,171.0,matched,4595,White Earth Reservation,R;T,9726,1231,agency_name_std 'WHITE EARTH TRIBAL' == AIANNH NAME 'White Earth',"leaic_lg_name is the generic parent label 'MINNESOTA CHIPPEWA - FOND DU LAC' that LEAIC applies to several Minnesota Chippewa Tribe component bands, so it is not usable identity evidence here; the agency name is. Tribe-wide 'Minnesota Chippewa' trust land (2285, 7 blocks, pop 8) is not attributable to a single band and is excluded from all MCT-band ORIs."
AZ0111500,04,AZ,GILA RIVER INDIAN COMNTY,GILA RIVER PIMA-MARICOPA INDIAN COMMUNITY,836.0804215227065,matched,1310,Gila River Indian Reservation,R,14053,670,leaic_lg_name 'GILA RIVER PIMA-MARICOPA INDIAN COMMUNITY' == AIANNH NAME 'Gila River',
CTDI00200,09,CT,MASHANTUCKET PEQUOT TRBL,MASHANTUCKET PEQUOT TRIBE,102.0,matched,2145,Mashantucket Pequot Reservation,R;T,457,32,leaic_lg_name 'MASHANTUCKET PEQUOT TRIBE' == AIANNH NAME 'Mashantucket Pequot',"Distinct from the state-recognised Paucatuck Eastern Pequot area (9280, CLASSFP D4) which is a different tribe."
AZ0048900,04,AZ,SAN CARLOS APACHE,SAN CARLOS APACHE TRIBE,862.0,matched,3355,San Carlos Reservation,R,10251,580,leaic_lg_name 'SAN CARLOS APACHE TRIBE' == AIANNH NAME 'San Carlos',"Census area name is 'San Carlos Reservation'; the tribe name carries 'Apache', the area name does not."
NMDI05700,35,NM,ISLETA TRIBAL,PUEBLO OF ISLETA,138.0,matched,1625,Isleta Pueblo,R,3376,323,leaic_lg_name 'PUEBLO OF ISLETA' == AIANNH NAME 'Isleta',
AZ0018900,04,AZ,NAVAJO NATION,NAVAJO NATION,399.0,matched,2430,Navajo Nation Reservation,R;T,94511,9976,leaic_lg_name 'NAVAJO NATION' == AIANNH NAME 'Navajo Nation',"Navajo Nation spans AZ/NM/UT; footprint restricted to the AZ portion per instruction. Three other Navajo ORIs (AZ0038900, AZDI05500, AZDI07200) map to the same AZ footprint - overlapping coverage, do not sum."
KSDI05200,20,KS,SAC AND FOX TRIBAL,SAC AND FOX TRIBE OF KANSAS,8.872188135034962,matched,3285,Sac and Fox Nation Reservation,R;T,68,27,leaic_lg_name 'SAC AND FOX TRIBE OF KANSAS' == AIANNH NAME 'Sac and Fox Nation',"Reservation spans KS/NE; KS portion only. The joint-use area 4910 'Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land' (1 block, pop 0) is excluded to avoid double-counting with KSDI05000; it carries no population. COMPTYP FLAG: including off-reservation trust land (T) raises the footprint from 47 (R only) to 68 (+45%)."
OKDI14000,40,OK,EASTERN SHAWNEE TRIBAL,EASTERN SHAWNEE TRIBE OF OKLAHOMA,61.0,matched,5640,Eastern Shawnee OTSA,R,743,34,OTSA; leaic_lg_name 'EASTERN SHAWNEE TRIBE OF OKLAHOMA' == AIANNH NAME 'Eastern Shawnee',"Footprint is an Oklahoma Tribal Statistical Area (OTSA), a Census statistical area for a tribe without a reservation - NOT a reservation boundary. OTSAs are large and overlap; supervisor must decide separately whether OTSA extent is an acceptable policing footprint."
