share_dispersion_version,offense,stratum,target_log_sd,n_cells,measured_tvd,median_n_bg,pooled_fallback,source
uncertainty_share_dispersion_v1,aggravated_assault,core,0.912328050244462,18,0.5851493175481122,569.0,False,scripts/diagnostics/uncertainty_calibration.py; out-of-fold nested three-expert mixture on benchmark_registry_v1. target_log_sd is the median over cells of the excess-of-Poisson log-share residual sd; measured_tvd is recorded as a diagnostic and is NOT the fitting target
uncertainty_share_dispersion_v1,aggravated_assault,suburban,0.6747970010565449,14,0.7803777125505822,61.5,False,scripts/diagnostics/uncertainty_calibration.py; out-of-fold nested three-expert mixture on benchmark_registry_v1. target_log_sd is the median over cells of the excess-of-Poisson log-share residual sd; measured_tvd is recorded as a diagnostic and is NOT the fitting target
uncertainty_share_dispersion_v1,aggravated_assault,small,0.6717875389961573,8,0.4174665513414536,26.0,False,scripts/diagnostics/uncertainty_calibration.py; out-of-fold nested three-expert mixture on benchmark_registry_v1. target_log_sd is the median over cells of the excess-of-Poisson log-share residual sd; measured_tvd is recorded as a diagnostic and is NOT the fitting target
uncertainty_share_dispersion_v1,burglary,core,0.6933264361286382,19,0.9176227865043929,514.0,False,scripts/diagnostics/uncertainty_calibration.py; out-of-fold nested three-expert mixture on benchmark_registry_v1. target_log_sd is the median over cells of the excess-of-Poisson log-share residual sd; measured_tvd is recorded as a diagnostic and is NOT the fitting target
uncertainty_share_dispersion_v1,burglary,suburban,0.6264912378137226,13,0.8435270164283826,64.0,False,scripts/diagnostics/uncertainty_calibration.py; out-of-fold nested three-expert mixture on benchmark_registry_v1. target_log_sd is the median over cells of the excess-of-Poisson log-share residual sd; measured_tvd is recorded as a diagnostic and is NOT the fitting target
uncertainty_share_dispersion_v1,burglary,small,0.5177185628973116,10,0.5666922058076468,26.0,False,scripts/diagnostics/uncertainty_calibration.py; out-of-fold nested three-expert mixture on benchmark_registry_v1. target_log_sd is the median over cells of the excess-of-Poisson log-share residual sd; measured_tvd is recorded as a diagnostic and is NOT the fitting target
uncertainty_share_dispersion_v1,larceny,core,0.7528952934305911,27,0.8655833017835404,514.0,False,scripts/diagnostics/uncertainty_calibration.py; out-of-fold nested three-expert mixture on benchmark_registry_v1. target_log_sd is the median over cells of the excess-of-Poisson log-share residual sd; measured_tvd is recorded as a diagnostic and is NOT the fitting target
uncertainty_share_dispersion_v1,larceny,suburban,0.7094055761281491,19,0.7877581591412404,65.0,False,scripts/diagnostics/uncertainty_calibration.py; out-of-fold nested three-expert mixture on benchmark_registry_v1. target_log_sd is the median over cells of the excess-of-Poisson log-share residual sd; measured_tvd is recorded as a diagnostic and is NOT the fitting target
uncertainty_share_dispersion_v1,larceny,small,0.9715815995130057,16,0.7630404247397864,26.0,False,scripts/diagnostics/uncertainty_calibration.py; out-of-fold nested three-expert mixture on benchmark_registry_v1. target_log_sd is the median over cells of the excess-of-Poisson log-share residual sd; measured_tvd is recorded as a diagnostic and is NOT the fitting target
uncertainty_share_dispersion_v1,motor_vehicle_theft,core,0.7611346438239526,18,0.8628038886432783,514.0,False,scripts/diagnostics/uncertainty_calibration.py; out-of-fold nested three-expert mixture on benchmark_registry_v1. target_log_sd is the median over cells of the excess-of-Poisson log-share residual sd; measured_tvd is recorded as a diagnostic and is NOT the fitting target
uncertainty_share_dispersion_v1,motor_vehicle_theft,suburban,0.6128290213808443,16,0.7295452907289872,64.0,False,scripts/diagnostics/uncertainty_calibration.py; out-of-fold nested three-expert mixture on benchmark_registry_v1. target_log_sd is the median over cells of the excess-of-Poisson log-share residual sd; measured_tvd is recorded as a diagnostic and is NOT the fitting target
