reporting_unit,town,year,source_offense,offense,count,definition_basis
CTSP00100,Andover,2024,Aggravated Assault,aggravated_assault,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00100,Andover,2024,Burglary/Breaking & Entering,burglary,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00100,Andover,2024,Larceny_Theft Offenses Total,larceny,4,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00100,Andover,2024,Motor Vehicle Theft,motor_vehicle_theft,2,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00100,Andover,2024,Murder and Nonnegligent Manslaughter,murder,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00100,Andover,2024,All Rape,rape,1,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00100,Andover,2024,Robbery,robbery,2,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00300,Ashford,2024,Aggravated Assault,aggravated_assault,1,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00300,Ashford,2024,Burglary/Breaking & Entering,burglary,2,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00300,Ashford,2024,Larceny_Theft Offenses Total,larceny,8,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00300,Ashford,2024,Motor Vehicle Theft,motor_vehicle_theft,1,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00300,Ashford,2024,Murder and Nonnegligent Manslaughter,murder,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00300,Ashford,2024,All Rape,rape,1,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00300,Ashford,2024,Robbery,robbery,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00500,Barkhamsted,2024,Aggravated Assault,aggravated_assault,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00500,Barkhamsted,2024,Burglary/Breaking & Entering,burglary,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00500,Barkhamsted,2024,Larceny_Theft Offenses Total,larceny,7,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00500,Barkhamsted,2024,Motor Vehicle Theft,motor_vehicle_theft,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00500,Barkhamsted,2024,Murder and Nonnegligent Manslaughter,murder,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00500,Barkhamsted,2024,All Rape,rape,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00500,Barkhamsted,2024,Robbery,robbery,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00600,Beacon Falls,2024,Aggravated Assault,aggravated_assault,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00600,Beacon Falls,2024,Burglary/Breaking & Entering,burglary,3,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00600,Beacon Falls,2024,Larceny_Theft Offenses Total,larceny,8,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00600,Beacon Falls,2024,Motor Vehicle Theft,motor_vehicle_theft,4,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00600,Beacon Falls,2024,Murder and Nonnegligent Manslaughter,murder,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00600,Beacon Falls,2024,All Rape,rape,1,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00600,Beacon Falls,2024,Robbery,robbery,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00800,Bethany,2024,Aggravated Assault,aggravated_assault,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00800,Bethany,2024,Burglary/Breaking & Entering,burglary,3,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00800,Bethany,2024,Larceny_Theft Offenses Total,larceny,10,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00800,Bethany,2024,Motor Vehicle Theft,motor_vehicle_theft,2,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00800,Bethany,2024,Murder and Nonnegligent Manslaughter,murder,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00800,Bethany,2024,All Rape,rape,0,CT Crime Insight offense-category count; CSP town jurisdiction member
CTSP00800,Bethany,2024,Robbery,robbery,0,CT Crime Insight offense-category count; CSP town jurisdiction member
