state_abbr,year,source_sheet,source_row_number,county,agency_name,agency_name_normalized,population_estimate,quarters_reported,months_reported,offense_level,offense_bucket,offense_name,offense_name_source,offense_slug,period,quarter,month,month_name,incident_count,annual_rate
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter,murder_and_non_negligent_manslaughter,M01,1,1,Jan,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter,murder_and_non_negligent_manslaughter,M02,1,2,Feb,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter,murder_and_non_negligent_manslaughter,M03,1,3,Mar,3,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter,murder_and_non_negligent_manslaughter,M04,2,4,Apr,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter,murder_and_non_negligent_manslaughter,M05,2,5,May,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter,murder_and_non_negligent_manslaughter,M06,2,6,Jun,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter,murder_and_non_negligent_manslaughter,M07,3,7,Jul,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter,murder_and_non_negligent_manslaughter,M08,3,8,Aug,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter,murder_and_non_negligent_manslaughter,M09,3,9,Sep,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter,murder_and_non_negligent_manslaughter,M10,4,10,Oct,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter,murder_and_non_negligent_manslaughter,M11,4,11,Nov,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter,murder_and_non_negligent_manslaughter,M12,4,12,Dec,0,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Murder and Non-Negligent Manslaughter,Murder and Non-Negligent Manslaughter,murder_and_non_negligent_manslaughter,YTD,,,,3,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M01,1,1,Jan,2,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M02,1,2,Feb,5,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M03,1,3,Mar,3,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M04,2,4,Apr,2,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M05,2,5,May,6,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M06,2,6,Jun,7,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M07,3,7,Jul,9,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M08,3,8,Aug,7,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M09,3,9,Sep,4,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M10,4,10,Oct,3,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M11,4,11,Nov,3,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,M12,4,12,Dec,1,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Forcible Sex Offenses,Forcible Sex Offenses,forcible_sex_offenses,YTD,,,,52,
