source_id,source_name,provider_url,provides,used_in_build,license_attribution,derived_aggregate_constraint,legal_review_flag
fbi_ucr_cde_cius_return_a_nibrs,FBI UCR/CDE/CIUS/Return A/NIBRS,https://cde.ucr.cjis.gov,Official annual crime controls and agency/publication crime rows,"observations; source_selection; controls; FBI-calibrated outputs","US Government public domain; cite FBI UCR/CDE and publication vintage","No known restriction on modeled aggregate redistribution; do not imply FBI endorsement",no
kaplan_openicpsr_fbi,Kaplan openICPSR FBI Return A and NIBRS concatenations,https://www.openicpsr.org/openicpsr/project/100707; https://www.openicpsr.org/openicpsr/project/118281,Restacked FBI Return A and NIBRS segment snapshots,SRS/NIBRS panel and rollups,"Underlying FBI data public domain; cite Kaplan/openICPSR package and vintage","Aggregates can be published with source/citation chain retained",no
census_acs,ACS 2020-2024 5-year,https://api.census.gov/data/2024/acs/acs5,Block-group and tract demographic/housing/economic covariates,BG prior and denominators,"US Government public domain; cite U.S. Census Bureau ACS","No restriction on derived aggregate redistribution",no
census_popest,Census Population Estimates Vintage 2025,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/counties/totals/co-est2025-alldata.csv,County/place/state population updates,Controls and denominators,"US Government public domain; cite Census Population Estimates Program","No restriction on derived aggregate redistribution",no
census_tiger,TIGER/Line 2020 geometry and roads,https://www2.census.gov/geo/tiger/TIGER2020/,Blocks block groups tracts places county subdivisions and roads,Geometry crosswalks and road covariates,"US Government public domain; cite U.S. Census Bureau TIGER/Line","No restriction on derived aggregate redistribution",no
census_lodes,LEHD LODES8,https://lehd.ces.census.gov/data/lodes/LODES8,Workplace jobs and OD flow/activity covariates,BG prior and exposure proxy,"US Government public domain; cite Census LEHD/LODES","No restriction on derived aggregate redistribution",no
landscan_usa,LandScan USA 2021,https://landscan.ornl.gov,Modeled daytime population aggregated to 2020 block groups,Person-exposure denominator floor-lifter for murder rape robbery aggravated assault and larceny,"Oak Ridge National Laboratory LandScan USA 2021; Creative Commons Attribution 4.0 International (CC BY 4.0); cite ORNL/LandScan USA vintage","Derived aggregates can be published with clear ORNL/LandScan attribution; LandScan USA excludes transitory populations such as tourists",no
overture_places,Overture Places,https://stac.overturemaps.org/catalog.json,Consumer destinations and commercial-core place features,Residual allocator features and burglary commercial-premises component,"Overture per-theme terms; CDLA-Permissive 2.0 and/or ODbL components; attribution required","Publish derived aggregates with attribution; review ODbL passthrough/share-alike",yes
openstreetmap,OpenStreetMap,https://www.openstreetmap.org/copyright,OSM-derived map/place facts primarily via Overture lineage,Referenced OSM/POI upstream; no active raw OSM loader found,"ODbL; attribution required; derivative database share-alike may apply","Legal review if released database is derived from OSM/ODbL data",yes
nlcd_mrlc,NLCD / MRLC / USGS,https://www.mrlc.gov,Land cover imperviousness and impervious descriptor rasters,BG prior land-cover covariates,"US Government public domain; cite USGS/MRLC NLCD","No restriction on derived aggregate redistribution",no
fhwa_hpms,FHWA HPMS,https://www.fhwa.dot.gov/policyinformation/hpms.cfm,Highway and traffic-exposure metrics,BG prior road/transport covariates,"US Government public domain; cite FHWA HPMS","No restriction on derived aggregate redistribution",no
ntm_transit,National Transit Map,https://ngda-transportation-geoplatform.hub.arcgis.com/api/download/v1/items/959b4adc3ff94bc6a46f2c1d515d09aa/shapefile?layers=0,Transit stops/access features,BG prior transit covariates,"US Government public domain; cite USDOT/FTA/BTS National Transit Map","No restriction on derived aggregate redistribution",no
bls_cpi_fred,CPI-U via FRED,https://fred.stlouisfed.org/graph/fredgraph.csv?id=CPIAUCSL,CPI-U inflation adjustment series,ACS monetary covariate inflation,"BLS federal data public domain; FRED access attribution customary","No restriction on derived aggregate redistribution",no
nces_edge,NCES EDGE,https://nces.ed.gov/programs/edge/data,School and postsecondary location anchors,BG prior education-anchor covariates,"US Government public domain; cite NCES EDGE","No restriction on derived aggregate redistribution",no
cms_hospitals,CMS Hospital General Information,https://data.cms.gov/provider-data/,Hospital anchor locations,BG prior hospital-anchor covariates,"US Government public domain; cite CMS Provider Data","No restriction on derived aggregate redistribution",no
fdle_fibrs,Florida FDLE FIBRS/UCR,https://www.fdle.state.fl.us/CJAB/UCR,Florida 2024 state-publication annual offense rows,state_publication_annual lane,"Public official state data; attribute FDLE; portal terms should be checked","Derived aggregate use intended; review before raw extract redistribution",yes
ms_tops,Mississippi TOPS public portal,https://mscrimestats.dps.ms.gov/public/View/dispview.aspx,Optional Mississippi 2024 state-publication report cache,state_publication_annual support,"Public official state data; attribute Mississippi TOPS/state source; portal terms should be checked","Derived aggregate use intended; review before raw extract redistribution",yes
municipal_annual_packets,Municipal annual publication packets,internal development workspace (not included in this repository),Reviewed direct local annual publication rows,local_publication_annual lane,"Public official reports; attribute issuing agency/source; terms vary","Derived aggregate use intended; review before raw report extract redistribution",yes
city_new_york,NYPD Complaint Data Historic + Current feeds,https://data.cityofnewyork.us/api/views/qgea-i56i/rows.csv?accessType=DOWNLOAD; https://data.cityofnewyork.us/api/views/5uac-w243/rows.csv?accessType=DOWNLOAD,Geocoded city incident records,city incident share surface,"NYC Open Data/NYPD attribution; portal terms vary","Derived aggregates intended; do not redistribute raw records without terms review",yes
city_chicago,Chicago Crimes 2001 to Present,https://data.cityofchicago.org/api/views/ijzp-q8t2/rows.csv?accessType=DOWNLOAD,Geocoded city incident records,city incident share surface,"City of Chicago/CPD attribution; portal terms vary","Derived aggregates intended; do not redistribute raw records without terms review",yes
city_boston,Boston Crime Incident Reports,https://data.boston.gov/dataset/crime-incident-reports-august-2015-to-date-source-new-system,Geocoded city incident records,city incident share surface,"City of Boston/BPD attribution; portal terms vary","Derived aggregates intended; do not redistribute raw records without terms review",yes
city_seattle,Seattle SPD Crime Data,https://data.seattle.gov/api/views/tazs-3rd5/rows.csv?accessType=DOWNLOAD,Geocoded city incident records,city incident share surface,"City of Seattle/SPD attribution; portal terms vary","Derived aggregates intended; do not redistribute raw records without terms review",yes
city_san_francisco,SFPD incident feeds,https://data.sfgov.org/api/views/tmnf-yvry/rows.csv?accessType=DOWNLOAD; https://data.sfgov.org/api/views/wg3w-h783/rows.csv?accessType=DOWNLOAD,Geocoded city incident records,city incident share surface,"DataSF/SFPD attribution; portal terms vary","Derived aggregates intended; do not redistribute raw records without terms review",yes
city_austin,Austin APD Crime Reports,https://data.austintexas.gov/api/views/fdj4-gpfu/rows.csv?accessType=DOWNLOAD,Geocoded/block-group city incident records,city incident share surface,"City of Austin/APD attribution; portal terms vary","Derived aggregates intended; do not redistribute raw records without terms review",yes
city_mesa,Mesa Police incidents 2020-present,https://data.mesaaz.gov/resource/hpbg-2wph.csv,Geocoded city incident records,city incident share surface,"City of Mesa/Police attribution; portal terms vary","Derived aggregates intended; do not redistribute raw records without terms review",yes
city_baltimore,Baltimore Part1 Crime Beta and NIBRS GroupA feeds,https://services1.arcgis.com/UWYHeuuJISiGmgXx/arcgis/rest/services/Part1_Crime_Beta/FeatureServer/0; https://services1.arcgis.com/UWYHeuuJISiGmgXx/arcgis/rest/services/NIBRS_GroupA_Crime_Data/FeatureServer/0,Geocoded city incident records,city incident share surface,"Baltimore/BPD attribution; ArcGIS portal terms vary","Derived aggregates intended; do not redistribute raw records without terms review",yes
city_philadelphia,Philadelphia crime incidents,https://opendataphilly.org/datasets/crime-incidents/; https://phl.carto.com/api/v2/sql,Geocoded city incident records,city incident share surface,"OpenDataPhilly/Philadelphia Police attribution; CARTO/OpenDataPhilly terms vary","Derived aggregates intended; do not redistribute raw records without terms review",yes
city_los_angeles,LAPD legacy geocoded incidents and NIBRS companion feeds,https://data.lacity.org/api/views/63jg-8b9z/rows.csv?accessType=DOWNLOAD; https://data.lacity.org/api/views/2nrs-mtv8/rows.csv?accessType=DOWNLOAD; https://data.lacity.org/api/views/y8y3-fqfu/rows.csv?accessType=DOWNLOAD; https://data.lacity.org/api/views/gqf2-vm2j/rows.csv?accessType=DOWNLOAD,Blocked city incident source candidate,blocked city packet,"LA open data/LAPD attribution; portal terms vary","Blocked for share promotion; review before raw redistribution",yes
city_washington_dc,MPD Crime Incidents 2024 and official anchors,https://opendata.dc.gov/datasets/DCGIS::crime-incidents-in-2024; https://mpdc.dc.gov/dailycrime; https://mpdc.dc.gov/page/mpd-annual-report-2024,Geocoded city incident records and official anchors,city incident share surface,"DC/MPD attribution; portal/report terms vary","Derived aggregates intended; do not redistribute raw records without terms review",yes
city_denver,Denver crime FeatureServer and dashboard anchors,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_CRIME_OFFENSES_P/FeatureServer/324; https://www.denvergov.org/opendata/dataset/city-and-county-of-denver-crime,Geocoded city incident records and official anchors,city incident share surface,"City and County of Denver/DPD attribution; portal terms vary","Derived aggregates intended; do not redistribute raw records without terms review",yes
