feature,classification,rationale,feature_group,feature_source,source,final_class,current_burglary_within_share_feature
daytime_population_jobs_proxy_density_sqkm,mass-duplicate,Raw workplace/commercial volume or density is already represented in D_burglary.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
jobs_density_sqkm,mass-duplicate,Raw workplace/commercial volume or density is already represented in D_burglary.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
log_daytime_population_jobs_proxy,mass-duplicate,Raw workplace/commercial volume or density is already represented in D_burglary.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
log_daytime_population_jobs_proxy_density_sqkm,mass-duplicate,Raw workplace/commercial volume or density is already represented in D_burglary.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
log_jobs_density_sqkm,mass-duplicate,Raw workplace/commercial volume or density is already represented in D_burglary.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
log_jobs_wac,mass-duplicate,Raw workplace/commercial volume or density is already represented in D_burglary.,activity_exposure_commercial,base_covariate,base_covariate,between_and_within,True
log_overture_atm_bank_density_sqkm,mass-duplicate,Raw Overture commercial category density duplicates commercial exposure in D_burglary.,activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
log_overture_consumer_destination_any_density_sqkm,mass-duplicate,Raw Overture commercial category density duplicates commercial exposure in D_burglary.,activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
log_overture_convenience_fuel_density_sqkm,mass-duplicate,Raw Overture commercial category density duplicates commercial exposure in D_burglary.,activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
log_overture_food_service_density_sqkm,mass-duplicate,Raw Overture commercial category density duplicates commercial exposure in D_burglary.,activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
log_overture_grocery_density_sqkm,mass-duplicate,Raw Overture commercial category density duplicates commercial exposure in D_burglary.,activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
log_overture_lodging_density_sqkm,mass-duplicate,Raw Overture commercial category density duplicates commercial exposure in D_burglary.,activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
log_overture_nightlife_alcohol_density_sqkm,mass-duplicate,Raw Overture commercial category density duplicates commercial exposure in D_burglary.,activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
log_overture_parking_density_sqkm,mass-duplicate,Raw Overture commercial category density duplicates commercial exposure in D_burglary.,activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_atm_bank_density_sqkm,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_atm_bank_present,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
overture_atm_bank_within_1km,mass-duplicate,"Overture commercial presence, radius count, or core intensity is exposure mass already in D_burglary.",activity_exposure_commercial,residual_allocator_only,residual_allocator_only,between_and_within,True
