baseline,candidate,surface,offense,rows,sum_abs_diff,max_abs_diff,changed_rows
county-anchoring-v3,county-anchoring-v4,block_group_ags_core,murder,238193,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,block_group_ags_core,rape,238193,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,block_group_ags_core,robbery,238193,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,block_group_ags_core,aggravated_assault,238193,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,block_group_ags_core,larceny,238193,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,block_group_ags_core,motor_vehicle_theft,238193,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,tract_ags_core,murder,83776,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,tract_ags_core,rape,83776,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,tract_ags_core,robbery,83776,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,tract_ags_core,aggravated_assault,83776,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,tract_ags_core,larceny,83776,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,tract_ags_core,motor_vehicle_theft,83776,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,block_group_fbi_calibrated,murder,238193,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,block_group_fbi_calibrated,rape,238193,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,block_group_fbi_calibrated,robbery,238193,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,block_group_fbi_calibrated,aggravated_assault,238193,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,block_group_fbi_calibrated,larceny,238193,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,block_group_fbi_calibrated,motor_vehicle_theft,238193,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,tract_fbi_calibrated,murder,83776,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,tract_fbi_calibrated,rape,83776,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,tract_fbi_calibrated,robbery,83776,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,tract_fbi_calibrated,aggravated_assault,83776,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,tract_fbi_calibrated,larceny,83776,0.0,0.0,0
county-anchoring-v3,county-anchoring-v4,tract_fbi_calibrated,motor_vehicle_theft,83776,0.0,0.0,0
