split,quintile,rows,commercial_share_mean,after_index_mean,after_index_median
pooled,1,47044,0.0,90.68271959598628,58.58287953601531
pooled,2,47044,0.0024900143846770667,87.50373807085619,57.39658933291611
pooled,3,47044,0.008255625905836854,106.24880530603865,69.09973554835608
pooled,4,47044,0.0183242633356292,112.19241997147775,73.94048609639533
pooled,5,47044,0.05685829102094854,120.40742165206123,80.20730098343617
direct_city_incident,1,2494,0.0,113.2815652597427,69.85164070830791
direct_city_incident,2,2524,0.002616625816151314,132.81244113615872,86.76204724985035
direct_city_incident,3,2890,0.008249478241581168,134.97306097700402,90.05077033287182
direct_city_incident,4,2904,0.01829544950990351,129.37786434334845,86.31974339473966
direct_city_incident,5,2538,0.05825567115693045,130.65345401269454,84.00581722288968
modeled_transfer,1,44543,0.0,89.43010701459434,58.03646757616307
modeled_transfer,2,44506,0.0024830319851711496,84.93048066713982,56.044360836072755
modeled_transfer,3,44150,0.008255973562161196,104.36953350699949,67.80378196427442
modeled_transfer,4,44134,0.018326235661251255,111.07251876907455,72.84009060526648
modeled_transfer,5,44494,0.05675404390046713,119.82640190902912,79.85657022881858
