case_id,run_id,basis,area,area_label,ori9,agency_name,principal_jurisdiction_id,bg_count,allocation_share_sum,population_2024,expected_count_total,rate_total_per_100k,mean_index_total_primary_event_weighted,median_index_total_primary_event_weighted,target_count_total,bucket_population,fbi_population,population_bucket_ratio,notes
clark_nv_las_vegas_valley,county-anchoring-v4,bg_surface_area_weighted,county_nonmunicipal_remainder_cdp,Clark county nonmunicipal remainder/CDPs,NV0020100,LAS VEGAS METRO PD,32:municipal:place:3240000,625.0,543.5432232991,1057618.0408382113,2602.8952352743,246.1091939403,12.9689009657,5.2832632395,,,,,BG surface summarized with block-group-to-area allocation shares; total/primary field is index_total_primary_event_weighted.
clark_nv_las_vegas_valley,county-anchoring-v4,bg_surface_area_weighted,principal_city_place,Las Vegas city place,NV0020100,LAS VEGAS METRO PD,32:municipal:place:3240000,469.0,444.9224057249,676857.0029505318,51345.690124266,7585.8992225007,446.1171725799,362.8300531936,,,,,BG surface summarized with block-group-to-area allocation shares; total/primary field is index_total_primary_event_weighted.
clark_nv_las_vegas_valley,county-anchoring-v4,principal_agency_component_area_weighted,principal_city_place,Las Vegas city place,NV0020100,LAS VEGAS METRO PD,32:municipal:place:3240000,469.0,444.9224057249,676857.0029505318,52405.0,7742.4034576813,,,52405.0,,,,"Only the exclusive principal agency/jurisdiction component: v4 municipal support, v5 consolidated_agency_footprint split back to principal/remainder by footprint shares."
clark_nv_las_vegas_valley,county-anchoring-v4,principal_agency_component_area_weighted,county_nonmunicipal_remainder_cdp,Clark county nonmunicipal remainder/CDPs,NV0020100,LAS VEGAS METRO PD,32:municipal:place:3240000,0.0,543.5432232991,1057618.0408382113,0.0,0.0,,,52405.0,,,,"Only the exclusive principal agency/jurisdiction component: v4 municipal support, v5 consolidated_agency_footprint split back to principal/remainder by footprint shares."
clark_nv_las_vegas_valley,county-anchoring-v4,county_remainder_component_rows,county_nonmunicipal_remainder_cdp,Clark county nonmunicipal remainder/CDPs,NV0020100,LAS VEGAS METRO PD,32:municipal:place:3240000,625.0,543.5432232991,1057618.0408382113,666.5215351356,63.0210065826,,,666.5215351356,,,,All allocation audit rows whose jurisdiction_type contains remainder and whose BG is in the affected county; these non-exclusive support rows should remain in place after consolidation.
clark_nv_las_vegas_valley,consolidated-agency-v5,bg_surface_area_weighted,county_nonmunicipal_remainder_cdp,Clark county nonmunicipal remainder/CDPs,NV0020100,LAS VEGAS METRO PD,32:municipal:place:3240000,625.0,543.5432232991,1057618.0408382113,33168.5249183908,3136.1534729592,176.5140351279,144.4110646311,,,,,BG surface summarized with block-group-to-area allocation shares; total/primary field is index_total_primary_event_weighted.
clark_nv_las_vegas_valley,consolidated-agency-v5,bg_surface_area_weighted,principal_city_place,Las Vegas city place,NV0020100,LAS VEGAS METRO PD,32:municipal:place:3240000,469.0,444.9224057249,676857.0029505318,20294.1610454328,2998.2937248144,183.3395827134,150.9118051188,,,,,BG surface summarized with block-group-to-area allocation shares; total/primary field is index_total_primary_event_weighted.
clark_nv_las_vegas_valley,consolidated-agency-v5,principal_agency_component_area_weighted,county_nonmunicipal_remainder_cdp,Clark county nonmunicipal remainder/CDPs,NV0020100,LAS VEGAS METRO PD,32:municipal:place:3240000,625.0,543.5432232991,1057618.0408382113,32302.7420227912,3054.2918875693,,,52405.0,,,,"Only the exclusive principal agency/jurisdiction component: v4 municipal support, v5 consolidated_agency_footprint split back to principal/remainder by footprint shares."
clark_nv_las_vegas_valley,consolidated-agency-v5,principal_agency_component_area_weighted,principal_city_place,Las Vegas city place,NV0020100,LAS VEGAS METRO PD,32:municipal:place:3240000,469.0,444.9224057249,676857.0029505318,20102.2579772088,2969.9416404912,,,52405.0,,,,"Only the exclusive principal agency/jurisdiction component: v4 municipal support, v5 consolidated_agency_footprint split back to principal/remainder by footprint shares."
clark_nv_las_vegas_valley,consolidated-agency-v5,county_remainder_component_rows,county_nonmunicipal_remainder_cdp,Clark county nonmunicipal remainder/CDPs,NV0020100,LAS VEGAS METRO PD,32:municipal:place:3240000,625.0,543.5432232991,1057618.0408382113,666.5215351356,63.0210065826,,,666.5215351356,,,,All allocation audit rows whose jurisdiction_type contains remainder and whose BG is in the affected county; these non-exclusive support rows should remain in place after consolidation.
