model_variant,metric,direction,ci95_high_v2_feature_set,ci95_high_v3_feature_set,ci95_low_v2_feature_set,ci95_low_v3_feature_set,city_count_v2_feature_set,city_count_v3_feature_set,incident_total_v2_feature_set,incident_total_v3_feature_set,incident_weighted_mean_v2_feature_set,incident_weighted_mean_v3_feature_set,v3_minus_v2,ci95_intervals_overlap,v3_worse_directionally,v3_worse_without_ci_overlap
exposure_baseline,spearman_share,higher_is_better,0.563572200600688,0.5554311491126155,0.45265668561154304,0.4551292164314854,27,27,97356.0,97356.0,0.5066478511647491,0.5040988203655236,-0.0025490307992255268,True,True,False
exposure_baseline,top_decile_capture,higher_is_better,0.25138652744263285,0.24623845071612305,0.21519924214390887,0.21522922846653994,28,28,98248.0,98248.0,0.23428341967261718,0.23138880735579728,-0.0028946123168198945,True,True,False
exposure_baseline,tvd,lower_is_better,0.3727351264552901,0.3743367013983393,0.31840788597765773,0.31968282448875485,28,28,98248.0,98248.0,0.3457727603222665,0.3463595778394558,0.0005868175171893086,True,True,False
nested_inner_tau,spearman_share,higher_is_better,0.5741767963107816,0.5714980898037056,0.4654893333198401,0.4711955678493315,27,27,97356.0,97356.0,0.5191650336175075,0.51946165213403,0.00029661851652240667,True,False,False
nested_inner_tau,top_decile_capture,higher_is_better,0.25567056737375116,0.2540673613335985,0.21929233041258658,0.21968186710668527,28,28,98248.0,98248.0,0.23907310226899015,0.2376620944238597,-0.0014110078451304575,True,True,False
nested_inner_tau,tvd,lower_is_better,0.3605127179698554,0.3584131946094113,0.30628129456678266,0.3062544383135446,28,28,98248.0,98248.0,0.33304916339592244,0.33262899455063416,-0.00042016884528828236,True,False,False
nested_selected_policy,spearman_share,higher_is_better,0.575561208477698,0.57190006432055,0.46432599486903525,0.47079191565000983,27,27,97356.0,97356.0,0.5191650336175075,0.51946165213403,0.00029661851652240667,True,False,False
nested_selected_policy,top_decile_capture,higher_is_better,0.2564220808844703,0.2538519199751497,0.2194134528899024,0.2199848735201457,28,28,98248.0,98248.0,0.23907310226899015,0.2376620944238597,-0.0014110078451304575,True,True,False
nested_selected_policy,tvd,lower_is_better,0.35961139003052245,0.3587697388567506,0.3065186343787566,0.3065496287554486,28,28,98248.0,98248.0,0.33304916339592244,0.33262899455063416,-0.00042016884528828236,True,False,False
outer_residual_tau1,spearman_share,higher_is_better,0.6000358785487426,0.5967990365929444,0.477466518322834,0.47456884830525553,27,27,97356.0,97356.0,0.5395077519142072,0.5350130305934145,-0.0044947213207926495,True,True,False
outer_residual_tau1,top_decile_capture,higher_is_better,0.2617839045116586,0.259558055435479,0.22893656369285023,0.23051472115071278,28,28,98248.0,98248.0,0.24509993213572123,0.2443677542881359,-0.0007321778475853358,True,True,False
outer_residual_tau1,tvd,lower_is_better,0.37681791348165583,0.37612795245689523,0.2876697697341559,0.29038330400346835,28,28,98248.0,98248.0,0.3261079482887582,0.3263957477564838,0.000287799467725558,True,True,False
