case_id,class,subclass,batch_file,index_in_batch,state,n_oris,oris,provenance_kind,mass_hint,evidence_chars
c-FL0480000-orange,token_reporter,c,batches/batch_001.json,0,FL,1,FL0480000,,17358.0,5304
b2-MN0181100-pequot-lakes,published_zero,b2_cius,batches/batch_001.json,1,MN,1,MN0181100,full_year_nibrs_backed,37.0,5501
c-LA0170200-baton-rouge,token_reporter,c,batches/batch_001.json,2,LA,1,LA0170200,,9410.5,5455
c-FL0060800-pembroke-pines,token_reporter,c,batches/batch_001.json,3,FL,1,FL0060800,,3236.0,5381
b2-AL0080200-blountsville,published_zero,b2_cius,batches/batch_001.json,4,AL,1,AL0080200,full_year_nibrs_backed,31.5,5509
a2-CA01999-highway-patrol-east,ambiguous_twin,a2,batches/batch_001.json,5,CA,14,CA0199935|CA0199940|CA0199925|CA0199950|CA0199930|CA0199910|CA0199990|CA0199975|CA0199965|CA0199980|CA0199901|CA0199941|CA0199945|CA0199998,,392.0,14318
c-FL0130500-homestead,token_reporter,c,batches/batch_001.json,6,FL,1,FL0130500,,2722.5,5277
c-IN0450500-gary,token_reporter,c,batches/batch_001.json,7,IN,1,IN0450500,,2180.0,5219
b2-GA0710300-buchanan,published_zero,b2_cius,batches/batch_001.json,8,GA,1,GA0710300,full_year_nibrs_backed,30.0,5460
c-FL0030100-panama-city,token_reporter,c,batches/batch_001.json,9,FL,1,FL0030100,,1725.0,5444
c-CA0190I00-uprr-los-angeles-county,token_reporter,c,batches/batch_001.json,10,CA,1,CA0190I00,,1500.0,5370
b2-PA0032200-east-franklin-township,published_zero,b2_cius,batches/batch_001.json,11,PA,1,PA0032200,zero_month_submission,30.0,5431
c-FL0160300-jacksonville-beach,token_reporter,c,batches/batch_002.json,0,FL,1,FL0160300,,902.0,5163
c-DCVA00000-united-states-department,token_reporter,c,batches/batch_002.json,1,DC,1,DCVA00000,,705.0,5145
c-FL0280300-sebring,token_reporter,c,batches/batch_002.json,2,FL,1,FL0280300,,510.0,5090
b2-TX2300300-ore-city,published_zero,b2_cius,batches/batch_002.json,3,TX,1,TX2300300,full_year_nibrs_backed,30.0,5446
a3-MA-cambridge-vs-mass-inst-of,ambiguous_twin,a3,batches/batch_002.json,4,MA,2,MA009639E|MA009IT00,,295.0,5871
c-FL0290300-temple-terrace,token_reporter,c,batches/batch_002.json,5,FL,1,FL0290300,,475.0,5211
c-FL0460200-fort-walton-beach,token_reporter,c,batches/batch_002.json,6,FL,1,FL0460200,,443.0,5316
b2-MN0610200-starbuck,published_zero,b2_cius,batches/batch_002.json,7,MN,1,MN0610200,full_year_nibrs_backed,28.5,5470
c-FL0550100-st-augustine,token_reporter,c,batches/batch_002.json,8,FL,1,FL0550100,,385.5,5301
c-FL0290600-tampa-international-airp,token_reporter,c,batches/batch_002.json,9,FL,1,FL0290600,,357.0,5647
b2-TX1940300-bogata,published_zero,b2_cius,batches/batch_002.json,10,TX,1,TX1940300,full_year_nibrs_backed,24.0,5509
