batch_file,index_in_batch,case_id,class,residue_reason,residue_subtype,original_class,state,oris,mass_hint,n_source_cases,source_case_ids,signal_arms,both_framings_merged,evidence_chars
batch_001.json,0,r-AL0080200-blountsville,token_zero_shaped,merged_double_framing,both_reject_DIFFERENT_repair,published_zero+token_reporter,AL,AL0080200,31.5,2,b2-AL0080200-blountsville;c-AL0080200-blountsville,capacity_then_zero+pop_gt_1500,1,18187
batch_001.json,1,r-GA0710300-buchanan,token_zero_shaped,merged_double_framing,disposition_conflict_FLAG/REJECT,published_zero+token_reporter,GA,GA0710300,30.0,2,b2-GA0710300-buchanan;c-GA0710300-buchanan,capacity_then_zero,1,18246
batch_001.json,2,r-OK0120500-fort-towson,token_zero_shaped,merged_double_framing,both_reject_DIFFERENT_repair,published_zero+token_reporter,OK,OK0120500,8.5,2,b2-OK0120500-fort-towson;c-OK0120500-fort-towson,capacity_then_zero,1,17105
batch_001.json,3,r-PA0100800-mars,token_zero_shaped,merged_double_framing,both_reject_DIFFERENT_repair,published_zero+token_reporter,PA,PA0100800,6.0,2,b2-PA0100800-mars;c-PA0100800-mars,capacity_then_zero,1,18199
batch_001.json,4,r-NY0502900-wayland-village,token_zero_shaped,merged_double_framing,both_reject_DIFFERENT_repair,published_zero+token_reporter,NY,NY0502900,4.5,2,b2-NY0502900-wayland-village;c-NY0502900-wayland-village,capacity_then_zero+pop_gt_1500,1,20036
batch_001.json,5,r-NY0192200-coxsackie-village,token_zero_shaped,merged_double_framing,both_reject_DIFFERENT_repair,published_zero+token_reporter,NY,NY0192200,4.0,2,b2-NY0192200-coxsackie-village;c-NY0192200-coxsackie-village,capacity_then_zero+pop_gt_1500,1,20987
batch_001.json,6,r-NY0353600-tuxedo-park-village,token_zero_shaped,merged_double_framing,both_reject_DIFFERENT_repair,published_zero+token_reporter,NY,NY0353600,3.0,2,b2-NY0353600-tuxedo-park-village;c-NY0353600-tuxedo-park-village,capacity_then_zero,1,19597
batch_001.json,7,r-PA0580300-lanesboro,token_zero_shaped,merged_double_framing,disposition_conflict_FLAG/REJECT,published_zero+token_reporter,PA,PA0580300,2.5,2,b2-PA0580300-lanesboro;c-PA0580300-lanesboro,capacity_then_zero,1,16845
batch_002.json,0,r-PA0640300-waymart,token_zero_shaped,merged_double_framing,both_reject_DIFFERENT_repair,published_zero+token_reporter,PA,PA0640300,2.5,2,b2-PA0640300-waymart;c-PA0640300-waymart,capacity_then_zero,1,16750
batch_002.json,1,r-NY0492000-interlaken-village,token_zero_shaped,merged_double_framing,both_reject_DIFFERENT_repair,published_zero+token_reporter,NY,NY0492000,2.0,2,b2-NY0492000-interlaken-village;c-NY0492000-interlaken-village,capacity_then_zero,1,18966
batch_002.json,2,r-PA0211000-shiremanstown,token_zero_shaped,merged_double_framing,both_reject_DIFFERENT_repair,published_zero+token_reporter,PA,PA0211000,2.0,2,b2-PA0211000-shiremanstown;c-PA0211000-shiremanstown,capacity_then_zero+pop_gt_1500,1,18051
