ori7c,ori9,state_abbr,state_fips,year,aggravated_assault,burglary,larceny,motor_vehicle_theft,murder,rape,robbery,total,sig,preferred_sources,max_preferred_months,n_usable,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,cw_n_jurisdictions,cw_weight_sum,cw_relationship,cw_jurisdictions,estimated_count_2024_all_offenses,n_ori9,n_ori7,group_total_sum,group_total_max,group_excess_mass,duplicate_class,match_evidence
PA067SP,PA067SP00,PA,42,2024,58.0,1.0,256.0,6.0,0.0,3.0,3.0,327.0,0|3|3|58|1|256|6,srs_return_a_annual,12.0,7,SP YORK COUNTY,state_law_enforcement,,133,99133,srs_agency_header,1.0,1.0,overlap,42:statewide_overlap_layer,327.0,2,2,654.0,327.0,327.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PAPSP94,PAPSP9400,PA,42,2024,58.0,1.0,256.0,6.0,0.0,3.0,3.0,327.0,0|3|3|58|1|256|6,nibrs_srs_equivalent_annual,12.0,7,YORK,state_law_enforcement,78434.0,133,,fbi_cde_agency_roster,1.0,1.0,overlap,42:statewide_overlap_layer,327.0,2,2,654.0,327.0,327.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MA00963,MA009639E,MA,25,2024,6.0,12.0,275.0,2.0,0.0,0.0,0.0,295.0,0|0|0|6|12|275|2,nibrs_srs_equivalent_annual,12.0,7,CAMBRIDGE,special_jurisdiction,0.0,017,,fbi_cde_agency_roster,1.0,1.0,overlap,25:statewide_overlap_layer,295.0,2,2,590.0,295.0,295.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MA009IT,MA009IT00,MA,25,2024,6.0,12.0,275.0,2.0,0.0,0.0,0.0,295.0,0|0|0|6|12|275|2,srs_return_a_annual,12.0,7,MASS INST OF TECHNOLOGY,special_jurisdiction,,017,11000,srs_agency_header,1.0,1.0,overlap,25:statewide_overlap_layer,295.0,2,2,590.0,295.0,295.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NY05411,NY054119E,NY,36,2024,0.0,8.0,266.0,1.0,0.0,5.0,0.0,280.0,0|5|0|0|8|266|1,nibrs_srs_equivalent_annual,12.0,7,ITHACA,special_jurisdiction,0.0,109,,fbi_cde_agency_roster,1.0,1.0,overlap,36:statewide_overlap_layer,280.0,2,2,560.0,280.0,280.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NY254UC,NY254UC00,NY,36,2024,0.0,8.0,266.0,1.0,0.0,5.0,0.0,280.0,0|5|0|0|8|266|1,cius_publication_annual,12.0,7,CORNELL UNIVERSITY,special_jurisdiction,,109,38077,srs_agency_header,1.0,1.0,overlap,36:statewide_overlap_layer,280.0,2,2,560.0,280.0,280.0,T2_different_ori7_identical_signature,identical_7_offense_vector
CA04913,CA0491300,CA,06,2024,26.0,25.0,148.0,15.0,0.0,26.0,8.0,248.0,0|26|8|26|25|148|15,nibrs_srs_equivalent_annual|srs_return_a_annual,12.0,7,SONOMA DEVELOPMENTAL CTR,special_jurisdiction,27981.0,097,21894,srs_agency_header,1.0,1.0,overlap,06:statewide_overlap_layer,248.0,2,2,496.0,248.0,248.0,T2_different_ori7_identical_signature,identical_7_offense_vector
CA04915,CA0491500,CA,06,2024,26.0,25.0,148.0,15.0,0.0,26.0,8.0,248.0,0|26|8|26|25|148|15,cius_publication_annual,12.0,7,WINDSOR,local_police,0.0,097,85922,srs_agency_header,1.0,1.0,exclusive,06:municipal:place:0685922,248.0,2,2,496.0,248.0,248.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MN00306,MN0030600,MN,27,2024,48.0,26.0,75.0,14.0,0.0,5.0,3.0,171.0,0|5|3|48|26|75|14,nibrs_srs_equivalent_annual,12.0,7,WHITE EARTH,special_jurisdiction,0.0,005,,leaic_crosswalk,1.0,1.0,overlap,27:statewide_overlap_layer,171.0,2,2,342.0,171.0,171.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MNDI019,MNDI01900,MN,27,2024,48.0,26.0,75.0,14.0,0.0,5.0,3.0,171.0,0|5|3|48|26|75|14,srs_return_a_annual,12.0,7,WHITE EARTH TRIBAL,local_police,,005,70006,srs_agency_header,1.0,1.0,exclusive,27:municipal:place:2770006,171.0,2,2,342.0,171.0,171.0,T2_different_ori7_identical_signature,identical_7_offense_vector
WI04801,WI0480100,WI,55,2024,16.0,17.0,126.0,5.0,1.0,3.0,2.0,170.0,1|3|2|16|17|126|5,cius_publication_annual,12.0,7,RIVER FALLS,local_police,16141.0,093,68275,srs_agency_header,1.0,1.0,exclusive,55:municipal:place:5568275,170.0,2,2,340.0,170.0,170.0,T2_different_ori7_identical_signature,identical_7_offense_vector
WI05611,WI0561100,WI,55,2024,16.0,17.0,126.0,5.0,1.0,3.0,2.0,170.0,1|3|2|16|17|126|5,srs_return_a_annual,12.0,7,RIVER FALLS,local_police,17171.0,093,,fbi_cde_agency_roster,1.0,1.0,exclusive,55:municipal:place:5563100,170.0,2,2,340.0,170.0,170.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MI01533,MI0153300,MI,26,2024,15.0,12.0,103.0,10.0,0.0,6.0,0.0,146.0,0|6|0|15|12|103|10,cius_publication_annual,12.0,7,LINCOLN,local_police,315.0,001,47560,srs_agency_header,1.0,1.0,exclusive,26:municipal:place:2647560,146.0,2,2,292.0,146.0,146.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MI11766,MI1176600,MI,26,2024,15.0,12.0,103.0,10.0,0.0,6.0,0.0,146.0,0|6|0|15|12|103|10,nibrs_srs_equivalent_annual|srs_return_a_annual,12.0,7,LINCOLN TOWNSHIP,local_police,14890.0,021,47600,srs_agency_header,1.0,1.0,exclusive,26:municipal:cousub:2602147600,146.0,2,2,292.0,146.0,146.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MI19350,MI1935000,MI,26,2024,26.0,9.0,75.0,6.0,1.0,10.0,1.0,128.0,1|10|1|26|9|75|6,cius_publication_annual,12.0,7,DEWITT,local_police,4869.0,037,22120,srs_agency_header,1.0,1.0,exclusive,26:municipal:place:2622120,128.0,2,2,256.0,128.0,128.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MI19857,MI1985700,MI,26,2024,26.0,9.0,75.0,6.0,1.0,10.0,1.0,128.0,1|10|1|26|9|75|6,srs_return_a_annual,12.0,7,DEWITT TOWNSHIP,local_police,15880.0,037,22140,srs_agency_header,1.0,1.0,exclusive,26:municipal:cousub:2603722140,128.0,2,2,256.0,128.0,128.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NC09210,NC092109E,NC,37,2024,7.0,10.0,83.0,2.0,0.0,0.0,1.0,103.0,0|0|1|7|10|83|2,nibrs_srs_equivalent_annual,12.0,7,RALEIGH,unknown,0.0,183,,fbi_cde_agency_roster,1.0,1.0,overlap,37:statewide_overlap_layer,103.0,2,2,206.0,103.0,103.0,T2_different_ori7_identical_signature,identical_7_offense_vector
NC09298,NC0929800,NC,37,2024,7.0,10.0,83.0,2.0,0.0,0.0,1.0,103.0,0|0|1|7|10|83|2,srs_return_a_annual,12.0,7,WAKEMED CAMPUS POLICE,special_jurisdiction,,183,55000,srs_agency_header,1.0,1.0,overlap,37:statewide_overlap_layer,103.0,2,2,206.0,103.0,103.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MA00961,MA009619E,MA,25,2024,4.0,1.0,66.0,0.0,0.0,2.0,1.0,74.0,0|2|1|4|1|66|0,nibrs_srs_equivalent_annual,12.0,7,CHESTNUT HILL,special_jurisdiction,0.0,017,,fbi_cde_agency_roster,1.0,1.0,overlap,25:statewide_overlap_layer,74.0,2,2,148.0,74.0,74.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MA00965,MA0096500,MA,25,2024,4.0,1.0,66.0,0.0,0.0,2.0,1.0,74.0,0|2|1|4|1|66|0,srs_return_a_annual,12.0,7,BOSTON COLLEGE,special_jurisdiction,,017,13625,srs_agency_header,1.0,1.0,overlap,25:statewide_overlap_layer,74.0,2,2,148.0,74.0,74.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MI11324,MI1132400,MI,26,2024,14.0,5.0,28.0,1.0,0.0,14.0,0.0,62.0,0|14|0|14|5|28|1,cius_publication_annual,12.0,7,COLOMA CITY,local_police,1426.0,021,17320,srs_agency_header,1.0,1.0,exclusive,26:municipal:place:2617320,62.0,2,2,124.0,62.0,62.0,T2_different_ori7_identical_signature,identical_7_offense_vector
MI11853,MI1185300,MI,26,2024,14.0,5.0,28.0,1.0,0.0,14.0,0.0,62.0,0|14|0|14|5|28|1,nibrs_srs_equivalent_annual|srs_return_a_annual,12.0,7,COLOMA TOWNSHIP,local_police,6412.0,021,17340,srs_agency_header,1.0,1.0,exclusive,26:municipal:cousub:2602117340,62.0,2,2,124.0,62.0,62.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00249,PA0024900,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,BELL ACRES,local_police,1478.0,003,05216,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4200305216,3.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00265,PA0026500,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,EDGEWORTH,local_police,1653.0,003,22576,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4200322576,3.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
