ori7c,ori9,state_abbr,state_fips,year,aggravated_assault,burglary,larceny,motor_vehicle_theft,murder,rape,robbery,total,sig,preferred_sources,max_preferred_months,n_usable,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,cw_n_jurisdictions,cw_weight_sum,cw_relationship,cw_jurisdictions,estimated_count_2024_all_offenses,group_n_ori9,group_n_distinct_signature,group_total_sum,group_total_max,group_total_min,group_excess_mass,match_evidence,duplicate_class
CA03455,CA0345500,CA,06,2024,252.0,272.0,1223.0,271.0,4.0,33.0,67.0,2122.0,4|33|67|252|272|1223|271,cius_publication_annual,12.0,7,RANCHO CORDOVA,local_police,,067,59444,srs_agency_header,1.0,1.0,exclusive,06:municipal:place:0659444,2122.0,2,1,4244.0,2122.0,2122.0,2122.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA03455,CA034550X,CA,06,2024,252.0,272.0,1223.0,271.0,4.0,33.0,67.0,2122.0,4|33|67|252|272|1223|271,nibrs_srs_equivalent_annual,12.0,7,SACRAMENTO,local_police,83622.0,067,,fbi_cde_agency_roster,1.0,1.0,exclusive,06:municipal:place:0664000,2122.0,2,1,4244.0,2122.0,2122.0,2122.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MI63190,MI6319000,MI,26,2024,526.0,198.0,614.0,200.0,13.0,29.0,39.0,1619.0,13|29|39|526|198|614|200,srs_return_a_annual,12.0,7,PONTIAC,unknown,,,,,1.0,1.0,exclusive,26:municipal:place:2665440,1619.0,2,1,3238.0,1619.0,1619.0,1619.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
MI63190,MI631900X,MI,26,2024,526.0,198.0,614.0,200.0,13.0,29.0,39.0,1619.0,13|29|39|526|198|614|200,nibrs_srs_equivalent_annual,12.0,7,,local_police,61871.0,125,,fbi_cde_agency_roster,1.0,1.0,exclusive,26:state_nonmunicipal_remainder,1619.0,2,1,3238.0,1619.0,1619.0,1619.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA00130,CA0013000,CA,06,2024,65.0,107.0,1063.0,136.0,1.0,4.0,35.0,1411.0,1|4|35|65|107|1063|136,cius_publication_annual,12.0,7,DUBLIN,local_police,,001,20018,srs_agency_header,1.0,1.0,exclusive,06:municipal:place:0620018,1411.0,2,1,2822.0,1411.0,1411.0,1411.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA00130,CA001300X,CA,06,2024,65.0,107.0,1063.0,136.0,1.0,4.0,35.0,1411.0,1|4|35|65|107|1063|136,nibrs_srs_equivalent_annual,12.0,7,OAKLAND,local_police,71833.0,001,,fbi_cde_agency_roster,1.0,1.0,exclusive,06:municipal:place:0653000,1411.0,2,1,2822.0,1411.0,1411.0,1411.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA03035,CA0303500,CA,06,2024,56.0,97.0,877.0,90.0,0.0,4.0,29.0,1153.0,0|4|29|56|97|877|90,cius_publication_annual,12.0,7,MISSION VIEJO,local_police,,059,48256,srs_agency_header,1.0,1.0,exclusive,06:municipal:place:0648256,1153.0,2,1,2306.0,1153.0,1153.0,1153.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA03035,CA030350X,CA,06,2024,56.0,97.0,877.0,90.0,0.0,4.0,29.0,1153.0,0|4|29|56|97|877|90,nibrs_srs_equivalent_annual,12.0,7,SANTA ANA,local_police,96419.0,059,,fbi_cde_agency_roster,1.0,1.0,exclusive,06:municipal:place:0669000,1153.0,2,1,2306.0,1153.0,1153.0,1153.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA03499,CA0349900,CA,06,2024,1.0,0.0,76.0,114.0,0.0,0.0,0.0,191.0,0|0|0|1|0|76|114,nibrs_srs_equivalent_annual|srs_return_a_annual,12.0,7,HP SACRAMENTO COUNTY,state_law_enforcement,0.0,067,99067,srs_agency_header,1.0,1.0,overlap,06:statewide_overlap_layer,191.0,6,6,2671.0,1554.0,21.0,1117.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
CA03499,CA0349901,CA,06,2024,1.0,0.0,5.0,15.0,0.0,0.0,0.0,21.0,0|0|0|1|0|5|15,nibrs_srs_equivalent_annual,12.0,7,,state_law_enforcement,0.0,067,,fbi_cde_agency_roster,1.0,1.0,overlap,06:statewide_overlap_layer,21.0,6,6,2671.0,1554.0,21.0,1117.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
CA03499,CA0349917,CA,06,2024,7.0,3.0,17.0,4.0,0.0,0.0,1.0,32.0,0|0|1|7|3|17|4,nibrs_srs_equivalent_annual,12.0,7,,state_law_enforcement,0.0,067,,fbi_cde_agency_roster,1.0,1.0,overlap,06:statewide_overlap_layer,32.0,6,6,2671.0,1554.0,21.0,1117.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
CA03499,CA0349950,CA,06,2024,3.0,0.0,489.0,1062.0,0.0,0.0,0.0,1554.0,0|0|0|3|0|489|1062,nibrs_srs_equivalent_annual,12.0,7,HIGHWAY PATROL NORTH SACRAMENTO AREA OFFICE,state_law_enforcement,0.0,067,,fbi_cde_agency_roster,1.0,1.0,overlap,06:statewide_overlap_layer,1554.0,6,6,2671.0,1554.0,21.0,1117.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
CA03499,CA0349952,CA,06,2024,0.0,0.0,167.0,535.0,0.0,0.0,0.0,702.0,0|0|0|0|0|167|535,nibrs_srs_equivalent_annual,12.0,7,HIGHWAY PATROL SOUTH SACRAMENTO AREA OFFICE,state_law_enforcement,0.0,067,,fbi_cde_agency_roster,1.0,1.0,overlap,06:statewide_overlap_layer,702.0,6,6,2671.0,1554.0,21.0,1117.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
CA03499,CA0349960,CA,06,2024,0.0,0.0,29.0,142.0,0.0,0.0,0.0,171.0,0|0|0|0|0|29|142,nibrs_srs_equivalent_annual,12.0,7,HIGHWAY PATROL EAST SACRAMENTO AREA OFFICE,state_law_enforcement,0.0,067,,fbi_cde_agency_roster,1.0,1.0,overlap,06:statewide_overlap_layer,171.0,6,6,2671.0,1554.0,21.0,1117.0,same_ori7_different_counts,T1_same_ori7_multiple_ori9
GA06024,GA0602400,GA,13,2024,7.0,0.0,560.0,286.0,0.0,1.0,2.0,856.0,0|1|2|7|0|560|286,srs_return_a_annual,10.0,0,HRTSFLD JCKSN ATL INT AP,special_jurisdiction,,121,04000,srs_agency_header,1.0,1.0,overlap,13:statewide_overlap_layer,1028.697243683151,2,1,1712.0,856.0,856.0,856.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
GA06024,GA060240X,GA,13,2024,7.0,0.0,560.0,286.0,0.0,1.0,2.0,856.0,0|1|2|7|0|560|286,nibrs_srs_equivalent_annual,10.0,7,ATLANTA,unknown,0.0,121,,fbi_cde_agency_roster,1.0,1.0,overlap,13:statewide_overlap_layer,856.0,2,1,1712.0,856.0,856.0,856.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
CA03043,CA0304300,CA,06,2024,94.0,92.0,487.0,133.0,0.0,3.0,28.0,837.0,0|3|28|94|92|487|133,cius_publication_annual,12.0,7,LAKE FOREST,local_police,,059,39496,srs_agency_header,1.0,1.0,exclusive,06:municipal:place:0639496,837.0,2,1,1674.0,837.0,837.0,837.0,identical_7_offense_vector,T1_same_ori7_multiple_ori9
