ori9,year,header_months,agency_indicator,city_name,header_population,state_abbr,in_nibrs_lane,in_srs_lane,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,defect,absent_from_both_lanes
CA0190000,2024,1,county,monterey park,1110752.0,CA,False,True,LOS ANGELES,sheriff,1110752.0,037,99037,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
CA0360000,2024,1,county,san bernardino,332589.0,CA,False,True,SAN BERNARDINO,sheriff,332589.0,071,99071,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
HI0010000,2024,1,county,hilo,212335.0,HI,False,True,HAWAII POLICE DEPARTMENT,local_police,212335.0,001,99001,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
CA0100000,2024,1,county,fresno,178332.0,CA,False,True,FRESNO,sheriff,178332.0,019,99019,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
CA0500000,2024,1,county,modesto,118098.0,CA,False,True,STANISLAUS,sheriff,118098.0,099,99099,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
FL0280000,2024,2,county,sebring,97382.0,FL,False,True,HIGHLANDS,sheriff,97382.0,055,99055,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IL0570100,2024,3,city,bloomington,78554.0,IL,False,True,BLOOMINGTON,local_police,78955.0,113,06613,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0640000,2024,12,county,jasper,41418.0,AL,False,True,WALKER,sheriff,41418.0,127,99127,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IN0150000,2024,1,county,lawrenceburg,38366.0,IN,False,True,DEARBORN,sheriff,38366.0,029,99029,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NM0210000,2024,1,county,espanola,33039.0,NM,False,True,RIO ARRIBA,sheriff,33039.0,039,99039,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MI1811800,2024,2,county,harrison,28623.0,MI,False,True,CLARE,sheriff,28623.0,035,99035,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
