ori9,state_abbr,year,total,months,lane,median_hist_total_2018_2023,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,published_as_full_year_zero
PA0450100,PA,2024,0.0,12.0,cius,38.0,DELAWARE WATER GAP,local_police,755.0,089,18736,srs_agency_header,True
PA0100400,PA,2024,0.0,12.0,cius,28.0,ZELIENOPLE,local_police,3795.0,019,87272,srs_agency_header,True
AL0080200,AL,2024,0.0,12.0,cius,25.0,BLOUNTSVILLE,local_police,1825.0,009,07456,srs_agency_header,True
IL0170200,IL,2024,0.0,12.0,cius,25.0,PALESTINE,local_police,1285.0,033,57277,srs_agency_header,True
OK0120500,OK,2024,0.0,12.0,cius,25.0,FORT TOWSON,local_police,504.0,023,27400,srs_agency_header,True
TX1940300,TX,2024,0.0,12.0,cius,24.0,BOGATA,local_police,1102.0,387,09172,srs_agency_header,True
GA0710300,GA,2024,0.0,12.0,cius,23.0,BUCHANAN,local_police,1205.0,143,11616,srs_agency_header,True
NY0082000,NY,2024,0.0,12.0,cius,23.0,AFTON VILLAGE,local_police,796.0,017,00342,srs_agency_header,True
VT0110300,VT,2024,0.0,12.0,cius,22.0,CASTLETON,local_police,4599.0,021,11950,srs_agency_header,True
MN0701000,MN,2024,0.0,12.0,cius,21.5,ELKO NEW MARKET,local_police,5128.0,139,,fbi_cde_agency_roster,True
VT0141000,VT,2024,0.0,12.0,cius,21.5,NORWICH,local_police,3681.0,027,52900,srs_agency_header,True
MN0120200,MN,2024,0.0,12.0,cius,20.0,MONTEVIDEO,local_police,5247.0,023,43720,srs_agency_header,True
PA0140100,PA,2024,0.0,12.0,cius,20.0,BELLEFONTE,local_police,6325.0,027,05256,srs_agency_header,True
IL0580100,IL,2024,0.0,12.0,cius,17.0,BLUE MOUND,local_police,1088.0,115,06756,srs_agency_header,True
OK0340800,OK,2024,0.0,12.0,cius,17.0,RINGLING,local_police,977.0,067,63350,srs_agency_header,True
PA0032200,PA,2024,0.0,12.0,cius,17.0,EAST FRANKLIN TOWNSHIP,local_police,3854.0,005,21160,srs_agency_header,True
TX2300300,TX,2024,0.0,12.0,cius,16.0,ORE CITY,local_police,1266.0,459,54216,srs_agency_header,True
KY1130300,KY,2024,0.0,12.0,cius,15.5,UNIONTOWN,local_police,943.0,225,78492,srs_agency_header,True
AL0340400,AL,2024,0.0,12.0,cius,15.0,SLOCOMB,local_police,2149.0,061,71040,srs_agency_header,True
AL0530100,AL,2024,0.0,12.0,cius,15.0,MARION,local_police,3265.0,105,46768,srs_agency_header,True
IL0970300,IL,2024,0.0,12.0,cius,14.0,NORRIS CITY,local_police,1203.0,193,53403,srs_agency_header,True
LA0190100,LA,2024,0.0,12.0,cius,14.0,CLINTON,local_police,1516.0,037,15990,srs_agency_header,True
MN0181100,MN,2024,0.0,12.0,cius,14.0,PEQUOT LAKES,local_police,2486.0,035,50416,srs_agency_header,True
IL0141300,IL,2024,0.0,12.0,cius,13.0,GERMANTOWN,local_police,1383.0,027,29041,srs_agency_header,True
IL0750400,IL,2024,0.0,12.0,cius,13.0,PLEASANT HILL,local_police,928.0,149,60534,srs_agency_header,True
ME0101300,ME,2024,0.0,12.0,cius,13.0,VEAZIE,local_police,1831.0,019,78780,srs_agency_header,True
TX0980200,TX,2024,0.0,12.0,cius,13.0,SPEARMAN,local_police,3275.0,195,69476,srs_agency_header,True
PA0021H00,PA,2024,0.0,12.0,cius,12.0,CRESCENT TOWNSHIP,local_police,2569.0,003,17048,srs_agency_header,True
IA0820500,IA,2024,0.0,12.0,cius,11.0,BLUE GRASS,local_police,1715.0,163,07075,srs_agency_header,True
TX1100400,TX,2024,0.0,12.0,cius,11.0,SOUTH PLAINS COLLEGE,special_jurisdiction,0.0,219,42448,srs_agency_header,True
MN0610200,MN,2024,0.0,12.0,cius,10.5,STARBUCK,local_police,1435.0,121,62500,srs_agency_header,True
MO0600500,MO,2024,0.0,12.0,cius,10.0,GOODMAN,local_police,1311.0,119,27874,srs_agency_header,True
NJ0191600,NJ,2024,0.0,12.0,cius,10.0,OGDENSBURG,local_police,2307.0,037,54660,srs_agency_header,True
PA0071000,PA,2024,0.0,12.0,cius,10.0,WILLIAMSBURG,local_police,1222.0,013,85272,srs_agency_header,True
IA0540100,IA,2024,0.0,12.0,cius,9.0,SIGOURNEY,local_police,2013.0,107,73110,srs_agency_header,True
IL0090100,IL,2024,0.0,12.0,cius,9.0,ASHLAND,local_police,1203.0,017,02505,srs_agency_header,True
IL0110500,IL,2024,0.0,12.0,cius,9.0,ASSUMPTION,local_police,1172.0,021,02609,srs_agency_header,True
KY0470400,KY,2024,0.0,12.0,cius,9.0,WEST POINT,local_police,942.0,093,81930,srs_agency_header,True
MN0400600,MN,2024,0.0,12.0,cius,9.0,CLEVELAND,local_police,783.0,079,,fbi_cde_agency_roster,True
OH0070300,OH,2024,0.0,12.0,cius,9.0,BRIDGEPORT,local_police,1756.0,013,08560,srs_agency_header,True
MO0570700,MO,2024,0.0,12.0,cius,8.5,HAWK POINT,local_police,752.0,113,31024,srs_agency_header,True
MO0830300,MO,2024,0.0,12.0,cius,8.5,PLATTE WOODS,local_police,409.0,165,58196,srs_agency_header,True
CA0309600,CA,2024,0.0,12.0,cius,8.0,IRVINE VALLEY COLLEGE,special_jurisdiction,0.0,059,,fbi_cde_agency_roster,True
IL0169C00,IL,2024,0.0,12.0,cius,8.0,SOUTH SUBURBAN COLLEGE,special_jurisdiction,0.0,031,70850,srs_agency_header,True
KY1140400,KY,2024,0.0,12.0,cius,8.0,WOODBURN,local_police,381.0,227,84414,srs_agency_header,True
ME0151700,ME,2024,0.0,12.0,cius,8.0,MILBRIDGE,local_police,1407.0,029,45600,srs_agency_header,True
NM0090400,NM,2024,0.0,12.0,cius,8.0,HURLEY,local_police,1232.0,017,33850,srs_agency_header,True
IL0920900,IL,2024,0.0,12.0,cius,7.5,RIDGE FARM,local_police,828.0,183,63862,srs_agency_header,True
KY0110200,KY,2024,0.0,12.0,cius,7.5,JUNCTION CITY,local_police,2347.0,021,41338,srs_agency_header,True
MO0540700,MO,2024,0.0,12.0,cius,7.0,WAVERLY,local_police,846.0,107,77866,srs_agency_header,True
NY0262500,NY,2024,0.0,12.0,cius,7.0,HAMILTON VILLAGE,local_police,4100.0,053,31709,srs_agency_header,True
SC0231900,SC,2024,0.0,12.0,cius,7.0,BOB JONES UNIVERSITY,special_jurisdiction,0.0,045,30850,srs_agency_header,True
IL0900400,IL,2024,0.0,12.0,cius,6.5,HOPEDALE,local_police,1101.0,179,36126,srs_agency_header,True
MN0540100,MN,2024,0.0,12.0,cius,6.5,ADA,local_police,1741.0,107,00172,srs_agency_header,True
NY0582100,NY,2024,0.0,12.0,cius,6.5,WOLCOTT VILLAGE,local_police,1613.0,117,82678,srs_agency_header,True
TX1660300,TX,2024,0.0,12.0,cius,6.5,THORNDALE,local_police,1399.0,331,72776,srs_agency_header,True
CA0470700,CA,2024,0.0,12.0,cius,6.0,TULELAKE,local_police,991.0,093,80686,srs_agency_header,True
IL1011000,IL,2024,0.0,12.0,cius,6.0,DURAND,local_police,1393.0,201,21280,srs_agency_header,True
KY1130200,KY,2024,0.0,12.0,cius,6.0,STURGIS,local_police,1824.0,225,74316,srs_agency_header,True
OK0230700,OK,2024,0.0,12.0,cius,6.0,SHATTUCK,local_police,1284.0,045,66750,srs_agency_header,True
OK0241500,OK,2024,0.0,12.0,cius,6.0,LAHOMA,local_police,629.0,047,40700,srs_agency_header,True
PA0420800,PA,2024,0.0,12.0,cius,6.0,SMETHPORT,local_police,1541.0,083,71248,srs_agency_header,True
TX2101600,TX,2024,0.0,12.0,cius,6.0,TENAHA,local_police,1153.0,419,,fbi_cde_agency_roster,True
GA1050200,GA,2024,0.0,12.0,cius,5.5,ETON,local_police,923.0,213,27932,srs_agency_header,True
IL0451900,IL,2024,0.0,12.0,cius,5.0,WAUBONSEE COMM COLLEGE,special_jurisdiction,0.0,089,73391,srs_agency_header,True
IL0493300,IL,2024,0.0,12.0,cius,5.0,TOWER LAKES,local_police,1246.0,097,75874,srs_agency_header,True
IL0501600,IL,2024,0.0,12.0,cius,5.0,TONICA,local_police,736.0,099,75718,srs_agency_header,True
KY0290100,KY,2024,0.0,12.0,cius,5.0,BURKESVILLE,local_police,1473.0,057,11098,srs_agency_header,True
KY0900200,KY,2024,0.0,12.0,cius,5.0,BLOOMFIELD,local_police,1088.0,179,07516,srs_agency_header,True
MN0110700,MN,2024,0.0,12.0,cius,5.0,PILLAGER,local_police,524.0,021,,fbi_cde_agency_roster,True
NY0355800,NY,2024,0.0,12.0,cius,5.0,HIGHLANDS TOWN,local_police,9199.0,071,34550,srs_agency_header,True
SD0290100,SD,2024,0.0,12.0,cius,5.0,MILLER,local_police,1361.0,059,42460,srs_agency_header,True
TX0201700,TX,2024,0.0,12.0,cius,5.0,ALVIN COMMUNITY COLLEGE,special_jurisdiction,0.0,039,02272,srs_agency_header,True
TX0990100,TX,2024,0.0,12.0,cius,5.0,CHILLICOTHE,local_police,684.0,197,14680,srs_agency_header,True
TX2340200,TX,2024,0.0,12.0,cius,5.0,EDGEWOOD,local_police,1763.0,467,22612,srs_agency_header,True
MN0250400,MN,2024,0.0,12.0,cius,4.5,KENYON,local_police,1907.0,049,32840,srs_agency_header,True
MO0660200,MO,2024,0.0,12.0,cius,4.5,IBERIA,local_police,755.0,131,34228,srs_agency_header,True
OK0310800,OK,2024,0.0,12.0,cius,4.5,MCCURTAIN,local_police,508.0,061,44950,srs_agency_header,True
IL0167E00,IL,2024,0.0,12.0,cius,4.0,OAKTON COMMUNITY COLLEGE,special_jurisdiction,0.0,031,19642,srs_agency_header,True
IL0169F00,IL,2024,0.0,12.0,cius,4.0,MORTON COLLEGE,special_jurisdiction,0.0,031,14351,srs_agency_header,True
IL0570800,IL,2024,0.0,12.0,cius,4.0,COLFAX,local_police,1021.0,113,15495,srs_agency_header,True
IL0603800,IL,2024,0.0,12.0,cius,4.0,GRANTFORK,local_police,344.0,119,30978,srs_agency_header,True
KS0050400,KS,2024,0.0,12.0,cius,4.0,CLAFLIN,local_police,614.0,009,13425,srs_agency_header,True
MI7859600,MI,2024,0.0,12.0,cius,4.0,MORRICE,local_police,999.0,155,55560,srs_agency_header,True
MN0150200,MN,2024,0.0,12.0,cius,4.0,CLEARBROOK,local_police,537.0,029,11746,srs_agency_header,True
MO0270400,MO,2024,0.0,12.0,cius,4.0,PRAIRIE HOME,local_police,280.0,053,59726,srs_agency_header,True
NY0195100,NY,2024,0.0,12.0,cius,4.0,DURHAM TOWN,local_police,2699.0,039,21204,srs_agency_header,True
PA0211000,PA,2024,0.0,12.0,cius,4.0,SHIREMANSTOWN,local_police,1659.0,041,70384,srs_agency_header,True
VA0960400,VA,2024,0.0,12.0,cius,4.0,POUND,local_police,939.0,195,64272,srs_agency_header,True
GA1290200,GA,2024,0.0,12.0,cius,3.5,LESLIE,local_police,369.0,261,46020,srs_agency_header,True
IL0790900,IL,2024,0.0,12.0,cius,3.5,RUMA,local_police,311.0,157,66287,srs_agency_header,True
IL0870600,IL,2024,0.0,12.0,cius,3.5,COWDEN,local_police,576.0,173,17055,srs_agency_header,True
KS0290300,KS,2024,0.0,12.0,cius,3.5,SPEARVILLE,local_police,811.0,057,67125,srs_agency_header,True
MA0082000,MA,2024,0.0,12.0,cius,3.5,WORTHINGTON,local_police,1198.0,015,82175,srs_agency_header,True
MN0640400,MN,2024,0.0,12.0,cius,3.5,MORGAN,local_police,883.0,127,44116,srs_agency_header,True
MO0241000,MO,2024,0.0,12.0,cius,3.5,OAKVIEW VILLAGE,local_police,395.0,047,53858,srs_agency_header,True
NC0101000,NC,2024,0.0,12.0,cius,3.5,CASWELL BEACH,local_police,442.0,019,10960,srs_agency_header,True
PA0092500,PA,2024,0.0,12.0,cius,3.5,HULMEVILLE,local_police,998.0,017,36192,srs_agency_header,True
PA0580300,PA,2024,0.0,12.0,cius,3.5,LANESBORO,local_police,496.0,115,41336,srs_agency_header,True
TX0910100,TX,2024,0.0,12.0,cius,3.5,COLLINSVILLE,local_police,2086.0,181,16036,srs_agency_header,True
AL0540500,AL,2024,0.0,12.0,cius,3.0,PICKENSVILLE,local_police,577.0,107,59592,srs_agency_header,True
GA1100400,GA,2024,0.0,12.0,cius,3.0,BRASWELL,local_police,387.0,223,10104,srs_agency_header,True
IL0320300,IL,2024,0.0,12.0,cius,3.0,MAZON,local_police,981.0,063,47787,srs_agency_header,True
IL0571400,IL,2024,0.0,12.0,cius,3.0,STANFORD,local_police,597.0,113,72260,srs_agency_header,True
KS0160300,KS,2024,0.0,12.0,cius,3.0,LEBO,local_police,889.0,031,39125,srs_agency_header,True
KY0710400,KY,2024,0.0,12.0,cius,3.0,LEWISBURG,local_police,807.0,141,45064,srs_agency_header,True
