ori9,year,offense,count,quarters_reported,months_reported,state_abbr,source,raw_data_source,assumed_months_reported
MS0010000,2024,aggravated_assault,28.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0010000,2024,burglary,47.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0010000,2024,larceny,147.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0010000,2024,motor_vehicle_theft,40.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0010000,2024,murder,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0010000,2024,rape,11.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0010000,2024,robbery,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0020000,2024,aggravated_assault,7.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0020000,2024,burglary,47.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0020000,2024,larceny,112.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0020000,2024,motor_vehicle_theft,14.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0020000,2024,murder,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0020000,2024,rape,3.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0020100,2024,aggravated_assault,31.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0020100,2024,burglary,99.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0020100,2024,larceny,319.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0020100,2024,motor_vehicle_theft,28.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0020100,2024,rape,13.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0020100,2024,robbery,9.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
