ori9,state_abbr,2018,2019,2020,2021,2022,2023,2024,max_months,min_months,n_usable,n_partial,src,baseline_median_2021_2023,ratio_2024_vs_baseline,estimated_2024,fill_sources,agency_name_std,agency_type_norm,population_latest_nibrs,published_as_full_year
LA0170200,LA,14032.0,13739.0,12667.0,12520.0,15130.0,14307.0,4475.0,4.0,4.0,6,1,srs_return_a_annual,14307.0,0.31278395191165165,4523.0,observed|true_partial_month_ratio,BATON ROUGE,local_police,224790.0,False
FL0360000,FL,3683.0,5868.0,5562.0,0.0,5912.0,6355.0,258.0,12.0,12.0,7,0,state_publication_annual,5912.0,0.043640054127198916,7187.779629201084,observed|trend_log_linear,LEE,sheriff,531625.0,True
UT0180000,UT,9887.0,8733.0,9617.0,7491.0,5729.0,4716.0,1560.0,11.0,11.0,0,7,srs_return_a_annual,5729.0,0.27229883051143305,1701.8181818181818,true_partial_month_ratio,SALT LAKE CNTY UNIFD PD,local_police,315234.0,False
GA0250300,GA,6942.0,5118.0,0.0,6029.0,4855.0,0.0,49.0,12.0,12.0,7,0,cius_publication_annual,4855.0,0.010092687950566427,5582.482418454728,hist_median|observed,SAVANNAH CHATHAM METRO,local_police,242265.0,True
MA0146000,MA,5250.0,4957.0,4873.0,4745.0,4689.0,2196.0,35.0,12.0,12.0,7,0,cius_publication_annual,4689.0,0.007464278097675411,4669.857647066464,hist_median|observed,WORCESTER,local_police,212425.0,True
CA0192000,CA,2982.0,2825.0,2454.0,0.0,3398.0,3591.0,0.0,0.0,0.0,0,0,srs_return_a_annual,3398.0,0.0,3696.595250420021,trend_log_linear,DOWNEY,local_police,113277.0,False
NC0260000,NC,2934.0,2422.0,2871.0,2756.0,1987.0,1.0,1.0,1.0,1.0,6,1,nibrs_srs_equivalent_annual|srs_return_a_annual,1987.0,0.0005032712632108706,12.0,observed|true_partial_month_ratio,CUMBERLAND,sheriff,100381.0,False
IN0450500,IN,3097.0,3070.0,2646.0,0.0,1810.0,2514.0,612.0,3.0,3.0,6,1,srs_return_a_annual,1810.0,0.33812154696132596,1527.0,observed|true_partial_month_ratio,GARY,local_police,75426.0,False
AZ0070000,AZ,6814.0,1185.0,6962.0,5520.0,1557.0,0.0,454.0,1.0,1.0,0,7,srs_return_a_annual,1557.0,0.2915863840719332,5448.0,true_partial_month_ratio,MARICOPA,sheriff,458571.0,False
FL0030000,FL,1206.0,2552.0,2192.0,0.0,1588.0,1531.0,63.0,12.0,12.0,7,0,state_publication_annual,1531.0,0.041149575440888306,1533.282373796202,observed|trend_log_linear,BAY,sheriff,107874.0,True
LA0530100,LA,2423.0,1945.0,1362.0,1481.0,1629.0,0.0,0.0,0.0,0.0,0,0,srs_return_a_annual,1481.0,0.0,1338.3979415705362,hist_median,HAMMOND,local_police,23557.0,False
NC0290000,NC,1682.0,789.0,1446.0,1381.0,1351.0,384.0,57.0,1.0,1.0,2,5,nibrs_srs_equivalent_annual|srs_return_a_annual,1351.0,0.04219096965210955,684.0,observed|true_partial_month_ratio,DAVIDSON,sheriff,123983.0,False
MI6160300,MI,1968.0,1601.0,1262.0,1260.0,1334.0,1426.0,407.0,6.0,6.0,7,0,nibrs_srs_equivalent_annual,1334.0,0.30509745127436283,407.0,observed,MUSKEGON,local_police,38188.0,False
OH0780700,OH,1745.0,1690.0,1270.0,1200.0,1286.0,1021.0,0.0,0.0,0.0,0,0,srs_return_a_annual,1200.0,0.0,1189.9854556981988,hist_median,WARREN,local_police,39280.0,False
CO0510000,CO,1178.0,1103.0,1072.0,1195.0,1255.0,662.0,174.0,5.0,5.0,7,0,nibrs_srs_equivalent_annual,1195.0,0.14560669456066946,174.0,observed,PUEBLO,sheriff,60352.0,False
FL0030100,FL,2384.0,2142.0,1756.0,0.0,1269.0,1182.0,31.0,12.0,12.0,7,0,state_publication_annual,1182.0,0.02622673434856176,898.8855271547976,observed|trend_log_linear,PANAMA CITY,local_police,37318.0,True
NC0180000,NC,1221.0,741.0,1207.0,1245.0,990.0,390.0,0.0,0.0,0.0,0,0,srs_return_a_annual,990.0,0.0,1113.223519456515,hist_median|trend_log_linear,CATAWBA,sheriff,89091.0,False
NJ0090700,NJ,715.0,715.0,519.0,418.0,914.0,1069.0,259.0,3.0,3.0,0,5,srs_return_a_annual,914.0,0.2833698030634573,1036.5704334317809,trend_log_linear|true_partial_month_ratio,KEARNY,local_police,42339.0,False
FL0580300,FL,1303.0,1062.0,860.0,0.0,898.0,971.0,7.0,12.0,12.0,7,0,state_publication_annual,898.0,0.0077951002227171495,644.1127538749329,observed|trend_log_linear,NORTH PORT,local_police,93930.0,True
AZ0111500,AZ,1046.0,1000.0,526.0,868.0,932.0,614.0,0.0,0.0,0.0,0,0,srs_return_a_annual,868.0,0.0,860.371472132105,hist_median,GILA RIVER INDIAN COMNTY,local_police,0.0,False
IL0900900,IL,898.0,750.0,768.0,680.0,827.0,834.0,212.0,4.0,4.0,1,6,nibrs_srs_equivalent_annual|srs_return_a_annual,827.0,0.25634824667472794,636.0,observed|true_partial_month_ratio,PEKIN,local_police,32541.0,False
NC0530100,NC,848.0,886.0,987.0,824.0,828.0,0.0,0.0,0.0,0.0,0,0,srs_return_a_annual,824.0,0.0,812.4165360823679,hist_median,SANFORD,local_police,32687.0,False
LA0490000,LA,1142.0,905.0,890.0,884.0,809.0,820.0,240.0,4.0,4.0,0,7,srs_return_a_annual,820.0,0.2926829268292683,720.0,true_partial_month_ratio,ST LANDRY,sheriff,53184.0,False
NY309SB00,NY,699.0,774.0,813.0,0.0,772.0,880.0,0.0,0.0,0.0,0,0,srs_return_a_annual,772.0,0.0,888.6226626264353,trend_log_linear,SP CLINTON COUNTY,state_law_enforcement,0.0,False
OR0230200,OR,633.0,755.0,708.0,737.0,797.0,584.0,115.0,4.0,4.0,7,0,nibrs_srs_equivalent_annual,737.0,0.1560379918588874,115.0,observed,ONTARIO,local_police,11908.0,False
NY313SK00,NY,640.0,576.0,603.0,0.0,657.0,701.0,0.0,0.0,0.0,0,0,srs_return_a_annual,657.0,0.0,685.669207815939,trend_log_linear,SP DUTCHESS COUNTY,state_law_enforcement,0.0,False
FL0350300,FL,781.0,757.0,705.0,0.0,643.0,880.0,0.0,0.0,0.0,0,0,srs_return_a_annual,643.0,0.0,771.1849078995097,trend_log_linear,CLERMONT,local_police,50524.0,False
NY359SK00,NY,415.0,339.0,440.0,0.0,667.0,635.0,0.0,0.0,0.0,0,0,srs_return_a_annual,635.0,0.0,775.193062745604,trend_log_linear,SP WESTCHESTER COUNTY,state_law_enforcement,0.0,False
SC0020300,SC,936.0,706.0,771.0,623.0,612.0,381.0,117.0,12.0,12.0,7,0,cius_publication_annual,612.0,0.19117647058823528,117.0,observed,NORTH AUGUSTA,local_police,26377.0,True
OH0120000,OH,668.0,812.0,771.0,762.0,605.0,331.0,0.0,0.0,0.0,0,0,srs_return_a_annual,605.0,0.0,412.0269398371999,trend_log_linear,CLARK,sheriff,65146.0,False
NY345SG00,NY,686.0,572.0,535.0,0.0,598.0,674.0,0.0,0.0,0.0,0,0,srs_return_a_annual,598.0,0.0,622.4823323106392,trend_log_linear,SP SARATOGA COUNTY,state_law_enforcement,0.0,False
VA0SI0200,VA,,1.0,1138.0,1114.0,575.0,130.0,9.0,9.0,9.0,0,3,srs_return_a_annual,575.0,0.01565217391304348,14.23745556223189,trend_log_linear|true_partial_month_ratio,UNITED STATES AIR FORCE,unknown,,False
NY322SD00,NY,554.0,482.0,585.0,0.0,579.0,574.0,0.0,0.0,0.0,0,0,srs_return_a_annual,574.0,0.0,591.7511636005547,trend_log_linear,SP JEFFERSON COUNTY,state_law_enforcement,0.0,False
NY333SD00,NY,594.0,651.0,649.0,0.0,556.0,573.0,0.0,0.0,0.0,0,0,srs_return_a_annual,556.0,0.0,557.6615612991059,trend_log_linear,SP ONONDAGA COUNTY,state_law_enforcement,0.0,False
KS0870100,KS,542.0,383.0,511.0,554.0,625.0,115.0,3.0,2.0,2.0,5,2,nibrs_srs_equivalent_annual|srs_return_a_annual,554.0,0.005415162454873646,18.0,observed|true_partial_month_ratio,DERBY,local_police,26409.0,False
UT0060100,UT,685.0,483.0,399.0,552.0,590.0,157.0,0.0,0.0,0.0,0,0,srs_return_a_annual,552.0,0.0,408.50076364084646,hist_median|trend_log_linear,BOUNTIFUL,local_police,45098.0,False
