ori9,state_abbr,state_fips,year,total,max_months,min_months,n_usable,n_partial,sources,own_history_median_full_year_total,own_history_full_years,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,population,rate_per_100k,own_history_ratio,pop_band,peer_median_rate_per_100k,peer_rate_ratio,screen_own_history,screen_peer_floor,REVIEW_both,REVIEW_peer_only_no_history
AK0010100,AK,02,2024,10849.0,12.0,12.0,7,0,srs_return_a_annual,13344.0,5.0,ANCHORAGE,local_police,291992.0,020,03000,srs_agency_header,291992.0,3715.512753774076,0.8130245803357314,"(100000.0, 1000000000.0]",2548.5118527622735,1.4579146452652032,False,False,False,False
AK0010200,AK,02,2024,1318.0,12.0,12.0,7,0,srs_return_a_annual,1546.0,6.0,FAIRBANKS,local_police,32785.0,090,24230,srs_agency_header,32785.0,4020.131157541559,0.8525226390685641,"(25000.0, 50000.0]",1535.566428302597,2.61801188372253,False,False,False,False
AK0010300,AK,02,2024,824.0,12.0,12.0,7,0,srs_return_a_annual,1242.0,5.0,JUNEAU,local_police,31925.0,110,36400,srs_agency_header,31925.0,2581.049334377447,0.6634460547504025,"(25000.0, 50000.0]",1535.566428302597,1.6808451180002149,False,False,False,False
AK0010400,AK,02,2024,193.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,276.0,6.0,KETCHIKAN,local_police,8316.0,130,38970,srs_agency_header,8316.0,2320.827320827321,0.6992753623188406,"(5000.0, 10000.0]",1096.8692275851467,2.1158651026584314,False,False,False,False
AK0010500,AK,02,2024,67.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,123.5,6.0,KODIAK,local_police,5995.0,150,40950,srs_agency_header,5995.0,1117.5979983319435,0.5425101214574899,"(5000.0, 10000.0]",1096.8692275851467,1.0188981240657402,False,False,False,False
AK0010600,AK,02,2024,56.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,123.5,6.0,NOME,local_police,3900.0,180,54920,srs_agency_header,3900.0,1435.8974358974358,0.4534412955465587,"(2500.0, 5000.0]",929.1121816930488,1.5454510921177589,False,False,False,False
AK0010700,AK,02,2024,28.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,75.5,6.0,PETERSBURG,local_police,3465.0,198,60310,srs_agency_header,3465.0,808.0808080808081,0.3708609271523179,"(2500.0, 5000.0]",929.1121816930488,0.869734380845492,False,False,False,False
AK0010800,AK,02,2024,59.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,64.0,6.0,SEWARD,local_police,2950.0,122,68560,srs_agency_header,2950.0,2000.0,0.921875,"(2500.0, 5000.0]",929.1121816930488,2.1525925925925926,False,False,False,False
AK0010900,AK,02,2024,69.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,118.0,6.0,SITKA,local_police,8588.0,220,70540,srs_agency_header,8588.0,803.4466697717745,0.5847457627118644,"(5000.0, 10000.0]",1096.8692275851467,0.7324908471911755,False,False,False,False
AK0011000,AK,02,2024,6.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,6.0,3.0,SKAGWAY,local_police,1206.0,230,99230,srs_agency_header,1206.0,497.51243781094524,1.0,"(1000.0, 2500.0]",701.7543859649123,0.708955223880597,False,False,False,False
AK0011100,AK,02,2024,2.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,11.5,4.0,WRANGELL,local_police,2522.0,275,86380,srs_agency_header,2522.0,79.30214115781126,0.17391304347826086,"(2500.0, 5000.0]",929.1121816930488,0.08535260081651835,True,True,True,False
AK0011200,AK,02,2024,18.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,40.0,6.0,VALDEZ,local_police,3859.0,063,82200,retired_county_remap,3859.0,466.442083441306,0.45,"(2500.0, 5000.0]",929.1121816930488,0.5020298868446057,False,False,False,False
AK0011300,AK,02,2024,245.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,147.0,6.0,BETHEL,local_police,6717.0,050,06520,srs_agency_header,6717.0,3647.4616644335265,1.6666666666666667,"(5000.0, 10000.0]",1096.8692275851467,3.3253386754806966,False,False,False,False
AK0011400,AK,02,2024,5.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,14.0,5.0,CORDOVA,local_police,2179.0,063,17410,retired_county_remap,2179.0,229.4630564479119,0.35714285714285715,"(1000.0, 2500.0]",701.7543859649123,0.32698485543827444,False,False,False,False
AK0011700,AK,02,2024,72.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,119.0,6.0,PALMER,local_police,7972.0,170,58660,srs_agency_header,7972.0,903.1610637230306,0.6050420168067226,"(5000.0, 10000.0]",1096.8692275851467,0.823399035189836,False,False,False,False
AK0011800,AK,02,2024,117.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,164.5,6.0,NORTH SLOPE BOROUGH,local_police,10959.0,185,99185,srs_agency_header,10959.0,1067.6156583629893,0.7112462006079028,"(10000.0, 25000.0]",1325.9538046215312,0.8051680644090917,False,False,False,False
AK0012000,AK,02,2024,57.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,121.0,6.0,SOLDOTNA,local_police,4855.0,122,71640,srs_agency_header,4855.0,1174.0473738414007,0.47107438016528924,"(2500.0, 5000.0]",929.1121816930488,1.263622840141893,False,False,False,False
AK0012200,AK,02,2024,91.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,110.5,6.0,HOMER,local_police,6212.0,122,33140,srs_agency_header,6212.0,1464.9066323245331,0.8235294117647058,"(5000.0, 10000.0]",1096.8692275851467,1.3355344424691837,False,False,False,False
AK0012300,AK,02,2024,86.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,181.0,6.0,KENAI,local_police,7970.0,122,38420,srs_agency_header,7970.0,1079.0464240903386,0.47513812154696133,"(5000.0, 10000.0]",1096.8692275851467,0.9837512047502266,False,False,False,False
AK0012600,AK,02,2024,14.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,19.0,4.0,FAIRBANKS INTRNL AIRPORT,special_jurisdiction,0.0,090,99090,srs_agency_header,0.0,,0.7368421052631579,,,,False,False,False,False
AK0012700,AK,02,2024,134.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,104.0,4.0,TED STEVENS ANCHORAGE IN,special_jurisdiction,0.0,020,99020,srs_agency_header,0.0,,1.2884615384615385,,,,False,False,False,False
AK0013000,AK,02,2024,7.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,61.5,4.0,DILLINGHAM,local_police,2405.0,070,18950,srs_agency_header,2405.0,291.0602910602911,0.11382113821138211,"(1000.0, 2500.0]",701.7543859649123,0.41476091476091476,True,False,False,False
AK0013200,AK,02,2024,52.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,71.5,6.0,NORTH POLE,local_police,2490.0,090,55910,srs_agency_header,2490.0,2088.3534136546186,0.7272727272727273,"(1000.0, 2500.0]",701.7543859649123,2.9759036144578315,False,False,False,False
AK0013300,AK,02,2024,9.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,44.5,6.0,UNALASKA,local_police,4546.0,016,80770,srs_agency_header,4546.0,197.9762428508579,0.20224719101123595,"(2500.0, 5000.0]",929.1121816930488,0.21308109693503446,True,True,True,False
AK0014200,AK,02,2024,32.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,44.0,5.0,UNIV OF AK FAIRBANKS,special_jurisdiction,0.0,090,24230,srs_agency_header,0.0,,0.7272727272727273,,,,False,False,False,False
AK0014300,AK,02,2024,52.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,44.0,5.0,UNIV OF AK ANCHORAGE,special_jurisdiction,0.0,020,03000,srs_agency_header,0.0,,1.1818181818181819,,,,False,False,False,False
AK0014500,AK,02,2024,5.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,10.5,6.0,CRAIG,local_police,1313.0,198,17740,srs_agency_header,1313.0,380.8073115003808,0.47619047619047616,"(1000.0, 2500.0]",701.7543859649123,0.5426504188880427,False,False,False,False
AK0014600,AK,02,2024,12.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,14.0,5.0,BRISTOL BAY BOROUGH,local_police,883.0,060,99060,srs_agency_header,883.0,1359.003397508494,0.8571428571428571,"(500.0, 1000.0]",519.2107995846314,2.617440543601359,False,False,False,False
AK0015600,AK,02,2024,294.0,12.0,12.0,7,0,srs_return_a_annual,427.0,6.0,WASILLA,local_police,11485.0,170,83080,srs_agency_header,11485.0,2559.860687853722,0.6885245901639344,"(10000.0, 25000.0]",1325.9538046215312,1.9305805971003542,False,False,False,False
AKAST0100,AK,02,2024,3184.0,12.0,12.0,7,0,srs_return_a_annual,3730.0,6.0,ALASKA STATE TROOPERS,state_law_enforcement,278769.0,170,,leaic_crosswalk,278769.0,1142.1643009086376,0.8536193029490616,"(100000.0, 1000000000.0]",569.9015363396038,2.0041432213792505,False,False,False,False
AL0010000,AL,01,2024,3375.0,12.0,12.0,7,0,srs_return_a_annual,2984.0,5.0,JEFFERSON,sheriff,156865.0,073,99073,srs_agency_header,156865.0,2151.531571733656,1.1310321715817695,"(100000.0, 1000000000.0]",964.1409922173102,2.231552842479616,False,False,False,False
AL0010100,AL,01,2024,2192.0,12.0,12.0,7,0,cius_publication_annual,1585.0,5.0,BESSEMER,local_police,26402.0,073,05980,srs_agency_header,26402.0,8302.401333232332,1.3829652996845425,"(25000.0, 50000.0]",1535.566428302597,5.4067353780388006,False,False,False,False
AL0010200,AL,01,2024,10314.0,12.0,12.0,7,0,cius_publication_annual,11935.0,3.0,BIRMINGHAM,local_police,210564.0,073,07000,srs_agency_header,210564.0,4898.2732090955715,0.8641809803100126,"(100000.0, 1000000000.0]",2548.5118527622735,1.9220131167082646,False,False,False,False
AL0010300,AL,01,2024,180.0,12.0,12.0,7,0,cius_publication_annual,230.0,5.0,MOUNTAIN BROOK,local_police,21910.0,073,51696,srs_agency_header,21910.0,821.5426745778184,0.782608695652174,"(10000.0, 25000.0]",1325.9538046215312,0.6195861965284021,False,False,False,False
AL0010500,AL,01,2024,288.0,12.0,12.0,7,0,cius_publication_annual,341.0,6.0,GARDENDALE,local_police,16861.0,073,29056,srs_agency_header,16861.0,1708.0837435502046,0.844574780058651,"(10000.0, 25000.0]",1325.9538046215312,1.2881924978055668,False,False,False,False
AL0010600,AL,01,2024,362.0,12.0,12.0,7,0,cius_publication_annual,232.0,5.0,LEEDS,local_police,12445.0,073,41968,srs_agency_header,12445.0,2908.7987143431096,1.5603448275862069,"(10000.0, 25000.0]",1325.9538046215312,2.1937406146463543,False,False,False,False
AL0010700,AL,01,2024,48.0,12.0,12.0,7,0,cius_publication_annual,134.0,4.0,MIDFIELD,local_police,5056.0,073,48376,srs_agency_header,5056.0,949.367088607595,0.3582089552238806,"(5000.0, 10000.0]",1096.8692275851467,0.8655244077707508,False,False,False,False
