ori9,state_abbr,state_fips,year,total,max_months,min_months,n_usable,n_partial,sources,own_history_median_full_year_total,own_history_full_years,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,population,rate_per_100k,own_history_ratio,pop_band,peer_median_rate_per_100k,peer_rate_ratio,screen_own_history,screen_peer_floor,REVIEW_both,REVIEW_peer_only_no_history
FL0360000,FL,12,2024,258.0,12.0,12.0,7,0,state_publication_annual,5890.0,4.0,LEE,sheriff,531625.0,071,99071,srs_agency_header,531625.0,48.53044909475664,0.04380305602716469,"(100000.0, 1000000000.0]",964.1409922173102,0.050335427584245106,True,True,True,False
FL0490000,FL,12,2024,335.0,12.0,12.0,7,0,state_publication_annual,4946.5,2.0,OSCEOLA,sheriff,311569.0,097,99097,srs_agency_header,311569.0,107.52032455090205,0.06772465379561306,"(100000.0, 1000000000.0]",964.1409922173102,0.1115192958486592,True,True,True,False
GA0250300,GA,13,2024,49.0,12.0,12.0,7,0,cius_publication_annual,6485.5,2.0,SAVANNAH CHATHAM METRO,local_police,242265.0,051,99991,srs_agency_header,242265.0,20.225785813055953,0.007555315704263357,"(100000.0, 1000000000.0]",2548.5118527622735,0.007936312240860754,True,True,True,False
MA0146000,MA,25,2024,35.0,12.0,12.0,7,0,cius_publication_annual,4873.0,5.0,WORCESTER,local_police,212425.0,027,82000,srs_agency_header,212425.0,16.476403436507002,0.007182433819002668,"(100000.0, 1000000000.0]",2548.5118527622735,0.006465107634735388,True,True,True,False
FL0060800,FL,12,2024,411.0,12.0,12.0,7,0,state_publication_annual,3647.0,3.0,PEMBROKE PINES,local_police,175757.0,011,55775,srs_agency_header,175757.0,233.8455936321171,0.1126953660542912,"(100000.0, 1000000000.0]",2548.5118527622735,0.09175770298209805,True,True,True,False
FL0030000,FL,12,2024,63.0,12.0,12.0,7,0,state_publication_annual,1890.0,4.0,BAY,sheriff,107874.0,005,99005,srs_agency_header,107874.0,58.401468379776404,0.03333333333333333,"(100000.0, 1000000000.0]",964.1409922173102,0.06057357673950362,True,True,True,False
FL0580300,FL,12,2024,7.0,12.0,12.0,7,0,state_publication_annual,971.0,5.0,NORTH PORT,local_police,93930.0,115,49675,srs_agency_header,93930.0,7.452358139039711,0.007209062821833162,"(50000.0, 100000.0]",1953.0671058048579,0.0038157204721179297,True,True,True,False
FL0130500,FL,12,2024,50.0,12.0,12.0,7,0,state_publication_annual,2772.5,4.0,HOMESTEAD,local_police,82094.0,086,32275,srs_agency_header,82094.0,60.90579092260092,0.018034265103697024,"(50000.0, 100000.0]",1953.0671058048579,0.031184689323566113,True,True,True,False
FL0030100,FL,12,2024,31.0,12.0,12.0,7,0,state_publication_annual,1756.0,5.0,PANAMA CITY,local_police,37318.0,005,54700,srs_agency_header,37318.0,83.0698322525323,0.01765375854214123,"(25000.0, 50000.0]",1535.566428302597,0.054097192229161345,True,True,True,False
WI0690000,WI,55,2024,41.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,126.5,6.0,WAUPACA,sheriff,32969.0,135,99135,srs_agency_header,32969.0,124.35924656495494,0.3241106719367589,"(25000.0, 50000.0]",707.5417165128656,0.17576242313719978,True,True,True,False
GA0720000,GA,13,2024,37.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,120.5,4.0,HARRIS,sheriff,32316.0,145,99145,srs_agency_header,32316.0,114.49436811486571,0.3070539419087137,"(25000.0, 50000.0]",707.5417165128656,0.16181995413521855,True,True,True,False
ME0140000,ME,23,2024,23.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,90.5,6.0,WALDO,sheriff,30710.0,027,99027,srs_agency_header,30710.0,74.89417127971345,0.2541436464088398,"(25000.0, 50000.0]",707.5417165128656,0.10585124457230728,True,True,True,False
WV0230000,WV,54,2024,24.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,110.0,6.0,LOGAN,sheriff,28398.0,045,99045,srs_agency_header,28398.0,84.51299387280794,0.21818181818181817,"(25000.0, 50000.0]",707.5417165128656,0.1194459519494229,True,True,True,False
PA0028500,PA,42,2024,56.0,12.0,12.0,7,0,cius_publication_annual,215.0,1.0,PLUM,local_police,27274.0,003,61536,srs_agency_header,27274.0,205.3237515582606,0.26046511627906976,"(25000.0, 50000.0]",1535.566428302597,0.1337120607574261,True,True,True,False
NJ0153300,NJ,34,2024,38.0,12.0,12.0,7,0,cius_publication_annual,133.0,5.0,BARNEGAT TOWNSHIP,local_police,26713.0,029,03050,srs_agency_header,26713.0,142.25283569797477,0.2857142857142857,"(25000.0, 50000.0]",1535.566428302597,0.09263867265919583,True,True,True,False
