ori9,fill_rows,n_rows,fill_mass,total_estimated,reported_2024,fill_sources,last_usable_year_before_2024,usable_rows_2024,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,years_since_last_real_report,on_fbi_2024_roster
FL0160200,7,7,25684.7524489159,25684.7524489159,0.0,hist_median,2020.0,0.0,JACKSONVILLE,local_police,920508.0,31.0,35000.0,srs_agency_header,4.0,False
MS0250100,7,7,6960.43340918604,6960.43340918604,0.0,hist_median,2019.0,0.0,JACKSON,local_police,166024.0,49.0,36000.0,srs_agency_header,5.0,True
FL0170000,7,7,6326.917674371105,6326.917674371105,0.0,hist_median,2020.0,0.0,ESCAMBIA,sheriff,280670.0,33.0,99033.0,srs_agency_header,4.0,True
FL0410000,7,7,4524.281111939185,4524.281111939185,0.0,hist_median,2020.0,0.0,MANATEE,sheriff,385230.0,81.0,99081.0,srs_agency_header,4.0,True
FL0060700,7,7,3918.343118252444,3918.343118252444,0.0,hist_median,2020.0,0.0,POMPANO BEACH,local_police,114181.0,11.0,58050.0,srs_agency_header,4.0,True
DCDI00700,7,7,3071.8168596485243,3071.8168596485243,0.0,hist_median,2020.0,0.0,US DOI NATIONAL PARK SE,unknown,,,,,4.0,False
FL0060500,7,7,3010.033639455144,3010.033639455144,0.0,hist_median,2020.0,0.0,HOLLYWOOD,local_police,156643.0,11.0,32000.0,srs_agency_header,4.0,True
FL0061800,7,7,2069.174933076369,2069.174933076369,0.0,hist_median,2020.0,0.0,LAUDERHILL,local_police,74911.0,11.0,39550.0,srs_agency_header,4.0,True
FL0060200,7,7,1914.4539815748192,1914.4539815748192,0.0,hist_median,2020.0,0.0,DEERFIELD BEACH,local_police,87514.0,11.0,16725.0,srs_agency_header,4.0,True
FL0350000,7,7,1855.4755321598109,1855.4755321598109,0.0,hist_median,2020.0,0.0,LAKE,sheriff,208739.0,69.0,99069.0,srs_agency_header,4.0,True
