ori9,state_abbr,agency_name_std,agency_type_norm,population_latest_nibrs,offense,months,preferred_count,implied_full_year_if_annualized,understatement,reporting_regime,preferred_source
MI6160300,MI,MUSKEGON,local_police,38188.0,larceny,6.0,196.0,392.0,196.0,true_partial,nibrs_srs_equivalent_annual
OR0230200,OR,ONTARIO,local_police,11908.0,larceny,4.0,81.0,243.0,162.0,true_partial,nibrs_srs_equivalent_annual
GA060240X,GA,ATLANTA,unknown,0.0,larceny,10.0,560.0,672.0,112.0,annual_only_but_usable,nibrs_srs_equivalent_annual
CO0510000,CO,PUEBLO,sheriff,60352.0,larceny,5.0,75.0,180.0,105.0,true_partial,nibrs_srs_equivalent_annual
MI6160300,MI,MUSKEGON,local_police,38188.0,aggravated_assault,6.0,76.0,152.0,76.0,true_partial,nibrs_srs_equivalent_annual
OH0770700,OH,MACEDONIA,local_police,12248.0,larceny,7.0,96.0,164.57142857142858,68.57142857142858,true_partial,nibrs_srs_equivalent_annual
AL0220000,AL,COOSA,sheriff,9303.0,burglary,4.0,32.0,96.0,64.0,true_partial,nibrs_srs_equivalent_annual
MI6160300,MI,MUSKEGON,local_police,38188.0,motor_vehicle_theft,6.0,63.0,126.0,63.0,true_partial,nibrs_srs_equivalent_annual
CO0510000,CO,PUEBLO,sheriff,60352.0,motor_vehicle_theft,5.0,45.0,108.0,63.0,true_partial,nibrs_srs_equivalent_annual
CA0390200,CA,LODI,local_police,68811.0,larceny,11.0,646.0,704.7272727272727,58.72727272727275,true_partial,nibrs_srs_equivalent_annual
IN0210100,IN,CONNERSVILLE,local_police,13315.0,larceny,8.0,115.0,172.5,57.5,true_partial,nibrs_srs_equivalent_annual
CO0510000,CO,PUEBLO,sheriff,60352.0,burglary,5.0,41.0,98.4,57.400000000000006,true_partial,nibrs_srs_equivalent_annual
GA060240X,GA,ATLANTA,unknown,0.0,motor_vehicle_theft,10.0,286.0,343.2,57.19999999999999,annual_only_but_usable,nibrs_srs_equivalent_annual
OH0140400,OH,WILMINGTON,local_police,12653.0,larceny,8.0,109.0,163.5,54.5,true_partial,nibrs_srs_equivalent_annual
OH0781300,OH,BROOKFIELD TOWNSHIP,local_police,8434.0,larceny,4.0,27.0,81.0,54.0,true_partial,nibrs_srs_equivalent_annual
MI6160300,MI,MUSKEGON,local_police,38188.0,burglary,6.0,53.0,106.0,53.0,true_partial,nibrs_srs_equivalent_annual
OH0740200,OH,TIFFIN,local_police,17773.0,larceny,8.0,94.0,141.0,47.0,true_partial,nibrs_srs_equivalent_annual
WADI06800,WA,TULALIP TRIBAL,local_police,0.0,larceny,10.0,182.0,218.4,36.400000000000006,true_partial,nibrs_srs_equivalent_annual
NJ0130300,NJ,ASBURY PARK,local_police,15717.0,larceny,11.0,391.0,426.54545454545456,35.54545454545456,true_partial,nibrs_srs_equivalent_annual
GA0331300,GA,COBB CNTY BOARD OF EDUC,special_jurisdiction,0.0,larceny,7.0,40.0,68.57142857142857,28.57142857142857,true_partial,nibrs_srs_equivalent_annual
GA0130000,GA,BRANTLEY,sheriff,17522.0,larceny,9.0,83.0,110.66666666666667,27.66666666666667,true_partial,nibrs_srs_equivalent_annual
OR0230200,OR,ONTARIO,local_police,11908.0,burglary,4.0,13.0,39.0,26.0,true_partial,nibrs_srs_equivalent_annual
OR0010100,OR,BAKER CITY,local_police,10305.0,larceny,8.0,50.0,75.0,25.0,true_partial,nibrs_srs_equivalent_annual
OH0730100,OH,NEW BOSTON,local_police,2267.0,larceny,8.0,50.0,75.0,25.0,true_partial,nibrs_srs_equivalent_annual
AL0220000,AL,COOSA,sheriff,9303.0,larceny,4.0,12.0,36.0,24.0,true_partial,nibrs_srs_equivalent_annual
MO0280200,MO,CUBA,local_police,3302.0,larceny,8.0,47.0,70.5,23.5,true_partial,nibrs_srs_equivalent_annual
OR0201300,OR,UNIVERSITY OF OREGON,special_jurisdiction,0.0,larceny,11.0,239.0,260.72727272727275,21.727272727272748,true_partial,nibrs_srs_equivalent_annual
WY0040100,WY,RAWLINS,local_police,8806.0,burglary,9.0,61.0,81.33333333333333,20.33333333333333,true_partial,nibrs_srs_equivalent_annual
CO0220000,CO,FREMONT,sheriff,30008.0,larceny,9.0,60.0,80.0,20.0,true_partial,nibrs_srs_equivalent_annual
MO0050100,MO,CASSVILLE,local_police,3327.0,larceny,10.0,97.0,116.4,19.400000000000006,true_partial,nibrs_srs_equivalent_annual
OKDI15000,OK,COMANCHE NATION,local_police,0.0,larceny,7.0,27.0,46.285714285714285,19.285714285714285,true_partial,nibrs_srs_equivalent_annual
