ori9,state_fips,state_abbr,offense,reported_count_cius,observation_weight_cius,mean_months_reported_cius,conversion_status_cius,cius_reference_flag_cius,reported_count_local_publication,observation_weight_local_publication,mean_months_reported_local_publication,conversion_status_local_publication,reported_count_state_publication,observation_weight_state_publication,mean_months_reported_state_publication,conversion_status_state_publication,reported_count_srs,observation_weight_srs,mean_months_reported_srs,conversion_status_srs,cius_reference_flag_summary,reported_count_nibrs,observation_weight_nibrs,mean_months_reported_nibrs,reporting_regime,preferred_source_by_regime,srs_months_reported,nibrs_months_reported,srs_observation_weight,nibrs_observation_weight,source_override_applied,published_nibrs_official_count,published_nibrs_agency_type,preferred_source,preferred_count,preferred_observation_weight,preferred_months_reported,preferred_source_lane,preferred_reporting_mode,preferred_conversion_status,preferred_source_family,preferred_source_origin,preferred_raw_data_source,preferred_state_exception_flag,preferred_cius_reference_flag,usable_as_observed,current_row_is_true_partial,year,months,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,zero_count
AK0011600,02,AK,murder,,,,,,,,,,,,,,0.0,0.8,10.0,as_released_return_a,False,0.0,0.8,10.0,true_partial,srs_return_a_annual,10.0,10.0,0.8,0.8,False,,,nibrs_srs_equivalent_annual,0.0,0.8,10.0,reported_nibrs_rollup,annual_srs_equivalent_rollup,srs_rules_rollup_from_nibrs,nibrs_rollup_annual,nibrs_rollup,kaplan_fbi_nibrs_master_segments,False,False,True,False,2024,10.0,KOTZEBUE,local_police,3273.0,188,41830,srs_agency_header,True
AK0011600,02,AK,robbery,,,,,,,,,,,,,,0.0,0.8,10.0,as_released_return_a,False,0.0,0.8,10.0,true_partial,srs_return_a_annual,10.0,10.0,0.8,0.8,False,,,nibrs_srs_equivalent_annual,0.0,0.8,10.0,reported_nibrs_rollup,annual_srs_equivalent_rollup,srs_rules_rollup_from_nibrs,nibrs_rollup_annual,nibrs_rollup,kaplan_fbi_nibrs_master_segments,False,False,True,False,2024,10.0,KOTZEBUE,local_police,3273.0,188,41830,srs_agency_header,True
AL0520000,01,AL,murder,,,,,,,,,,,,,,0.0,0.8,11.0,as_released_return_a,False,0.0,0.8,11.0,true_partial,srs_return_a_annual,11.0,11.0,0.8,0.8,False,,,nibrs_srs_equivalent_annual,0.0,0.8,11.0,reported_nibrs_rollup,annual_srs_equivalent_rollup,srs_rules_rollup_from_nibrs,nibrs_rollup_annual,nibrs_rollup,kaplan_fbi_nibrs_master_segments,False,False,True,False,2024,11.0,MORGAN,sheriff,45139.0,103,99103,srs_agency_header,True
AL0520000,01,AL,robbery,,,,,,,,,,,,,,0.0,0.8,11.0,as_released_return_a,False,0.0,0.8,11.0,true_partial,srs_return_a_annual,11.0,11.0,0.8,0.8,False,,,nibrs_srs_equivalent_annual,0.0,0.8,11.0,reported_nibrs_rollup,annual_srs_equivalent_rollup,srs_rules_rollup_from_nibrs,nibrs_rollup_annual,nibrs_rollup,kaplan_fbi_nibrs_master_segments,False,False,True,False,2024,11.0,MORGAN,sheriff,45139.0,103,99103,srs_agency_header,True
AL0630200,01,AL,murder,,,,,,,,,,,,,,0.0,0.5,6.0,as_released_return_a,False,0.0,0.5,6.0,true_partial,srs_return_a_annual,6.0,6.0,0.5,0.5,False,,,nibrs_srs_equivalent_annual,0.0,0.5,6.0,reported_nibrs_rollup,annual_srs_equivalent_rollup,srs_rules_rollup_from_nibrs,nibrs_rollup_annual,nibrs_rollup,kaplan_fbi_nibrs_master_segments,False,False,True,False,2024,6.0,NORTHPORT,local_police,31081.0,125,55200,srs_agency_header,True
AL0660000,01,AL,murder,,,,,,,,,,,,,,0.0,0.8,11.0,as_released_return_a,False,0.0,0.8,11.0,true_partial,srs_return_a_annual,11.0,11.0,0.8,0.8,False,,,nibrs_srs_equivalent_annual,0.0,0.8,11.0,reported_nibrs_rollup,annual_srs_equivalent_rollup,srs_rules_rollup_from_nibrs,nibrs_rollup_annual,nibrs_rollup,kaplan_fbi_nibrs_master_segments,False,False,True,False,2024,11.0,WILCOX,sheriff,7908.0,131,99131,srs_agency_header,True
AL0660000,01,AL,rape,,,,,,,,,,,,,,0.0,0.8,11.0,as_released_return_a,False,0.0,0.8,11.0,true_partial,srs_return_a_annual,11.0,11.0,0.8,0.8,False,,,nibrs_srs_equivalent_annual,0.0,0.8,11.0,reported_nibrs_rollup,annual_srs_equivalent_rollup,srs_rules_rollup_from_nibrs,nibrs_rollup_annual,nibrs_rollup,kaplan_fbi_nibrs_master_segments,False,False,True,False,2024,11.0,WILCOX,sheriff,7908.0,131,99131,srs_agency_header,True
AL0660000,01,AL,robbery,,,,,,,,,,,,,,0.0,0.8,11.0,as_released_return_a,False,0.0,0.8,11.0,true_partial,srs_return_a_annual,11.0,11.0,0.8,0.8,False,,,nibrs_srs_equivalent_annual,0.0,0.8,11.0,reported_nibrs_rollup,annual_srs_equivalent_rollup,srs_rules_rollup_from_nibrs,nibrs_rollup_annual,nibrs_rollup,kaplan_fbi_nibrs_master_segments,False,False,True,False,2024,11.0,WILCOX,sheriff,7908.0,131,99131,srs_agency_header,True
ALDI00300,01,AL,burglary,,,,,,,,,,,,,,0.0,0.25,4.0,as_released_return_a,False,0.0,0.25,4.0,true_partial,srs_return_a_annual,4.0,4.0,0.25,0.25,False,,,nibrs_srs_equivalent_annual,0.0,0.25,4.0,reported_nibrs_rollup,annual_srs_equivalent_rollup,srs_rules_rollup_from_nibrs,nibrs_rollup_annual,nibrs_rollup,kaplan_fbi_nibrs_master_segments,False,False,True,False,2024,4.0,POARCH CREEK TRIBAL,local_police,0.0,053,03004,srs_agency_header,True
ALDI00300,01,AL,murder,,,,,,,,,,,,,,0.0,0.25,4.0,as_released_return_a,False,0.0,0.25,4.0,true_partial,srs_return_a_annual,4.0,4.0,0.25,0.25,False,,,nibrs_srs_equivalent_annual,0.0,0.25,4.0,reported_nibrs_rollup,annual_srs_equivalent_rollup,srs_rules_rollup_from_nibrs,nibrs_rollup_annual,nibrs_rollup,kaplan_fbi_nibrs_master_segments,False,False,True,False,2024,4.0,POARCH CREEK TRIBAL,local_police,0.0,053,03004,srs_agency_header,True
