ori9,state_abbr,agency_name_std,agency_type_norm,population_latest_nibrs,offense,preferred_source,preferred_count,preferred_months_reported,srs_months,nibrs_months,reported_count_srs,reported_count_nibrs,reporting_regime,usable_as_observed,current_row_is_true_partial,agency_year_lane_mixed
AK0011600,AK,KOTZEBUE,local_police,3273.0,aggravated_assault,srs_return_a_annual,18.0,10.0,10.0,10.0,18.0,18.0,true_partial,False,True,True
AK0011600,AK,KOTZEBUE,local_police,3273.0,burglary,srs_return_a_annual,3.0,10.0,10.0,10.0,3.0,3.0,true_partial,False,True,True
AK0011600,AK,KOTZEBUE,local_police,3273.0,larceny,srs_return_a_annual,10.0,10.0,10.0,10.0,10.0,10.0,true_partial,False,True,True
AK0011600,AK,KOTZEBUE,local_police,3273.0,motor_vehicle_theft,srs_return_a_annual,1.0,10.0,10.0,10.0,1.0,1.0,true_partial,False,True,True
AK0011600,AK,KOTZEBUE,local_police,3273.0,murder,nibrs_srs_equivalent_annual,0.0,10.0,10.0,10.0,0.0,0.0,true_partial,True,False,True
AK0011600,AK,KOTZEBUE,local_police,3273.0,rape,srs_return_a_annual,7.0,10.0,10.0,10.0,7.0,7.0,true_partial,False,True,True
AK0011600,AK,KOTZEBUE,local_police,3273.0,robbery,nibrs_srs_equivalent_annual,0.0,10.0,10.0,10.0,0.0,0.0,true_partial,True,False,True
AL0520000,AL,MORGAN,sheriff,45139.0,aggravated_assault,srs_return_a_annual,46.0,11.0,11.0,11.0,46.0,46.0,true_partial,False,True,True
AL0520000,AL,MORGAN,sheriff,45139.0,burglary,srs_return_a_annual,36.0,11.0,11.0,11.0,36.0,36.0,true_partial,False,True,True
AL0520000,AL,MORGAN,sheriff,45139.0,larceny,srs_return_a_annual,136.0,11.0,11.0,11.0,136.0,136.0,true_partial,False,True,True
AL0520000,AL,MORGAN,sheriff,45139.0,motor_vehicle_theft,srs_return_a_annual,29.0,11.0,11.0,11.0,29.0,29.0,true_partial,False,True,True
AL0520000,AL,MORGAN,sheriff,45139.0,murder,nibrs_srs_equivalent_annual,0.0,11.0,11.0,11.0,0.0,0.0,true_partial,True,False,True
AL0520000,AL,MORGAN,sheriff,45139.0,rape,srs_return_a_annual,4.0,11.0,11.0,11.0,4.0,4.0,true_partial,False,True,True
AL0520000,AL,MORGAN,sheriff,45139.0,robbery,nibrs_srs_equivalent_annual,0.0,11.0,11.0,11.0,0.0,0.0,true_partial,True,False,True
AL0630200,AL,NORTHPORT,local_police,31081.0,aggravated_assault,srs_return_a_annual,42.0,6.0,6.0,6.0,42.0,42.0,true_partial,False,True,True
AL0630200,AL,NORTHPORT,local_police,31081.0,burglary,srs_return_a_annual,36.0,6.0,6.0,6.0,36.0,36.0,true_partial,False,True,True
AL0630200,AL,NORTHPORT,local_police,31081.0,larceny,srs_return_a_annual,155.0,6.0,6.0,6.0,155.0,155.0,true_partial,False,True,True
AL0630200,AL,NORTHPORT,local_police,31081.0,motor_vehicle_theft,srs_return_a_annual,19.0,6.0,6.0,6.0,19.0,19.0,true_partial,False,True,True
AL0630200,AL,NORTHPORT,local_police,31081.0,murder,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
AL0630200,AL,NORTHPORT,local_police,31081.0,rape,srs_return_a_annual,4.0,6.0,6.0,6.0,4.0,4.0,true_partial,False,True,True
AL0630200,AL,NORTHPORT,local_police,31081.0,robbery,srs_return_a_annual,3.0,6.0,6.0,6.0,3.0,3.0,true_partial,False,True,True
AL0660000,AL,WILCOX,sheriff,7908.0,aggravated_assault,srs_return_a_annual,29.0,11.0,11.0,11.0,29.0,29.0,true_partial,False,True,True
AL0660000,AL,WILCOX,sheriff,7908.0,burglary,srs_return_a_annual,16.0,11.0,11.0,11.0,16.0,16.0,true_partial,False,True,True
AL0660000,AL,WILCOX,sheriff,7908.0,larceny,srs_return_a_annual,30.0,11.0,11.0,11.0,30.0,30.0,true_partial,False,True,True
AL0660000,AL,WILCOX,sheriff,7908.0,motor_vehicle_theft,srs_return_a_annual,18.0,11.0,11.0,11.0,18.0,18.0,true_partial,False,True,True
