ori9,ori7,year,source,source_family,source_origin,raw_data_source,source_lane,reporting_mode,conversion_status,state_exception_flag,cius_reference_flag,offense,count,observation_weight,quality_tier,months_reported,months_missing,monthly_lumpiness_flag,reported_months_original,annual_batch_detected,annual_batch_detector_reason,annual_batch_panel_median_full_year_total,annual_batch_panel_max_full_year_total,annual_batch_absolute_total_flag,annual_batch_panel_median_flag,annual_part1_total,monthly_part1_total,monthly_row_count,nonzero_months,max_month_share,annual_month_diff_ratio,state_fips,state_abbr,county_fips,place_fips,population,agency_name_raw,agency_name_std,agency_type_raw,agency_type_norm,crosswalk_agency_name,census_name,manual_review_flag
AZ0021300,AZ00213,2019,srs_return_a_annual,summary_annual,srs,kaplan_openicpsr_srs_return_a,reported_srs_summary,annual_summary,as_released_return_a,False,False,rape,-1.0,1.0,high,12.0,,False,12.0,False,,122.0,143.0,False,False,133.0,133.0,12.0,12.0,0.13533834586466165,0.0,04,AZ,003,83090,3507.0,willcox,WILLCOX,local police department,local_police,willcox department of public safety,willcox city,False
AZ0080300,AZ00803,2018,srs_return_a_annual,summary_annual,srs,kaplan_openicpsr_srs_return_a,reported_srs_summary,annual_summary,as_released_return_a,False,False,motor_vehicle_theft,-1.0,1.0,high,12.0,,False,12.0,False,,25.0,25.0,False,False,37.0,37.0,12.0,10.0,0.16216216216216217,0.0,04,AZ,015,47400,0.0,fort mojave tribal,FORT MOJAVE TRIBAL,local police department,local_police,fort mohave tribal police department,fort mojave tribe of arizona,False
AZ0110700,AZ01107,2020,srs_return_a_annual,summary_annual,srs,kaplan_openicpsr_srs_return_a,reported_srs_summary,annual_summary,as_released_return_a,False,False,rape,-1.0,1.0,high,12.0,,False,12.0,False,,132.0,136.0,False,False,97.0,97.0,12.0,12.0,0.16494845360824742,0.0,04,AZ,021,23760,27571.0,florence,FLORENCE,local police department,local_police,florence police department,florence town,False
AZ0130000,AZ01300,2019,srs_return_a_annual,summary_annual,srs,kaplan_openicpsr_srs_return_a,reported_srs_summary,annual_summary,as_released_return_a,False,False,rape,-1.0,1.0,high,12.0,,False,12.0,False,,886.5,1052.0,False,False,1052.0,1052.0,12.0,12.0,0.10931558935361217,0.0,04,AZ,025,99025,96217.0,yavapai,YAVAPAI,sheriffs office,sheriff,yavapai county sheriff's office,yavapai county,False
AZ0130100,AZ01301,2020,srs_return_a_annual,summary_annual,srs,kaplan_openicpsr_srs_return_a,reported_srs_summary,annual_summary,as_released_return_a,False,False,motor_vehicle_theft,-1.0,1.0,high,12.0,,False,12.0,False,,36.0,47.0,False,False,28.0,28.0,12.0,12.0,0.17857142857142858,0.0,04,AZ,025,13890,4433.0,clarkdale,CLARKDALE,local police department,local_police,clarkdale police department,clarkdale town,False
GA0360000,GA03600,2019,srs_return_a_annual,summary_annual,srs,kaplan_openicpsr_srs_return_a,reported_srs_summary,annual_summary,as_released_return_a,False,False,rape,-1.0,0.8,medium,10.0,,False,10.0,False,,316.5,1171.0,False,False,676.0,676.0,12.0,5.0,0.23224852071005916,0.0,13,GA,073,99073,139963.0,columbia,COLUMBIA,sheriffs office,sheriff,columbia county sheriff's office,columbia county,False
GA0671000,GA06710,2018,srs_return_a_annual,summary_annual,srs,kaplan_openicpsr_srs_return_a,reported_srs_summary,annual_summary,as_released_return_a,False,False,robbery,-1.0,1.0,high,12.0,,False,12.0,False,,154.0,200.0,False,False,168.0,168.0,12.0,11.0,0.14285714285714285,0.0,13,GA,135,99135,0.0,gwinnett co pub schools,GWINNETT CO PUB SCHOOLS,special jurisdiction,special_jurisdiction,gwinnett county school police,gwinnett county,False
GA0730100,GA07301,2018,srs_return_a_annual,summary_annual,srs,kaplan_openicpsr_srs_return_a,reported_srs_summary,annual_summary,as_released_return_a,False,False,rape,-1.0,1.0,high,12.0,,False,12.0,False,,235.0,312.0,False,False,239.0,239.0,12.0,12.0,0.16736401673640167,0.0,13,GA,147,37144,4468.0,hartwell,HARTWELL,local police department,local_police,hartwell police department,hartwell city,False
IN0180500,IN01805,2019,srs_return_a_annual,summary_annual,srs,kaplan_openicpsr_srs_return_a,reported_srs_summary,annual_summary,as_released_return_a,False,False,motor_vehicle_theft,-1.0,1.0,high,12.0,,False,12.0,False,,197.5,247.0,False,False,246.0,246.0,12.0,12.0,0.1991869918699187,0.0,18,IN,035,51876,0.0,ball state university,BALL STATE UNIVERSITY,special jurisdiction,special_jurisdiction,ball state university police department,state of indiana,False
IN0530000,IN05300,2019,srs_return_a_annual,summary_annual,srs,kaplan_openicpsr_srs_return_a,reported_srs_summary,annual_summary,as_released_return_a,False,False,rape,-4.0,0.8,medium,10.0,,False,10.0,False,,485.0,594.0,False,False,450.0,450.0,12.0,10.0,0.1288888888888889,0.0,18,IN,105,99105,56015.0,monroe,MONROE,sheriffs office,sheriff,monroe county sheriff's office,monroe county,False
