ori9,year,source,n_offense_rows,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source
AR0040300,2018,cius_publication_annual,6,SILOAM SPRINGS,local_police,19985.0,007,64370,srs_agency_header
AR0140100,2018,cius_publication_annual,6,MAGNOLIA,local_police,11440.0,027,43460,srs_agency_header
AR0270100,2019,cius_publication_annual,6,SHERIDAN,local_police,5268.0,053,63710,srs_agency_header
AR0350100,2019,cius_publication_annual,6,PINE BLUFF,local_police,42195.0,069,55310,srs_agency_header
AR0500100,2019,cius_publication_annual,6,PRESCOTT,local_police,3010.0,099,57260,srs_agency_header
AR0630100,2018,cius_publication_annual,6,BENTON,local_police,38408.0,125,05290,srs_agency_header
AR0700100,2018,cius_publication_annual,6,EL DORADO,local_police,17916.0,139,21070,srs_agency_header
AZ0111300,2019,cius_publication_annual,6,APACHE JUNCTION,local_police,44607.0,021,02830,srs_agency_header
CO0070600,2018,cius_publication_annual,6,LOUISVILLE,local_police,21545.0,013,46355,srs_agency_header
CO0510100,2019,cius_publication_annual,6,PUEBLO,local_police,113371.0,101,62000,srs_agency_header
CO0621700,2018,cius_publication_annual,6,FREDERICK,local_police,18791.0,123,28360,srs_agency_header
IA0090200,2019,cius_publication_annual,6,WAVERLY,local_police,10611.0,017,82875,srs_agency_header
IA0290200,2019,cius_publication_annual,6,WEST BURLINGTON,local_police,3177.0,057,83685,srs_agency_header
IL0010300,2020,cius_publication_annual,6,QUINCY,local_police,40249.0,001,62367,srs_agency_header
IL0030100,2020,cius_publication_annual,6,GREENVILLE,local_police,7018.0,005,31589,srs_agency_header
IL0030500,2020,cius_publication_annual,6,PIERRON,local_police,562.0,005,59709,srs_agency_header
IL0060300,2020,cius_publication_annual,6,LADD,local_police,1576.0,011,40598,srs_agency_header
IL0060400,2020,cius_publication_annual,6,PRINCETON,local_police,7673.0,011,61899,srs_agency_header
IL0060600,2020,cius_publication_annual,6,SPRING VALLEY,local_police,5415.0,011,72156,srs_agency_header
IL0090100,2020,cius_publication_annual,6,ASHLAND,local_police,1203.0,017,02505,srs_agency_header
IL0090200,2020,cius_publication_annual,6,BEARDSTOWN,local_police,5764.0,017,04351,srs_agency_header
IL0100100,2020,cius_publication_annual,6,CHAMPAIGN,local_police,90231.0,019,12385,srs_agency_header
IL0100200,2020,cius_publication_annual,6,HOMER,local_police,1168.0,019,35814,srs_agency_header
IL0100300,2020,cius_publication_annual,6,MAHOMET,local_police,10538.0,019,46136,srs_agency_header
IL0100500,2020,cius_publication_annual,6,TOLONO,local_police,3499.0,019,75614,srs_agency_header
IL0100600,2020,cius_publication_annual,5,URBANA,local_police,42211.0,019,77005,srs_agency_header
IL0100800,2020,cius_publication_annual,6,FISHER,local_police,2013.0,019,26194,srs_agency_header
IL0101100,2020,cius_publication_annual,6,GIFFORD,local_police,1100.0,019,29145,srs_agency_header
IL0110200,2020,cius_publication_annual,6,TAYLORVILLE,local_police,10634.0,021,74574,srs_agency_header
IL0110400,2020,cius_publication_annual,6,STONINGTON,local_police,859.0,021,72949,srs_agency_header
IL0110500,2020,cius_publication_annual,6,ASSUMPTION,local_police,1172.0,021,02609,srs_agency_header
IL0110600,2020,cius_publication_annual,6,EDINBURG,local_police,1112.0,021,22645,srs_agency_header
IL0130200,2020,cius_publication_annual,6,FLORA,local_police,4860.0,025,26454,srs_agency_header
IL0140300,2020,cius_publication_annual,6,CARLYLE,local_police,3203.0,027,11228,srs_agency_header
IL0140400,2020,cius_publication_annual,6,NEW BADEN,local_police,3369.0,027,52142,srs_agency_header
IL0140500,2020,cius_publication_annual,6,TRENTON,local_police,2643.0,027,75991,srs_agency_header
IL0140600,2020,cius_publication_annual,6,ALBERS,local_police,1152.0,027,00555,srs_agency_header
IL0140700,2020,cius_publication_annual,6,AVISTON,local_police,2446.0,027,03181,srs_agency_header
IL0150300,2020,cius_publication_annual,6,MATTOON,local_police,17794.0,029,47553,srs_agency_header
IL0150900,2020,cius_publication_annual,6,LAKE LAND COLLEGE,special_jurisdiction,0.0,029,47553,srs_agency_header
IL0160100,2019,cius_publication_annual,6,ALSIP,local_police,19050.0,031,01010,srs_agency_header
IL0160100,2020,cius_publication_annual,6,ALSIP,local_police,19050.0,031,01010,srs_agency_header
IL0160200,2020,cius_publication_annual,6,ARLINGTON HEIGHTS,local_police,75688.0,031,02154,srs_agency_header
IL0160300,2020,cius_publication_annual,6,BARRINGTON,local_police,10614.0,031,03844,srs_agency_header
IL0160400,2020,cius_publication_annual,6,BARRINGTON HILLS,local_police,4219.0,031,03883,srs_agency_header
IL0160500,2020,cius_publication_annual,6,BARTLETT,local_police,41140.0,031,04013,srs_agency_header
IL0160700,2020,cius_publication_annual,6,BELLWOOD,local_police,19012.0,031,04975,srs_agency_header
IL0161100,2020,cius_publication_annual,6,BRIDGEVIEW,local_police,16424.0,031,08225,srs_agency_header
IL0161200,2020,cius_publication_annual,6,BROADVIEW,local_police,7961.0,031,08446,srs_agency_header
IL0161400,2020,cius_publication_annual,6,BUFFALO GROVE,local_police,42468.0,031,09447,srs_agency_header
IL0161700,2020,cius_publication_annual,6,CALUMET CITY,local_police,36560.0,031,10487,srs_agency_header
IL0161900,2018,cius_publication_annual,6,CHICAGO HEIGHTS,local_police,29832.0,031,14026,srs_agency_header
IL0161900,2020,cius_publication_annual,6,CHICAGO HEIGHTS,local_police,29832.0,031,14026,srs_agency_header
IL0161A00,2018,cius_publication_annual,6,SAUK VILLAGE,local_police,10436.0,031,67769,srs_agency_header
IL0161B00,2020,cius_publication_annual,6,STONE PARK,local_police,4884.0,031,72923,srs_agency_header
IL0161C00,2020,cius_publication_annual,6,WILLOW SPRINGS,local_police,5698.0,031,82049,srs_agency_header
IL0162000,2020,cius_publication_annual,6,CHICAGO RIDGE,local_police,14167.0,031,14065,srs_agency_header
IL0162100,2020,cius_publication_annual,6,CICERO,local_police,82310.0,031,14351,srs_agency_header
IL0162200,2020,cius_publication_annual,6,COUNTRY CLUB HILLS,local_police,16565.0,031,16691,srs_agency_header
IL0162300,2020,cius_publication_annual,6,COUNTRYSIDE,local_police,6159.0,031,16873,srs_agency_header
IL0162500,2020,cius_publication_annual,6,DES PLAINES,local_police,59023.0,031,19642,srs_agency_header
IL0162900,2020,cius_publication_annual,6,EAST HAZEL CREST,local_police,1524.0,031,21904,srs_agency_header
IL0162A00,2020,cius_publication_annual,6,SCHAUMBURG,local_police,75745.0,031,68003,srs_agency_header
IL0162B00,2020,cius_publication_annual,6,STREAMWOOD,local_police,39988.0,031,73157,srs_agency_header
IL0163000,2020,cius_publication_annual,6,ELK GROVE VILLAGE,local_police,32723.0,031,23256,srs_agency_header
IL0163100,2020,cius_publication_annual,6,ELMWOOD PARK,local_police,24486.0,031,23724,srs_agency_header
IL0163300,2020,cius_publication_annual,6,EVERGREEN PARK,local_police,19497.0,031,24634,srs_agency_header
IL0163400,2020,cius_publication_annual,6,FLOSSMOOR,local_police,9315.0,031,26571,srs_agency_header
IL0163700,2020,cius_publication_annual,6,FRANKLIN PARK,local_police,18230.0,031,27702,srs_agency_header
IL0163800,2020,cius_publication_annual,6,GLENCOE,local_police,8925.0,031,29652,srs_agency_header
IL0163900,2020,cius_publication_annual,6,GLENVIEW,local_police,48088.0,031,29938,srs_agency_header
IL0163A00,2020,cius_publication_annual,6,SCHILLER PARK,local_police,11617.0,031,68081,srs_agency_header
IL0163B00,2020,cius_publication_annual,6,SUMMIT,local_police,11310.0,031,73638,srs_agency_header
IL0163C00,2020,cius_publication_annual,6,WINNETKA,local_police,12518.0,031,82530,srs_agency_header
IL0164000,2020,cius_publication_annual,6,GLENWOOD,local_police,8864.0,031,30029,srs_agency_header
IL0164100,2020,cius_publication_annual,6,GOLF,local_police,501.0,031,30328,srs_agency_header
IL0164200,2020,cius_publication_annual,6,HANOVER PARK,local_police,37971.0,031,32746,srs_agency_header
IL0164400,2020,cius_publication_annual,6,HARWOOD HEIGHTS,local_police,8664.0,031,33435,srs_agency_header
IL0164500,2020,cius_publication_annual,6,HAZEL CREST,local_police,13811.0,031,33695,srs_agency_header
IL0164600,2020,cius_publication_annual,6,HICKORY HILLS,local_police,13934.0,031,34514,srs_agency_header
IL0164700,2020,cius_publication_annual,6,HILLSIDE,local_police,8026.0,031,35086,srs_agency_header
IL0164900,2020,cius_publication_annual,6,HODGKINS,local_police,1979.0,031,35385,srs_agency_header
IL0164A00,2020,cius_publication_annual,6,SKOKIE,local_police,65185.0,031,70122,srs_agency_header
IL0164B00,2020,cius_publication_annual,6,THORNTON,local_police,2457.0,031,75185,srs_agency_header
IL0165200,2020,cius_publication_annual,6,HOMEWOOD,local_police,19056.0,031,35879,srs_agency_header
IL0165600,2020,cius_publication_annual,6,KENILWORTH,local_police,2521.0,031,39519,srs_agency_header
IL0165700,2020,cius_publication_annual,6,LA GRANGE,local_police,15699.0,031,40767,srs_agency_header
IL0165800,2020,cius_publication_annual,6,LA GRANGE PARK,local_police,13411.0,031,40793,srs_agency_header
IL0165900,2020,cius_publication_annual,6,LANSING,local_police,27904.0,031,42028,srs_agency_header
IL0165A00,2020,cius_publication_annual,6,SOUTH BARRINGTON,local_police,5047.0,031,70564,srs_agency_header
IL0166000,2020,cius_publication_annual,6,LEMONT,local_police,17507.0,031,42795,srs_agency_header
IL0166100,2020,cius_publication_annual,6,LINCOLNWOOD,local_police,12946.0,031,43744,srs_agency_header
IL0166300,2020,cius_publication_annual,6,LYONS,local_police,10563.0,031,45434,srs_agency_header
IL0166400,2020,cius_publication_annual,6,MCCOOK,local_police,238.0,031,45564,srs_agency_header
IL0166500,2020,cius_publication_annual,6,MARKHAM,local_police,12537.0,031,47007,srs_agency_header
IL0166600,2020,cius_publication_annual,6,MATTESON,local_police,19517.0,031,47540,srs_agency_header
IL0166700,2020,cius_publication_annual,6,MAYWOOD,local_police,23573.0,031,47774,srs_agency_header
IL0166800,2020,cius_publication_annual,6,MELROSE PARK,local_police,25164.0,031,48242,srs_agency_header
IL0166A00,2020,cius_publication_annual,6,SOUTH CHICAGO HEIGHTS,local_police,4077.0,031,70629,srs_agency_header
IL0166B00,2020,cius_publication_annual,6,WESTCHESTER,local_police,16423.0,031,80047,srs_agency_header
IL0167000,2020,cius_publication_annual,6,MIDLOTHIAN,local_police,14607.0,031,48892,srs_agency_header
IL0167100,2020,cius_publication_annual,6,MORTON GROVE,local_police,24238.0,031,50647,srs_agency_header
IL0167200,2020,cius_publication_annual,6,MOUNT PROSPECT,local_police,54477.0,031,51089,srs_agency_header
IL0167300,2020,cius_publication_annual,6,NILES,local_police,29784.0,031,53000,srs_agency_header
IL0167500,2020,cius_publication_annual,6,NORTHBROOK,local_police,34039.0,031,53481,srs_agency_header
IL0167600,2020,cius_publication_annual,6,NORTHFIELD,local_police,5534.0,031,53663,srs_agency_header
IL0167700,2020,cius_publication_annual,6,NORTHLAKE,local_police,12440.0,031,53871,srs_agency_header
IL0167800,2019,cius_publication_annual,6,NORTH RIVERSIDE,local_police,7106.0,031,54144,srs_agency_header
IL0167800,2020,cius_publication_annual,6,NORTH RIVERSIDE,local_police,7106.0,031,54144,srs_agency_header
IL0167900,2020,cius_publication_annual,6,OAK FOREST,local_police,27644.0,031,54638,srs_agency_header
IL0167A00,2020,cius_publication_annual,6,SOUTH HOLLAND,local_police,21690.0,031,70850,srs_agency_header
IL0167B00,2020,cius_publication_annual,6,WESTERN SPRINGS,local_police,13554.0,031,80242,srs_agency_header
IL0167E00,2020,cius_publication_annual,6,OAKTON COMMUNITY COLLEGE,special_jurisdiction,0.0,031,19642,srs_agency_header
IL0168000,2020,cius_publication_annual,6,OAK LAWN,local_police,55996.0,031,54820,srs_agency_header
IL0168100,2018,cius_publication_annual,5,OAK PARK,local_police,52435.0,031,54885,srs_agency_header
IL0168100,2020,cius_publication_annual,6,OAK PARK,local_police,52435.0,031,54885,srs_agency_header
IL0168200,2020,cius_publication_annual,6,OLYMPIA FIELDS,local_police,4878.0,031,55938,srs_agency_header
IL0168300,2020,cius_publication_annual,6,ORLAND PARK,local_police,59064.0,031,56640,srs_agency_header
IL0168400,2020,cius_publication_annual,6,PALATINE,local_police,68648.0,031,57225,srs_agency_header
IL0168500,2020,cius_publication_annual,6,PALOS HEIGHTS,local_police,12639.0,031,57381,srs_agency_header
IL0168600,2020,cius_publication_annual,6,PALOS HILLS,local_police,17790.0,031,57394,srs_agency_header
IL0168700,2020,cius_publication_annual,6,PALOS PARK,local_police,4822.0,031,57407,srs_agency_header
IL0168800,2020,cius_publication_annual,6,PARK FOREST,local_police,21636.0,031,57732,srs_agency_header
IL0168900,2020,cius_publication_annual,6,PARK RIDGE,local_police,38108.0,031,57875,srs_agency_header
IL0168A00,2020,cius_publication_annual,6,STEGER,local_police,9388.0,197,72520,srs_agency_header
IL0168C00,2020,cius_publication_annual,6,BURBANK,local_police,28771.0,031,09642,srs_agency_header
IL0169000,2020,cius_publication_annual,6,PHOENIX,local_police,1944.0,031,59572,srs_agency_header
IL0169100,2020,cius_publication_annual,6,POSEN,local_police,5903.0,031,61314,srs_agency_header
IL0169200,2020,cius_publication_annual,6,RICHTON PARK,local_police,13485.0,031,63706,srs_agency_header
IL0169300,2020,cius_publication_annual,6,RIVERDALE,local_police,13322.0,031,64278,srs_agency_header
IL0169400,2020,cius_publication_annual,6,RIVER FOREST,local_police,11403.0,031,64304,srs_agency_header
IL0169500,2020,cius_publication_annual,6,RIVER GROVE,local_police,10504.0,031,64343,srs_agency_header
IL0169600,2020,cius_publication_annual,6,RIVERSIDE,local_police,8879.0,031,64421,srs_agency_header
IL0169700,2020,cius_publication_annual,6,ROBBINS,local_police,5506.0,031,64616,srs_agency_header
IL0169800,2020,cius_publication_annual,6,ROLLING MEADOWS,local_police,23970.0,031,65338,srs_agency_header
IL0169900,2020,cius_publication_annual,6,ROSEMONT,local_police,4143.0,031,65819,srs_agency_header
IL0169A00,2020,cius_publication_annual,6,STICKNEY,local_police,6841.0,031,72676,srs_agency_header
IL0169B00,2020,cius_publication_annual,6,WHEELING,local_police,39087.0,031,81087,srs_agency_header
