ori9,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source
AL0031400,STATE FIRE MARSHAL,special_jurisdiction,0.0,101,51000,srs_agency_header
AL0100000,BUTLER,sheriff,10410.0,013,99013,srs_agency_header
AL0290700,CENTRAL AL DRUG TASK FOR,unknown,0.0,051,,fbi_cde_agency_roster
AL0400300,KENNEDY,local_police,426.0,075,39520,srs_agency_header
AL0420600,LAWRENCE CNTY DRG VCTF,unknown,0.0,079,,fbi_cde_agency_roster
AL0440000,LIMESTONE,sheriff,67853.0,083,99083,srs_agency_header
AL0480700,17TH JUD CIRCUIT DRUG TF,special_jurisdiction,0.0,091,99091,srs_agency_header
AL0521100,CALHOUN COMMUNITY COLLEG,special_jurisdiction,,103,20104,srs_agency_header
AL0530000,PERRY,sheriff,3638.0,105,99105,srs_agency_header
AL0620800,CENTRAL ALABAMA COMMUNIT,special_jurisdiction,0.0,123,,fbi_cde_agency_roster
AL0630500,TAYLOR HARDIN SECURE MED,special_jurisdiction,0.0,125,77256,srs_agency_header
AL0640900,SIPSEY,local_police,412.0,127,70704,srs_agency_header
AR0341000,STATE PARK JACKSONPORT,unknown,0.0,067,,fbi_cde_agency_roster
AZ0060100,CLIFTON,local_police,3774.0,011,14380,srs_agency_header
AZ0101200,TOHONO O ODHAM NATION,local_police,0.0,019,65490,srs_agency_header
AZ0141000,QUECHAN TRIBAL,local_police,0.0,027,85540,srs_agency_header
AZDI06200,FORT APACHE AGENCY,local_police,0.0,009,82530,srs_agency_header
CA0191N00,BALDWIN PARK UNIFIED SCH,special_jurisdiction,0.0,037,03666,srs_agency_header
CADI03900,BLUE LAKE TRIBAL,special_jurisdiction,0.0,,,
CADIT0500,LOS COYOTES TRIBAL,special_jurisdiction,0.0,,,
CO0200300,KIOWA,local_police,837.0,039,40790,srs_agency_header
DCD0T0700,UNITED STATES DEPARTMENT,unknown,,,,
DCDI00500,US DOI BUREAU OF RECLAM,unknown,,,,
DCDI00600,US DOI FISH AND WILDLIF,unknown,,,,
DCGSA0000,US GENERAL SERVICES ADMI,unknown,,,,
DE0013000,AG KENT COUNTY,special_jurisdiction,,001,99001,srs_agency_header
DE0033500,AG SUSSEX COUNTY,special_jurisdiction,,005,99005,srs_agency_header
FL0190200,CARRABELLE,local_police,2876.0,037,10725,srs_agency_header
FL0460500,SHALIMAR,local_police,854.0,091,65425,srs_agency_header
GA0010400,APPLING CNTY BOARD ED,unknown,0.0,001,,fbi_cde_agency_roster
GA0020100,PEARSON,local_police,2091.0,003,59808,srs_agency_header
GA0040000,BAKER,sheriff,2569.0,007,99007,srs_agency_header
GA0140200,MORVEN,local_police,547.0,027,53032,srs_agency_header
GA0160300,PORTAL,local_police,715.0,031,62216,srs_agency_header
GA0160500,REGISTER,local_police,199.0,031,64372,srs_agency_header
GA0190000,CALHOUN,sheriff,3370.0,037,99037,srs_agency_header
GA0250000,CHATHAM,sheriff,0.0,051,99051,srs_agency_header
GA0250100,CHATHAM COUNTY POL DEPT,local_police,0.0,051,99051,srs_agency_header
GA0251000,SAVANNAH STATE UNIVERSIT,special_jurisdiction,0.0,051,69000,srs_agency_header
GA0251100,ARMSTRONG STATE UNIVERSI,special_jurisdiction,,051,69000,srs_agency_header
GA0252500,SAVANNAH F ES ARSON UNIT,special_jurisdiction,0.0,051,69000,srs_agency_header
GA0260000,CHATTAHOOCHEE,sheriff,10873.0,053,21017,srs_agency_header
GA0270200,TRION,local_police,1972.0,055,77540,srs_agency_header
GA0280600,NELSON,local_police,1403.0,227,54572,srs_agency_header
GA0280900,CHEROKEE COUNTY MARSHAL,constable_marshal,0.0,057,99057,srs_agency_header
GA0310000,CLAYTON,sheriff,0.0,063,99063,srs_agency_header
GA0311700,CLAYTON COUNTY SCHOOLS,unknown,0.0,063,,fbi_cde_agency_roster
GA0340400,NICHOLLS,local_police,3371.0,069,55440,srs_agency_header
GA0350000,COLQUITT,sheriff,29666.0,071,99071,srs_agency_header
GA0350200,BERLIN,local_police,561.0,071,07304,srs_agency_header
GA0370100,ADEL,local_police,5740.0,075,00576,srs_agency_header
GA0370200,LENOX,local_police,851.0,075,45936,srs_agency_header
GA0530500,STILLMORE,local_police,523.0,107,73620,srs_agency_header
GA0550100,MCCAYSVILLE,local_police,1229.0,111,48428,srs_agency_header
GA0560400,FAYETTE COUNTY MARSHAL,constable_marshal,0.0,113,99113,srs_agency_header
GA0580100,CUMMING,local_police,10345.0,117,20932,srs_agency_header
GA0580300,FORSYTH CO FIRE INVES UN,special_jurisdiction,0.0,117,99117,srs_agency_header
GA0590300,ROYSTON,local_police,2678.0,119,67452,srs_agency_header
GA0600600,UNION CITY,local_police,28414.0,121,78324,srs_agency_header
GA0602000,GA DEPT TRANS OFF INVEST,special_jurisdiction,0.0,121,04000,srs_agency_header
GA0604500,MORRIS BROWN COLLEGE,special_jurisdiction,,121,04000,srs_agency_header
GA0604900,ST BRD WRKRS COMP FID,special_jurisdiction,,121,04000,srs_agency_header
GA0606200,MOREHOUSE SCHL OF MEDICN,special_jurisdiction,0.0,121,04000,srs_agency_header
