state_abbr,state_fips,year,source,rows,mass,oris
CZ,57,2018,srs_return_a_annual,7,0.0,1
CZ,57,2019,srs_return_a_annual,7,0.0,1
CZ,57,2020,srs_return_a_annual,7,0.0,1
CZ,57,2021,srs_return_a_annual,7,0.0,1
CZ,57,2022,srs_return_a_annual,7,0.0,1
CZ,57,2023,srs_return_a_annual,7,0.0,1
CZ,57,2024,srs_return_a_annual,7,0.0,1
GM,66,2018,srs_return_a_annual,7,0.0,1
GM,66,2019,srs_return_a_annual,7,0.0,1
GM,66,2020,srs_return_a_annual,7,0.0,1
GM,66,2021,srs_return_a_annual,7,0.0,1
GM,66,2022,srs_return_a_annual,7,0.0,1
GM,66,2023,srs_return_a_annual,7,0.0,1
GM,66,2024,srs_return_a_annual,7,0.0,1
GU,66,2018,srs_return_a_annual,28,0.0,4
GU,66,2019,srs_return_a_annual,28,0.0,4
GU,66,2020,srs_return_a_annual,28,190.0,4
GU,66,2021,nibrs_srs_equivalent_annual,7,3025.0,1
GU,66,2021,srs_return_a_annual,28,3021.0,4
GU,66,2022,nibrs_srs_equivalent_annual,7,3679.0,1
GU,66,2022,srs_return_a_annual,28,3667.0,4
GU,66,2023,nibrs_srs_equivalent_annual,7,2654.0,1
GU,66,2023,srs_return_a_annual,28,2651.0,4
GU,66,2024,nibrs_srs_equivalent_annual,7,2170.0,1
GU,66,2024,srs_return_a_annual,28,2170.0,4
NB,31,2018,srs_return_a_annual,14,0.0,2
NB,31,2019,srs_return_a_annual,14,0.0,2
NB,31,2020,srs_return_a_annual,14,0.0,2
NB,31,2021,srs_return_a_annual,14,0.0,2
NB,31,2022,srs_return_a_annual,14,0.0,2
NB,31,2023,srs_return_a_annual,14,0.0,2
NB,31,2024,srs_return_a_annual,14,0.0,2
PR,72,2018,srs_return_a_annual,217,31268.0,31
PR,72,2019,srs_return_a_annual,217,28920.0,31
PR,72,2020,srs_return_a_annual,217,18437.0,31
PR,72,2021,srs_return_a_annual,217,8946.0,31
PR,72,2022,srs_return_a_annual,217,10700.0,31
PR,72,2023,srs_return_a_annual,217,9976.0,31
PR,72,2024,srs_return_a_annual,231,10162.0,33
VI,78,2018,srs_return_a_annual,42,955.0,6
VI,78,2019,srs_return_a_annual,42,0.0,6
VI,78,2020,srs_return_a_annual,42,0.0,6
VI,78,2021,srs_return_a_annual,42,0.0,6
VI,78,2022,srs_return_a_annual,42,369.0,6
VI,78,2023,srs_return_a_annual,42,0.0,6
VI,78,2024,srs_return_a_annual,42,0.0,6
