jurisdiction_id,dead_ori,dead_name,dead_type,dead_last_usable_year,dead_fill_mass,dead_fill_sources,live_ori,live_name,live_type,live_first_usable_year,live_reported_2024,name_match,succession_shape,dead_resolution_source,live_resolution_source,fill_share_of_live_report
12:municipal:place:1235000,FL0160200,JACKSONVILLE,local_police,2020,25684.7524489159,hist_median,FL0160000,DUVAL,sheriff,2021,33545.0,False,True,provisional_auto,local_resolution_override,0.7656805022780117
12:municipal:place:1232000,FL0060500,HOLLYWOOD,local_police,2020,3010.033639455144,hist_median,FL0063400,SEMINOLE TRIBAL,local_police,2019,751.0,False,False,provisional_auto,provisional_auto,4.008034140419633
06:municipal:place:0646842,CA0337800,MENIFEE,local_police,2020,1747.4146733544044,hist_median,CA0334900,MENIFEE,local_police,2021,1149.0,True,True,provisional_auto,second_pass,1.5208134668010482
06:municipal:place:0668378,CA0072400,SAN RAMON,local_police,2020,784.5468943034024,hist_median,CA0074000,SAN RAMON,local_police,2022,1013.0,True,True,provisional_auto,first_pass,0.774478671572954
06:municipal:place:0601640,CA0280900,AMERICAN CANYON,local_police,2020,416.54976993519927,hist_median,CA028090X,AMERICAN CANYON POLICE DEPARTMENT,local_police,2022,332.0,False,True,provisional_auto,first_pass,1.254667981732528
28:municipal:place:2856960,MSDI05000,CHOCTAW TRIBAL,local_police,2019,362.8646614869059,hist_median,MS0500100,PHILADELPHIA,local_police,2024,210.0,False,True,provisional_auto,provisional_auto,1.7279269594614566
40:municipal:place:4055150,OK0561700,MUSCOGEE NATION TRIBAL,local_police,2021,179.32985984789758,hist_median,OK0560200,OKMULGEE,local_police,2018,412.0,False,False,provisional_auto,provisional_auto,0.43526665011625626
41:municipal:place:4109800,OR0130100,BURNS,local_police,2021,43.13078733587872,hist_median,OR0130300,BURNS PAIUTE TRIBAL,local_police,2020,0.0,False,False,provisional_auto,provisional_auto,
29:municipal:place:2907102,MO0941000,TERRE DU LAC,local_police,2019,21.15974127038081,hist_median,MO0940200,BONNE TERRE,local_police,2018,65.0,False,False,provisional_auto,provisional_auto,0.3255344810827817
39:municipal:place:3970380,OH0221100,CEDAR POINT,local_police,2019,14.964683405872377,hist_median,OH0220300,SANDUSKY,local_police,2018,714.0,False,False,provisional_auto,provisional_auto,0.02095894034435907
35:municipal:place:3576200,NM0290400,TAOS PUEBLO,local_police,2021,13.192908002087915,hist_median,NM0290100,TAOS,local_police,2018,443.0,False,False,provisional_auto,provisional_auto,0.029780830704487393
28:municipal:place:2878360,MS0680300,SUMNER,local_police,2021,7.119645083376509,hist_median,MS0770100,WAYNESBORO,local_police,2020,123.0,False,False,second_pass,provisional_auto,0.05788329336078462
06:municipal:place:0659920,CA0459100,SHASTA COUNTY MARSHAL,constable_marshal,2019,2.4104682929654695,hist_median,CA0450200,REDDING,local_police,2018,2213.0,False,False,provisional_auto,provisional_auto,0.001089231040653172
40:municipal:place:4057650,OKDI05300,PAWNEE AGENCY,local_police,2021,2.1431846573379807,hist_median,OK0591200,PAWNEE TRIBAL,local_police,2019,0.0,False,False,provisional_auto,provisional_auto,
40:municipal:place:4057650,OKDI05300,PAWNEE AGENCY,local_police,2021,2.1431846573379807,hist_median,OK0590200,PAWNEE,local_police,2018,32.0,False,False,provisional_auto,provisional_auto,0.0669745205418119
32:municipal:place:3243000,NVDI00500,LOVELOCK PAIUTE TRIBAL,local_police,2021,1.99335939479858,hist_median,NV0140100,LOVELOCK,local_police,2018,0.0,False,False,provisional_auto,provisional_auto,
20:municipal:place:2033250,KS0250100,HOWARD,local_police,2020,1.7319940554398694,hist_median,KS0490200,GREENSBURG,local_police,2018,11.0,False,False,provisional_auto,first_pass,0.15745400503998813
06:municipal:place:0683850,CA0471000,LAKE SHASTINA,local_police,2019,1.5835200712818092,hist_median,CA0470800,WEED,local_police,2018,46.0,False,False,provisional_auto,provisional_auto,0.034424349375691506
04:municipal:place:0425720,AZ0080700,KAIBAB PAIUTE TRIBAL,local_police,2019,1.0845902975947819,hist_median,AZ0030300,FREDONIA,local_police,2019,1.0,False,False,provisional_auto,provisional_auto,1.0845902975947819
20:municipal:place:2045250,KS0430400,MAYETTA,local_police,2019,0.6622501708990243,hist_median,KSDI00200,POTAWATOMI TRIBAL,local_police,2018,29.0,False,False,provisional_auto,provisional_auto,0.022836212789621526
42:municipal:cousub:4207323304,PA0371000,WAYNE TOWNSHIP,local_police,2019,0.5699077359829666,hist_median,PA0370100,ELLWOOD CITY,local_police,2018,67.0,False,False,second_pass,pa_equivalent_cousub_canonicalized,0.008506085611686068
