candidate_floor,person_exposure_bgs_below,person_exposure_pct,person_exposure_population_affected,person_exposure_counts_affected,vehicle_exposure_bgs_below,vehicle_exposure_pct,premises_bgs_below,premises_pct
50,793,0.333,763.0,423.58563109635594,1536,0.645,1786,0.75
100,917,0.385,3244.0,707.9632397022156,2278,0.956,2364,0.992
150,1034,0.434,9016.0,1175.7316369168439,3239,1.36,3519,1.477
250,1502,0.631,76799.0,6454.413906901508,6444,2.705,11633,4.884
400,3530,1.482,690051.0,31627.475136858917,14520,6.096,46141,19.371
500,6899,2.896,2124027.0,71224.17055051323,23109,9.702,76903,32.286
613,13432,5.639,5605013.0,154808.50442061914,36261,15.223,110500,46.391
750,25449,10.684,13433981.0,321454.0990751355,55599,23.342,144968,60.862
1000,55304,23.218,38243276.0,782077.1299957081,94142,39.523,188019,78.936
1500,118204,49.625,110773579.0,2056016.98191285,158438,66.517,222450,93.391
2000,164431,69.033,182457091.0,3295915.275442391,195493,82.073,232010,97.404
