block_group_geoid,state_fips,population_2024,households_total,daytime_population_jobs_proxy,landscan_day_pop,exposure_proxy_2024,landscan_lifted,hq_jobs_capped,vehicle_exposure_2024,burglary_premises_total,land_area_sq_mi,urban_stratum,index_total_primary_event_weighted,index_total_harm,expected_count_total,offense,expected_count,primary_denominator,denominator_type,index_primary,ci95_lower,ci95_upper,bands_crossed,implied_cv,estimate_mode,reliability_tier,recommended_display_geography,confidence_tier,benchmark_imputed_share,binds_person_floor_50
080050071102,08,419,143,461,312.0,461.0,False,False,483.86264573724736,175.70842794166884,5.6993867821269655,suburban,875.6384782896912,663.7960600265483,68.095973533798,murder,0.024854367487903272,461.0,exposure,,,,0.0,,count_derived,low,tract_or_larger,low,0.0,False
080050071102,08,419,143,461,312.0,461.0,False,False,483.86264573724736,175.70842794166884,5.6993867821269655,suburban,875.6384782896912,663.7960600265483,68.095973533798,rape,0.12080544091026423,461.0,exposure,,,,0.0,,count_derived,low,tract_or_larger,low,0.0,False
080050071102,08,419,143,461,312.0,461.0,False,False,483.86264573724736,175.70842794166884,5.6993867821269655,suburban,875.6384782896912,663.7960600265483,68.095973533798,robbery,1.6209034900843804,461.0,exposure,798.0932046112541,67.03726382993658,3256.87394336494,6.0,1.0196162490090095,count_derived,low,tract_or_larger,low,0.0,False
080050071102,08,419,143,461,312.0,461.0,False,False,483.86264573724736,175.70842794166884,5.6993867821269655,suburban,875.6384782896912,663.7960600265483,68.095973533798,aggravated_assault,13.9628359713866,461.0,exposure,1614.1100223468363,881.6326886754247,2710.0192205763683,0.0,0.2889726846746532,count_derived,low,tract_or_larger,low,0.0,False
080050071102,08,419,143,461,312.0,461.0,False,False,483.86264573724736,175.70842794166884,5.6993867821269655,suburban,875.6384782896912,663.7960600265483,68.095973533798,burglary,2.810328189754458,175.70842794166884,premises,371.1869259436384,71.13950279227222,1120.139862426294,6.0,0.720949557212243,count_derived,low,tract_or_larger,low,0.0,
080050071102,08,419,143,461,312.0,461.0,False,False,483.86264573724736,175.70842794166884,5.6993867821269655,suburban,875.6384782896912,663.7960600265483,68.095973533798,larceny,28.49538225861695,461.0,exposure,674.9147719688343,450.2435336303188,972.3485751744226,1.0,0.19734715343903322,count_derived,low,tract_or_larger,low,0.0,False
080050071102,08,419,143,461,312.0,461.0,False,False,483.86264573724736,175.70842794166884,5.6993867821269655,suburban,875.6384782896912,663.7960600265483,68.095973533798,motor_vehicle_theft,21.060863815557443,483.86264573724736,vehicles,1723.2598943909707,1067.5546292618633,2632.5978404430057,0.0,0.23168475910460318,count_derived,low,tract_or_larger,low,0.0,
530330328003,53,364,182,364,613.0,613.0,True,False,461.03165128655826,479.58748922613,408.7820329800665,rural,156.4237428331721,157.37599249870533,16.85240707046642,murder,0.017569181075456533,613.0,exposure,,,,0.0,,count_derived,low,tract_or_larger,low,0.0,False
530330328003,53,364,182,364,613.0,613.0,True,False,461.03165128655826,479.58748922613,408.7820329800665,rural,156.4237428331721,157.37599249870533,16.85240707046642,rape,0.10209066734911552,613.0,exposure,,,,0.0,,count_derived,low,tract_or_larger,low,0.0,False
530330328003,53,364,182,364,613.0,613.0,True,False,461.03165128655826,479.58748922613,408.7820329800665,rural,156.4237428331721,157.37599249870533,16.85240707046642,robbery,0.2211556990692366,613.0,exposure,81.89078644327239,1.3976270739859317e-05,1532.7267141797379,9.0,4.774760520667671,count_derived,low,tract_or_larger,low,0.0,False
530330328003,53,364,182,364,613.0,613.0,True,False,461.03165128655826,479.58748922613,408.7820329800665,rural,156.4237428331721,157.37599249870533,16.85240707046642,aggravated_assault,1.5702306556295276,613.0,exposure,136.50966493954513,10.776029144661846,567.8419755400118,8.0,1.0410345024700145,count_derived,low,tract_or_larger,low,0.0,False
530330328003,53,364,182,364,613.0,613.0,True,False,461.03165128655826,479.58748922613,408.7820329800665,rural,156.4237428331721,157.37599249870533,16.85240707046642,burglary,4.474274444981272,479.58748922613,premises,216.51251190014128,64.6723029781008,528.585236497324,5.0,0.5466072594272682,count_derived,low,tract_or_larger,low,0.0,
530330328003,53,364,182,364,613.0,613.0,True,False,461.03165128655826,479.58748922613,408.7820329800665,rural,156.4237428331721,157.37599249870533,16.85240707046642,larceny,8.581026132499176,613.0,exposure,152.84601555079814,68.32313334504876,294.4905482919486,4.0,0.37748337177104724,count_derived,low,tract_or_larger,low,0.0,False
530330328003,53,364,182,364,613.0,613.0,True,False,461.03165128655826,479.58748922613,408.7820329800665,rural,156.4237428331721,157.37599249870533,16.85240707046642,motor_vehicle_theft,1.8860602898626353,461.03165128655826,vehicles,161.96513071629246,17.84068986596047,604.8235532075886,7.0,0.9245402221347936,count_derived,low,tract_or_larger,low,0.0,
