level,offense,n_published,note,n_units,median_expected_count,median_denominator,median_bands_crossed,median_implied_cv,n_bands_gt_1,pct_bands_gt_1,n_bands_gt_2,pct_bands_gt_2,n_bands_gt_3,pct_bands_gt_3,n_bands_gt_4,pct_bands_gt_4,n_bands_gt_5,pct_bands_gt_5,n_bands_gt_6,pct_bands_gt_6,n_bands_gt_7,pct_bands_gt_7,n_bands_gt_8,pct_bands_gt_8,n_cv_gt_0.25,pct_cv_gt_0.25,n_cv_gt_0.35,pct_cv_gt_0.35,n_cv_gt_0.5,pct_cv_gt_0.5,n_cv_gt_0.75,pct_cv_gt_0.75,n_cv_gt_1.0,pct_cv_gt_1.0,n_published_count_le_0,n_published_count_le_1,n_published_count_le_2,n_published_count_le_3,n_published_count_le_5,n_published_count_le_10,n_published_count_le_25,n_published_zero_count,n_published_zero_count_index_zero
block_group,murder,0,no published index at this support (rare-offense tract-support policy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_group,rape,0,no published index at this support (rare-offense tract-support policy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block_group,robbery,235250,,238193.0,0.18883127771397246,1509.0,8.0,4.629775402609457,232296.0,98.744,227662.0,96.774,223407.0,94.966,219416.0,93.269,214083.0,91.002,203220.0,86.385,162231.0,68.961,66977.0,28.471,219588.0,93.342,218169.0,92.739,212861.0,90.483,199373.0,84.749,186195.0,79.148,15237.0,183607.0,207000.0,217890.0,227485.0,233482.0,235063.0,15237.0,15237.0
block_group,aggravated_assault,235250,,238193.0,1.7387768425766363,1509.0,6.0,0.9738812945011375,226832.0,96.422,212170.0,90.189,197307.0,83.871,174510.0,74.181,134731.0,57.271,74392.0,31.623,11252.0,4.783,617.0,0.262,229014.0,97.349,214691.0,91.261,187431.0,79.673,146031.0,62.075,114881.0,48.834,46.0,81073.0,127389.0,154517.0,185121.0,215294.0,232348.0,46.0,46.0
block_group,burglary,235259,,238193.0,1.925165028542664,648.6244060465447,6.0,0.9122384731339528,231694.0,98.485,222785.0,94.698,210945.0,89.665,189448.0,80.527,147016.0,62.491,83722.0,35.587,13664.0,5.808,1010.0,0.429,231821.0,98.539,221015.0,93.945,193054.0,82.06,143503.0,60.998,106129.0,45.112,86.0,68767.0,120753.0,153884.0,190556.0,221598.0,233807.0,86.0,86.0
block_group,larceny,235250,,238193.0,9.163424249475336,1509.0,3.0,0.3639293296739501,202174.0,85.94,150066.0,63.79,72564.0,30.845,21299.0,9.054,4241.0,1.803,504.0,0.214,39.0,0.017,3.0,0.001,172040.0,73.131,123398.0,52.454,74000.0,31.456,36191.0,15.384,20877.0,8.874,39.0,10614.0,26148.0,41912.0,71043.0,124802.0,191954.0,39.0,39.0
block_group,motor_vehicle_theft,234964,,238193.0,1.5926907536443276,1177.0084318017957,6.0,1.0311446670833113,223897.0,95.29,208212.0,88.614,192266.0,81.828,166513.0,70.867,122608.0,52.182,61308.0,26.093,10662.0,4.538,1709.0,0.727,227788.0,96.946,212928.0,90.622,186977.0,79.577,148995.0,63.412,120444.0,51.261,49.0,88580.0,131774.0,156862.0,184823.0,213503.0,231615.0,49.0,49.0
tract,murder,82568,,83776.0,0.061510910976461754,4715.0,9.0,15.163150710979718,82382.0,99.775,82089.0,99.42,81846.0,99.126,81605.0,98.834,81361.0,98.538,80966.0,98.06,79932.0,96.807,77089.0,93.364,81036.0,98.145,81020.0,98.125,80954.0,98.045,80588.0,97.602,79797.0,96.644,1528.0,79425.0,81726.0,82241.0,82472.0,82549.0,82567.0,1528.0,1528.0
tract,rape,82568,,83776.0,0.9435187645765392,4715.0,7.0,1.4734489029380702,82314.0,99.692,81297.0,98.461,79716.0,96.546,77425.0,93.771,72820.0,88.194,62900.0,76.18,33203.0,40.213,5231.0,6.335,82362.0,99.751,81767.0,99.03,79015.0,95.697,69454.0,84.117,58155.0,70.433,60.0,42992.0,63049.0,71996.0,78736.0,81865.0,82496.0,60.0,60.0
tract,robbery,82568,,83776.0,0.7285834810362939,4715.0,6.0,1.6762961510914667,80262.0,97.207,75787.0,91.787,72101.0,87.323,67154.0,81.332,57268.0,69.359,36919.0,44.713,7620.0,9.229,549.0,0.665,78827.0,95.469,75347.0,91.254,68500.0,82.962,58728.0,71.127,51719.0,62.638,2486.0,46177.0,56938.0,63146.0,70422.0,77975.0,81967.0,2486.0,2486.0
tract,aggravated_assault,82568,,83776.0,5.898351248718123,4715.0,4.0,0.46606465053113616,73007.0,88.42,61222.0,74.147,41971.0,50.832,19324.0,23.404,6058.0,7.337,1060.0,1.284,51.0,0.062,9.0,0.011,68859.0,83.397,54938.0,66.537,37975.0,45.992,21903.0,26.527,13910.0,16.847,15.0,7821.0,16736.0,24568.0,36881.0,55359.0,74105.0,15.0,15.0
tract,burglary,82570,,83776.0,6.241981774826157,1992.041048434492,4.0,0.4512987302163589,76470.0,92.612,67147.0,81.321,48290.0,58.484,22278.0,26.981,6851.0,8.297,1218.0,1.475,105.0,0.127,38.0,0.046,71646.0,86.77,55481.0,67.193,35815.0,43.375,18207.0,22.05,10572.0,12.804,24.0,5427.0,13189.0,20894.0,34569.0,55995.0,77027.0,24.0,24.0
tract,larceny,82568,,83776.0,31.6016759936881,4715.0,2.0,0.1868413564513556,49439.0,59.877,10379.0,12.57,999.0,1.21,108.0,0.131,15.0,0.018,2.0,0.002,0.0,0.0,0.0,0.0,25615.0,31.023,13213.0,16.003,5902.0,7.148,2361.0,2.859,1358.0,1.645,13.0,725.0,1693.0,2759.0,5617.0,13475.0,34218.0,13.0,13.0
tract,motor_vehicle_theft,82563,,83776.0,5.241763704181702,3654.5465031201347,3.0,0.4986728978071101,71682.0,86.821,57830.0,70.043,35913.0,43.498,15124.0,18.318,4336.0,5.252,838.0,1.015,99.0,0.12,27.0,0.033,68454.0,82.911,56278.0,68.164,41153.0,49.844,25510.0,30.898,17171.0,20.797,14.0,10364.0,20183.0,28200.0,40114.0,56650.0,73310.0,14.0,14.0
