layer,class,n_adjacent_pairs,n_pairs_in_class,pct_pairs,n_distinct_bgs,median_max_count,median_max_land_sq_mi
index_total_primary_event_weighted,band_gap_ge_2_with_overlapping_CIs,762522,115079,15.0919,124673,22.855161217059933,1.0171444377789056
index_total_primary_event_weighted,band_gap_ge_3_with_overlapping_CIs,762522,20850,2.7343,31519,21.667811532201036,0.9745062111501355
index_total_primary_event_weighted,band_gap_ge_4_with_overlapping_CIs,762522,1424,0.1867,2494,16.19108681834986,3.4276968167239965
index_total_primary_event_weighted,band_gap_ge_3_on_tiny_counts(<=5),762522,170,0.0223,270,4.140444815236225,21.499795031877582
index_total_primary_event_weighted,band_gap_ge_4_on_tiny_counts(<=10),762522,432,0.0567,687,8.470486976695751,13.398631007614934
index_total_primary_event_weighted,grey_next_to_coloured,762522,19513,2.559,18810,30.065233932994424,0.9091983823817632
index_total_primary_event_weighted,grey_next_to_coloured_similar_exposure,762522,4898,0.6423,6061,40.15511526610731,0.6318415106546571
index_total_primary_event_weighted,grey_next_to_warm(band>=6),762522,6662,0.8737,7245,64.50259054937877,0.4049412412167406
index_total_primary_event_weighted,deep_blue_next_to_deep_red,762522,222,0.0291,358,158.90107504376343,3.0706681506734794
index_total_primary_event_weighted,deep_blue_next_to_deep_red_overlapping_CIs,762522,0,0.0,0,,
index_total_harm,band_gap_ge_2_with_overlapping_CIs,762522,105886,13.8863,113346,21.313168442600226,1.949886364536245
index_total_harm,band_gap_ge_3_with_overlapping_CIs,762522,23784,3.1191,32517,16.521981159020832,8.840654870805565
index_total_harm,band_gap_ge_4_with_overlapping_CIs,762522,4087,0.536,6038,10.573113049236106,31.976254902575597
index_total_harm,band_gap_ge_3_on_tiny_counts(<=5),762522,1930,0.2531,2689,3.6967230091642547,36.96506931068498
index_total_harm,band_gap_ge_4_on_tiny_counts(<=10),762522,2684,0.352,3688,6.89972308848302,34.87988386942827
index_total_harm,grey_next_to_coloured,762522,18137,2.3786,17589,28.60449075685216,1.0681400386814903
index_total_harm,grey_next_to_coloured_similar_exposure,762522,4220,0.5534,5301,38.68867012353955,0.8592224772800212
index_total_harm,grey_next_to_warm(band>=6),762522,5117,0.6711,5743,62.09619260835981,0.6548948983399001
index_total_harm,deep_blue_next_to_deep_red,762522,239,0.0313,335,41.690504062352105,3.4181357689707697
index_total_harm,deep_blue_next_to_deep_red_overlapping_CIs,762522,3,0.0004,4,2.0039359932245437,58.7291788764235
index_robbery_primary,band_gap_ge_2_with_overlapping_CIs,762522,240834,31.5839,159378,0.9767538588404415,0.5386692682538995
index_robbery_primary,band_gap_ge_3_with_overlapping_CIs,762522,132006,17.3118,114309,1.2416533585537732,0.5091409473690596
index_robbery_primary,band_gap_ge_4_with_overlapping_CIs,762522,75238,9.867,78018,1.4762632711815356,0.507635342001628
index_robbery_primary,band_gap_ge_3_on_tiny_counts(<=5),762522,126845,16.6349,111548,1.1347950139681213,0.5281333125502263
index_robbery_primary,band_gap_ge_4_on_tiny_counts(<=10),762522,77398,10.1503,79588,1.452073216974322,0.5184601021199283
index_robbery_primary,grey_next_to_coloured,762522,18137,2.3786,17589,0.5070728076300974,1.0681400386814903
index_robbery_primary,grey_next_to_coloured_similar_exposure,762522,4220,0.5534,5301,0.767039749179947,0.8592224772800212
index_robbery_primary,grey_next_to_warm(band>=6),762522,4800,0.6295,5265,2.9854552792321014,0.4491887416425244
index_robbery_primary,deep_blue_next_to_deep_red,762522,2523,0.3309,3586,3.4984925485774685,0.3722781569062879
index_robbery_primary,deep_blue_next_to_deep_red_overlapping_CIs,762522,2050,0.2688,3009,3.0902350167685415,0.33979538230389794
index_larceny_primary,band_gap_ge_2_with_overlapping_CIs,762522,174219,22.8477,161530,14.361336690292505,0.8915647106966835
index_larceny_primary,band_gap_ge_3_with_overlapping_CIs,762522,55893,7.33,74093,14.99969939389181,0.8640452793430006
index_larceny_primary,band_gap_ge_4_with_overlapping_CIs,762522,10374,1.3605,16581,13.346107895906687,1.6345154186827524
index_larceny_primary,band_gap_ge_3_on_tiny_counts(<=5),762522,2303,0.302,3497,4.107374711966733,15.565614314731352
index_larceny_primary,band_gap_ge_4_on_tiny_counts(<=10),762522,4124,0.5408,6230,7.7778153173731095,5.111097594961546
index_larceny_primary,grey_next_to_coloured,762522,18137,2.3786,17589,16.964942959799153,1.0681400386814903
index_larceny_primary,grey_next_to_coloured_similar_exposure,762522,4220,0.5534,5301,22.16818815660876,0.8592224772800212
index_larceny_primary,grey_next_to_warm(band>=6),762522,5198,0.6817,5947,40.41555537866732,0.5066722101670189
index_larceny_primary,deep_blue_next_to_deep_red,762522,741,0.0972,1210,101.78474513038637,2.5124644298077494
index_larceny_primary,deep_blue_next_to_deep_red_overlapping_CIs,762522,0,0.0,0,,
index_burglary_primary,band_gap_ge_2_with_overlapping_CIs,762522,204390,26.8045,162925,3.7958326612052096,1.289428699346423
index_burglary_primary,band_gap_ge_3_with_overlapping_CIs,762522,79428,10.4165,84692,4.38242421816838,1.8387758158472782
