block_group_geoid,state_fips,population_2024,households_total,exposure_proxy_2024,vehicle_exposure_2024,burglary_premises_total,land_area_sq_mi,expected_count_total,crime_density_total,non_residential_flag,special_use_tract_flag,suppression_reasons,suppression_modes,n_offenses_published,n_neighbours,n_neighbours_coloured,neighbour_median_index,neighbour_max_index
010730045022,01,228,127,349.0,30.129270249642854,149.59481966191612,0.049132271885217266,22.234826673457025,452.55034665203334,False,False,insufficient_exposure,insufficient_exposure,4,3.0,3.0,92.49160061921259,196.6446084041576
011010030003,01,92,43,343.0,45.72707645806989,43.0,0.9268675754654334,8.663979782123192,9.347591836700632,False,False,insufficient_exposure,insufficient_exposure,4,3.0,3.0,179.7872096470666,325.107365557314
040050010001,04,2951,109,5729.0,14.0,176.78445898574833,0.18926457542695052,29.71896315351817,157.0233789734659,False,False,insufficient_exposure,insufficient_exposure,4,5.0,5.0,119.79243273596705,376.8767304973182
040139410002,04,217,17,217.0,20.2281503689975,107.37927864766445,42.69428595948265,3.8336351876332175,0.08979269945564565,False,False,insufficient_exposure,insufficient_exposure,4,13.0,13.0,54.02559323776711,90.84968703531399
060730055001,06,290,14,2716.0,40.569293032279596,126.97409830958057,0.17003166860098057,7.608426735789298,44.74711563081973,False,False,insufficient_exposure,insufficient_exposure,4,1.0,1.0,69.15812812279626,69.15812812279626
060790109032,06,1772,14,2306.0,0.0,126.97409830958057,0.22064888938814473,7.470665701250397,33.857708153285586,False,False,insufficient_exposure,insufficient_exposure,4,3.0,1.0,28.649339223114413,28.649339223114413
061070009022,06,1612,14,2017.0,28.0,14.0,2.728252293019214,7.199273870133833,2.638785968788383,False,False,insufficient_exposure,insufficient_exposure,4,2.0,2.0,72.7313117435177,102.50825090959506
080190148002,08,89,38,89.0,38.0,38.0,2.543315536687927,0.40915949084399356,0.1608764170004749,False,False,insufficient_exposure,insufficient_exposure,4,3.0,3.0,161.1142629437883,565.9825225897603
090012111001,09,998,15,1068.0,34.911041772011394,15.0,0.5964289928728669,1.617389255039243,2.711788451544979,False,False,insufficient_exposure,insufficient_exposure,4,3.0,3.0,31.00635538027174,47.299306891355805
120570115282,12,62,19,277.0,2.2505264433238823,19.0,1.4445560524214145,0.7493455196660102,0.5187375861323841,False,False,insufficient_exposure,insufficient_exposure,4,6.0,6.0,15.067938389609768,34.763986873227395
120990082014,12,502,139,502.0,47.173573231874265,252.0914172077886,0.03136848377269191,11.029184182492838,351.6008061599197,False,False,insufficient_exposure,insufficient_exposure,4,3.0,3.0,235.0610955937041,615.168717973873
121030245171,12,52,12,52.0,25.493411401112336,12.0,0.40360339723721744,1.103905519592455,2.7351244492712627,False,False,insufficient_exposure,insufficient_exposure,4,3.0,2.0,105.94156333561543,109.583892297807
131790101031,13,138,28,498.0,44.0,28.0,0.35664951373077924,0.4899472839290872,1.3737500404919358,False,False,insufficient_exposure,insufficient_exposure,4,3.0,3.0,15.6709980567881,57.833614931804554
160619503001,16,29,13,29.0,48.0,35.59481966191611,88.73857030949846,0.0797379757970974,0.0008985717881073678,False,False,insufficient_exposure,insufficient_exposure,1,7.0,7.0,18.701218914900558,78.11126035331537
160859701001,16,312,37,312.0,48.883405305367056,128.6552892602145,2406.145075314651,1.7412075916952163,0.0007236502942232272,False,False,insufficient_exposure,insufficient_exposure,4,10.0,7.0,21.62630689307003,52.46446676520634
170316811005,17,244,74,612.0,44.5149234516107,119.18963932383222,0.06302384144921809,35.494701345128334,563.1948248303531,False,False,insufficient_exposure,insufficient_exposure,4,9.0,9.0,511.65266221792257,1235.2483549591277
171635023006,17,670,143,670.0,17.531387604462733,260.7591381066432,0.3493595188743936,11.869401193818003,33.97474679396227,False,False,insufficient_exposure,insufficient_exposure,4,6.0,6.0,107.6717941363857,463.91312251822967
171659556004,17,48,10,48.0,0.0,10.0,3.003010311116834,0.355060003716013,0.1182346935012569,False,False,insufficient_exposure,insufficient_exposure,1,3.0,3.0,53.4682844824328,85.42527900828769
172010037113,17,92,51,193.0,49.960583848759,163.97409830958057,0.6124877538530477,5.498492581901083,8.977310235692189,False,False,insufficient_exposure,insufficient_exposure,4,4.0,3.0,91.69280180422112,179.29801931741653
180973604061,18,46,41,815.0,35.68566528053701,41.0,0.2451358743882419,14.820485279905748,60.458247153304555,False,False,insufficient_exposure,insufficient_exposure,4,5.0,5.0,212.66940316862073,289.8520189335352
181570105001,18,961,15,1125.0,15.796504466515009,37.59481966191611,0.17263438325205285,7.7001034883671124,44.60353345210881,False,False,insufficient_exposure,insufficient_exposure,4,5.0,3.0,28.95250694828831,176.78531680212788
210930002023,21,49,27,80.0,40.443620236273006,27.0,0.5985903927566679,0.16879890154278337,0.28199400388873525,False,False,insufficient_exposure,insufficient_exposure,4,4.0,3.0,23.488235741292623,26.592705480903934
220019601016,22,100,83,181.0,44.81259572934499,128.30695822204027,1.4708739338575574,2.9939232376241396,2.035472360144549,False,False,insufficient_exposure,insufficient_exposure,4,6.0,6.0,93.8173424873787,180.7589061112527
220190014023,22,53,53,253.0,8.194031319714798,213.71575885851286,0.23118832001124515,6.568290693298171,28.410997116890183,False,False,insufficient_exposure,insufficient_exposure,4,5.0,5.0,201.04172335715947,293.1452433111087
