block_group_geoid,state_fips,class_strict_three_fates,class_loose_grey_plus_4band_span,class_no_grey_5band_chasm,n_nb,n_grey_nb,band,idx,cnt,pop,expo,land,nb_band_min,nb_band_max,nb_idx_min,nb_idx_max,nb_cnt_max,nb_pop_max,nb_land_max,neighbourhood_band_span,neighbourhood_max_count
010030113001,01,False,True,False,4,1,2.0,36.45008012816956,6.691383955972674,1137,1137.0,2.281385376707386,0.0,4.0,8.090830941358924,84.53134701427481,27.932987506385007,2098,9.561426905546682,4.0,27.932987506385007
010030113004,01,False,True,False,7,1,0.0,8.090830941358924,2.3110650839441784,1662,1872.0,9.561426905546682,0.0,4.0,8.921143849911743,84.53134701427481,27.932987506385007,3211,9.805911811695537,4.0,27.932987506385007
010030114104,01,False,True,False,9,1,0.0,12.048221663994568,4.892374924547407,2662,2662.0,16.72022540674907,1.0,4.0,13.759225513075732,97.73432985613397,42.38845573365549,3050,15.51454419611216,4.0,42.38845573365549
010139530002,01,False,False,True,7,0,0.0,1.96744112488375,0.11232211025195613,387,387.0,66.6983583179461,0.0,6.0,3.573726995266945,153.3225848712919,22.38779779262068,1037,212.61877955107678,6.0,22.38779779262068
010150018011,01,False,True,False,6,2,2.0,47.7219479314856,8.73535162525605,1122,1122.0,5.553188813673743,2.0,7.0,37.29972416404983,296.7256963952296,39.33122378539794,1762,23.861892941276864,5.0,39.33122378539794
010150020022,01,False,True,False,9,1,2.0,37.29972416404983,8.026135829377814,1380,1380.0,23.861892941276864,1.0,5.0,14.476220676043656,128.32890657271903,35.26906268848746,2132,42.17000826308813,4.0,35.26906268848746
010150026001,01,False,True,False,8,1,2.0,40.270412003075236,6.963115208241312,1132,1132.0,22.346523822458785,1.0,5.0,18.663986016343706,119.36261929680539,30.250557193301617,2559,34.64671696890532,4.0,30.250557193301617
010210603004,01,False,False,True,6,0,4.0,94.72657396549234,9.774274547801465,622,622.0,28.590004994270032,0.0,5.0,4.153815898685545,102.98061875912057,16.07124449873306,1346,232.66486501360814,5.0,16.07124449873306
010239568001,01,False,False,True,6,0,2.0,31.87669337734973,3.4989106695102334,671,671.0,59.700136229582924,0.0,5.0,9.704354134505131,100.44371963354884,23.932069813200545,1486,88.79752733691122,5.0,23.932069813200545
010310106001,01,False,False,True,4,0,5.0,113.22627390989764,16.654198660969882,908,908.0,11.99084848308435,0.0,5.0,10.99469213587596,102.04126626880483,24.39502922836956,1868,65.66413349287538,5.0,24.39502922836956
010330205001,01,False,False,True,5,0,1.0,16.70877418038814,3.288284986390295,1322,1322.0,0.45371327978799103,0.0,5.0,9.15907254265542,111.89888562821733,24.10791254978191,1029,0.8544521851106105,5.0,24.10791254978191
010379611001,01,False,False,True,12,0,1.0,23.678521514218847,5.166915038950533,1305,1305.0,232.66486501360814,0.0,5.0,4.153815898685545,102.98061875912057,22.331363694222972,1508,106.21296983483063,5.0,22.331363694222972
010399628001,01,False,False,True,7,0,0.0,10.99469213587596,1.2598571845060664,690,690.0,50.5819515132832,0.0,6.0,6.722296773774215,147.88378834883886,24.39502922836956,1868,71.60027194101676,6.0,24.39502922836956
010419637003,01,False,False,True,7,0,4.0,76.79237963484424,12.11591098690428,884,931.0,20.789924784635403,0.0,5.0,12.361819299070158,124.43934914103629,16.863140089617477,1405,100.4786740121367,5.0,16.863140089617477
010479569001,01,False,False,True,7,0,4.0,84.8578952067704,7.358337333168786,419,567.0,91.13831761953533,0.0,5.0,2.4920891595644155,119.07469303581121,22.7675201348923,1543,263.23457176025414,5.0,22.7675201348923
010479570001,01,False,False,True,10,0,5.0,104.97416220045665,9.581142546321638,517,517.0,152.46439606242055,0.0,6.0,4.528996968997781,142.13006495991874,21.197388823781623,1737,195.5629792447194,6.0,21.197388823781623
010499603032,01,False,False,True,7,0,2.0,36.278845139176106,10.733687021042657,1796,1796.0,10.009504252125698,0.0,5.0,9.531264000981658,110.0792484503459,22.784336013245206,1986,22.63196798999977,5.0,22.784336013245206
010499603033,01,False,False,True,5,0,2.0,37.976339541187265,9.51488379234684,1185,1567.0,2.7120371606648033,0.0,5.0,9.531264000981658,110.0792484503459,22.784336013245206,1796,10.477836517944478,5.0,22.784336013245206
010499614001,01,False,False,True,6,0,2.0,47.33183182210348,10.202052758742585,1266,1266.0,37.094062180849164,1.0,6.0,21.785565835378634,174.98949078162372,18.27147891585883,1597,48.30891559575538,5.0,18.27147891585883
010550003001,01,False,False,True,7,0,2.0,45.23902880368878,4.066895059690217,598,598.0,0.8911894193985316,0.0,6.0,10.632508067942194,179.23682953426328,20.94470657120361,2047,27.124475872593873,6.0,20.94470657120361
010570200001,01,False,False,True,5,0,0.0,8.400405023349048,0.6373290020553364,412,412.0,75.72289434178137,0.0,6.0,6.33027882984108,143.36623818157835,21.017650123637587,1268,79.81472663980685,6.0,21.017650123637587
010570200002,01,False,False,True,7,0,0.0,6.33027882984108,0.8914196222249746,919,919.0,44.50892401973228,0.0,6.0,8.400405023349048,143.36623818157835,21.017650123637587,1411,75.72289434178137,6.0,21.017650123637587
010610504003,01,False,False,True,7,0,2.0,35.35315875111778,3.7689987764715487,667,667.0,34.395683384044574,0.0,5.0,6.207790046802885,125.16028284213206,20.84791720710018,1824,42.47920620763004,5.0,20.84791720710018
010610505003,01,False,False,True,4,0,0.0,6.207790046802885,1.7221189388477958,1100,1781.0,6.976080287874372,1.0,5.0,18.826919961443046,125.16028284213206,20.84791720710018,1579,34.395683384044574,5.0,20.84791720710018
010630602004,01,False,False,True,7,0,0.0,6.66988048323888,0.37851472805651704,410,410.0,26.39887949138114,0.0,6.0,6.1833080922483905,137.60507527241856,17.493436611210473,1708,81.25592900887874,6.0,17.493436611210473
010730047021,01,False,False,True,4,0,4.0,80.2073050455308,10.775310133113182,614,877.0,0.2033588486242124,2.0,7.0,42.85880400602608,293.34651261903684,18.082716494246093,1925,0.8615468122747483,5.0,18.082716494246093
010730108035,01,False,False,True,6,0,1.0,18.554137485893012,5.284267861512105,1841,1841.0,1.0073297209074832,1.0,6.0,14.559034723915476,139.0500595413473,18.30047370071189,2854,2.4718457105194975,5.0,18.30047370071189
