class,n_bgs,pct_bgs,population,expected_count_total,median_lift,median_index_evw,note
all block groups,238193,100.0,337832297.0,7156055.246549912,1.0,70.038384459064,
exposure == resident population exactly,150952,63.3738,227971304.0,3216753.092936257,1.0,63.43366667975602,no ambient lift at all: neither LODES jobs nor LandScan raised the denominator
landscan_day_pop < resident population,163900,68.8097,247679188.0,3698565.627449608,1.0,65.15059740265546,"LandScan's ambient day surface reports FEWER people than the census resident count, so the max() floor contributes nothing"
landscan_day_pop == 0,479,0.2011,3390.0,109.22245699668083,1.0,50.78781506525823,no LandScan coverage at all for this BG
lift >= 1.25,60779,25.5167,75166166.0,3150419.562853542,1.9492003762935088,83.16494942631249,
lift >= 2,29158,12.2413,33424194.0,1984794.8622714044,3.0056445275164076,81.76061668328352,
lift >= 5 (the transient guard's ratio threshold),6041,2.5362,5684988.0,710365.2150964949,7.651162790697675,81.07523111573872,
lift >= 5 AND index_evw >= 1000 (both guard conditions),4,0.0017,2457.0,2321.8199454437463,5.930827826285111,1064.6424436754671,
landscan is the binding term (ls > jobs),58683,24.6367,70029501.0,2454412.1989208288,1.676300578034682,79.042239200398,
jobs proxy is the binding term (jobs >= ls),179510,75.3633,267802796.0,4701643.047629083,1.0,67.45196301072816,
"lift in [0, 1.0)",0,0.0,0.0,0.0,,,
"lift in [1.0, 1.25)",175390,73.6336,262666131.0,3964770.240168007,1.0,65.9656136713301,
"lift in [1.25, 2.0)",31621,13.2754,41741972.0,1165624.7005821378,1.5249597423510468,84.42980448927464,
"lift in [2.0, 5.0)",23117,9.7052,27739206.0,1274429.6471749095,2.6990572878897754,81.94874491858351,
"lift in [5.0, 1000000000.0)",6041,2.5362,5684988.0,710365.2150964949,7.651162790697675,81.07523111573872,
stratum=non_residential,2797,1.1743,1098462.0,55435.20426529828,2.9519339091250467,,
stratum=rural,41851,17.5702,50909816.0,418033.6634029087,1.0,34.47655258018246,
stratum=suburban,51572,21.6513,82011538.0,1031939.4586423021,1.0,44.21157208526135,
stratum=urban,72235,30.3262,105931375.0,2181930.0033401474,1.0,77.3064618473864,
stratum=urban_core,69738,29.2779,97881106.0,3468716.9168992555,1.0,131.0032916929615,
