level,offense,n,n_index_published,tier_high,tier_medium,tier_low,display_not_published,display_tract_or_larger,confidence_low,support_direct_city_incident,support_model_only,published_index_with_tier_low,pct_published_index_tier_low,display_block_group,confidence_high,confidence_medium,display_jurisdiction_or_county,display_tract
block_group,murder,238193,0,0,0,238193,2943,235250.0,238193,11370,226823,0,0.0,,,,,
block_group,rape,238193,0,0,0,238193,2943,235250.0,238193,314,237879,0,0.0,,,,,
block_group,robbery,238193,235250,113,3465,234615,2943,231672.0,234615,13706,224487,231672,98.479,3578.0,3572.0,6.0,,
block_group,aggravated_assault,238193,235250,459,5198,232536,2943,229593.0,232537,13468,224725,229593,97.595,5657.0,5656.0,,,
block_group,burglary,238193,235259,309,5048,232836,2934,229902.0,232838,14426,223767,229902,97.723,5357.0,5321.0,34.0,,
block_group,larceny,238193,235250,5204,5910,227079,2943,224136.0,227088,14288,223905,224136,95.276,11114.0,11050.0,55.0,,
block_group,motor_vehicle_theft,238193,234964,618,5520,232055,3229,228826.0,232059,13670,224523,228826,97.388,6138.0,6103.0,31.0,,
tract,murder,83776,82568,0,16,83760,1208,,83760,3918,79858,82552,99.981,,16.0,,82552.0,16.0
tract,rape,83776,82568,0,0,83776,1208,,83776,104,83672,82568,100.0,,,,82568.0,
tract,robbery,83776,82568,398,2252,81126,1208,,81126,4767,79009,79918,96.791,,2643.0,7.0,79918.0,2650.0
tract,aggravated_assault,83776,82568,979,2121,80676,1208,,80677,4588,79188,79468,96.246,,3099.0,,79468.0,3100.0
tract,burglary,83776,82570,664,2891,80221,1206,,80224,4976,78800,79015,95.695,,3522.0,30.0,79015.0,3555.0
tract,larceny,83776,82568,3739,254,79783,1208,,79789,4975,78801,78575,95.164,,3967.0,20.0,78575.0,3993.0
tract,motor_vehicle_theft,83776,82563,1044,2661,80071,1213,,80073,4776,79000,78858,95.513,,3673.0,30.0,78858.0,3705.0
