level,offense,estimate_mode,n,pct,denominator_reason_values,publishable_true,suppressed_true,index_primary_null,rate_primary_null,expected_count_null,expected_count_sum,crime_density_null,index_resident_null,index_resident_suppressed_true,aggregate_evw_null,aggregate_harm_null,renders_as
block_group,murder,count_derived,235250,98.7644,publishable,235250,0,235250,235250,0,16833.654651901197,0,235250,90,287,0,NULL by rare-offense tract-support policy (BG murder/rape)
block_group,murder,insufficient_exposure,9,0.0038,insufficient_exposure,0,9,9,9,0,0.00712476616467534,0,9,9,9,9,NULL by rare-offense tract-support policy (BG murder/rape)
block_group,murder,non_residential,2797,1.1743,publishable|zero_or_structural_denominator,0,2797,2797,2797,0,147.46124314108326,576,2797,2797,2797,2797,NULL by rare-offense tract-support policy (BG murder/rape)
block_group,murder,special_use,137,0.0575,special_use,0,137,137,137,0,52.156308962077226,0,137,137,137,137,NULL by rare-offense tract-support policy (BG murder/rape)
block_group,rape,count_derived,235250,98.7644,publishable,235250,0,235250,235250,0,125362.94396359244,0,235250,90,287,0,NULL by rare-offense tract-support policy (BG murder/rape)
block_group,rape,insufficient_exposure,9,0.0038,insufficient_exposure,0,9,9,9,0,0.10120291326259286,0,9,9,9,9,NULL by rare-offense tract-support policy (BG murder/rape)
block_group,rape,non_residential,2797,1.1743,publishable|zero_or_structural_denominator,0,2797,2797,2797,0,3904.5568733175132,576,2797,2797,2797,2797,NULL by rare-offense tract-support policy (BG murder/rape)
block_group,rape,special_use,137,0.0575,special_use,0,137,137,137,0,231.6134219955914,0,137,137,137,137,NULL by rare-offense tract-support policy (BG murder/rape)
block_group,robbery,count_derived,235250,98.7644,publishable,235250,0,0,0,0,203505.70882429444,0,90,90,287,0,grey no-data (#3a4150) when index null; coloured otherwise
block_group,robbery,insufficient_exposure,9,0.0038,insufficient_exposure,0,9,9,9,0,0.513935493009595,0,9,9,9,9,grey no-data (#3a4150) when index null; coloured otherwise
block_group,robbery,non_residential,2797,1.1743,publishable|zero_or_structural_denominator,0,2797,2797,2797,0,1707.8615446897575,576,2797,2797,2797,2797,grey no-data (#3a4150) when index null; coloured otherwise
block_group,robbery,special_use,137,0.0575,special_use,0,137,137,137,0,397.6530302649994,0,137,137,137,137,grey no-data (#3a4150) when index null; coloured otherwise
block_group,aggravated_assault,count_derived,235250,98.7644,publishable,235250,0,0,0,0,866789.3255989607,0,90,90,287,0,grey no-data (#3a4150) when index null; coloured otherwise
block_group,aggravated_assault,insufficient_exposure,9,0.0038,insufficient_exposure,0,9,9,9,0,2.074197472296661,0,9,9,9,9,grey no-data (#3a4150) when index null; coloured otherwise
block_group,aggravated_assault,non_residential,2797,1.1743,publishable|zero_or_structural_denominator,0,2797,2797,2797,0,6143.675493893059,576,2797,2797,2797,2797,grey no-data (#3a4150) when index null; coloured otherwise
block_group,aggravated_assault,special_use,137,0.0575,special_use,0,137,137,137,0,936.3504568604466,0,137,137,137,137,grey no-data (#3a4150) when index null; coloured otherwise
block_group,burglary,count_derived,235259,98.7682,publishable,235259,0,0,0,0,777737.5361231429,0,0,0,296,9,grey no-data (#3a4150) when index null; coloured otherwise
block_group,burglary,non_residential,2797,1.1743,publishable|zero_or_structural_denominator,0,2797,2797,2797,0,2913.2300397478675,576,2797,2797,2797,2797,grey no-data (#3a4150) when index null; coloured otherwise
block_group,burglary,special_use,137,0.0575,special_use,0,137,137,137,0,1068.9202786621192,0,137,137,137,137,grey no-data (#3a4150) when index null; coloured otherwise
block_group,larceny,count_derived,235250,98.7644,publishable,235250,0,0,0,0,4230567.278072678,0,90,90,287,0,grey no-data (#3a4150) when index null; coloured otherwise
block_group,larceny,insufficient_exposure,9,0.0038,insufficient_exposure,0,9,9,9,0,3.6487242003785516,0,9,9,9,9,grey no-data (#3a4150) when index null; coloured otherwise
block_group,larceny,non_residential,2797,1.1743,publishable|zero_or_structural_denominator,0,2797,2797,2797,0,38630.57092563469,576,2797,2797,2797,2797,grey no-data (#3a4150) when index null; coloured otherwise
block_group,larceny,special_use,137,0.0575,special_use,0,137,137,137,0,7134.8111658700545,0,137,137,137,137,grey no-data (#3a4150) when index null; coloured otherwise
block_group,motor_vehicle_theft,count_derived,234964,98.6444,publishable,234964,0,0,0,0,868603.5964880902,0,0,0,1,1,grey no-data (#3a4150) when index null; coloured otherwise
block_group,motor_vehicle_theft,insufficient_exposure,295,0.1238,insufficient_exposure,0,295,295,295,0,445.23337258730567,0,295,295,295,8,grey no-data (#3a4150) when index null; coloured otherwise
block_group,motor_vehicle_theft,non_residential,2797,1.1743,publishable|zero_or_structural_denominator,0,2797,2797,2797,0,1987.8481448743012,576,2797,2797,2797,2797,grey no-data (#3a4150) when index null; coloured otherwise
block_group,motor_vehicle_theft,special_use,137,0.0575,special_use,0,137,137,137,0,946.9153419053347,0,137,137,137,137,grey no-data (#3a4150) when index null; coloured otherwise
tract,murder,count_derived,82568,98.5581,publishable,82568,0,0,0,0,16924.93346896012,0,10,10,5,0,grey no-data (#3a4150) when index null; coloured otherwise
tract,murder,insufficient_exposure,2,0.0024,insufficient_exposure,0,2,2,2,0,0.0027022368178598027,0,2,2,2,2,grey no-data (#3a4150) when index null; coloured otherwise
tract,murder,non_residential,1083,1.2927,publishable|zero_or_structural_denominator,0,1083,1083,1083,0,56.15743249138389,294,1083,1083,1083,1083,grey no-data (#3a4150) when index null; coloured otherwise
tract,murder,special_use,123,0.1468,special_use,0,123,123,123,0,52.18572508220091,0,123,123,123,123,grey no-data (#3a4150) when index null; coloured otherwise
tract,rape,count_derived,82568,98.5581,publishable,82568,0,0,0,0,127546.94146314995,0,10,10,5,0,grey no-data (#3a4150) when index null; coloured otherwise
tract,rape,insufficient_exposure,2,0.0024,insufficient_exposure,0,2,2,2,0,0.00593968651574967,0,2,2,2,2,grey no-data (#3a4150) when index null; coloured otherwise
tract,rape,non_residential,1083,1.2927,publishable|zero_or_structural_denominator,0,1083,1083,1083,0,1720.0679457956971,294,1083,1083,1083,1083,grey no-data (#3a4150) when index null; coloured otherwise
tract,rape,special_use,123,0.1468,special_use,0,123,123,123,0,232.20011318662702,0,123,123,123,123,grey no-data (#3a4150) when index null; coloured otherwise
tract,robbery,count_derived,82568,98.5581,publishable,82568,0,0,0,0,204408.9983102088,0,10,10,5,0,grey no-data (#3a4150) when index null; coloured otherwise
tract,robbery,insufficient_exposure,2,0.0024,insufficient_exposure,0,2,2,2,0,7.391399242592983e-07,0,2,2,2,2,grey no-data (#3a4150) when index null; coloured otherwise
