year,source_name,source_url,source_date,pdf_page,published_label,published_count,comparison_target_v2_offense,comparison_quality,notes
2024,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,2025-04-07,8,Murder,65,murder,exact,APD Public Safety Commission backup lines 134 to 148 sourced from TXDPS Uniform Crime Report System.
2024,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,2025-04-07,8,Negligent Manslaughter,6,,context_only,Not in the V2 core offense frame.
2024,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,2025-04-07,8,Sexual Assault,668,rape,approximate,Best public Austin count for 11A 11B 11C combined. V2 rape comparison is approximate.
2024,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,2025-04-07,8,Fondling,282,,context_only,Not in the V2 core offense frame.
2024,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,2025-04-07,8,Aggravated Assault,3039,aggravated_assault,exact,APD Public Safety Commission backup lines 138 to 147 sourced from TXDPS Uniform Crime Report System.
2024,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,2025-04-07,9,Robbery,844,robbery,exact,APD Public Safety Commission backup lines 160 to 172 sourced from TXDPS Uniform Crime Report System.
2024,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,2025-04-07,9,Burglary/Breaking & Entering,4411,burglary,exact,APD Public Safety Commission backup lines 163 to 172 sourced from TXDPS Uniform Crime Report System.
2024,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,2025-04-07,9,Larceny/Theft Offenses,21985,larceny,exact,APD Public Safety Commission backup lines 164 to 172 sourced from TXDPS Uniform Crime Report System.
2024,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,2025-04-07,9,Motor Vehicle Theft,5968,motor_vehicle_theft,exact,APD Public Safety Commission backup lines 165 to 172 sourced from TXDPS Uniform Crime Report System.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,2025-07-07,8,Murder,26,murder,exact,Jan-May 2025 TXDPS Uniform Crime Report System offenses reported table in APD backup materials.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,2025-07-07,8,Sexual Assault,252,rape,approximate,Jan-May 2025 TXDPS Uniform Crime Report System offenses reported table; still only a sexual-assault proxy for V2 rape.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,2025-07-07,8,Aggravated Assault,1104,aggravated_assault,exact,Jan-May 2025 TXDPS Uniform Crime Report System offenses reported table in APD backup materials.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,2025-07-07,9,Robbery,349,robbery,exact,Jan-May 2025 TXDPS Uniform Crime Report System offenses reported table in APD backup materials.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,2025-07-07,9,Burglary/Breaking & Entering,1725,burglary,exact,Jan-May 2025 TXDPS Uniform Crime Report System offenses reported table in APD backup materials.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,2025-07-07,9,Larceny/Theft Offenses,8541,larceny,exact,Jan-May 2025 TXDPS Uniform Crime Report System offenses reported table in APD backup materials.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,2025-07-07,9,Motor Vehicle Theft,1846,motor_vehicle_theft,exact,Jan-May 2025 TXDPS Uniform Crime Report System offenses reported table in APD backup materials.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,2026-01-05,8,Murder,47,murder,exact,Jan-Nov 2025 TXDPS Uniform Crime Report System offenses reported table in APD backup materials.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,2026-01-05,8,Sexual Assault,637,rape,approximate,Jan-Nov 2025 TXDPS Uniform Crime Report System offenses reported table; still only a sexual-assault proxy for V2 rape.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,2026-01-05,8,Aggravated Assault,2452,aggravated_assault,exact,Jan-Nov 2025 TXDPS Uniform Crime Report System offenses reported table in APD backup materials.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,2026-01-05,9,Robbery,739,robbery,exact,Jan-Nov 2025 TXDPS Uniform Crime Report System offenses reported table in APD backup materials.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,2026-01-05,9,Burglary/Breaking & Entering,4034,burglary,exact,Jan-Nov 2025 TXDPS Uniform Crime Report System offenses reported table in APD backup materials.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,2026-01-05,9,Larceny/Theft Offenses,19929,larceny,exact,Jan-Nov 2025 TXDPS Uniform Crime Report System offenses reported table in APD backup materials.
2025,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,2026-01-05,9,Motor Vehicle Theft,4044,motor_vehicle_theft,exact,Jan-Nov 2025 TXDPS Uniform Crime Report System offenses reported table in APD backup materials.
