city_key,year,v2_offense,source_variant,source_count,source_mapping_basis,published_count,published_source_name,published_source_url,published_label,comparison_quality,diff_source_minus_published,pct_diff_source_minus_published,recommendation,notes
austin,2024_full_year,murder,socrata_exact_ucr_category,56,ucr_category=09A,65,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,Murder,exact,-9,-13.85,blocked,Direct public source remains materially below official TXDPS UCR murder count.
austin,2024_full_year,murder,crimeviewer_public_layer,66,CrimeViewer layer 0 homicide points,65,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,Murder,supporting_public_layer,1,1.54,blocked,Separate public layer is closer but uses a different code family and does not change the main Austin contract decision.
austin,2025_jan_may,murder,socrata_exact_ucr_category,21,ucr_category=09A,26,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,Murder,exact,-5,-19.23,blocked,Current official Jan-May 2025 TXDPS UCR table confirms persistent undercount.
austin,2025_jan_nov,murder,socrata_exact_ucr_category,38,ucr_category=09A,47,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,Murder,exact,-9,-19.15,blocked,Current official Jan-Nov 2025 TXDPS UCR table confirms persistent undercount.
austin,2024_full_year,rape,socrata_exact_public_proxy,693,ucr_category in 11A 11B 11C,668,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,Sexual Assault,approximate,25,3.74,approximate_only,Published Austin reference uses Sexual Assault rather than a strict V2 rape bucket so rape stays outside the clean exact-selective path.
austin,2025_jan_may,rape,socrata_exact_public_proxy,283,ucr_category in 11A 11B 11C,252,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,Sexual Assault,approximate,31,12.30,approximate_only,Current official Jan-May 2025 reference is still Sexual Assault rather than strict V2 rape.
austin,2025_jan_nov,rape,socrata_exact_public_proxy,643,ucr_category in 11A 11B 11C,637,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,Sexual Assault,approximate,6,0.94,approximate_only,Current official Jan-Nov 2025 reference is still Sexual Assault rather than strict V2 rape.
austin,2024_full_year,robbery,socrata_exact_ucr_category,818,ucr_category=120,844,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=448925,Robbery,exact,-26,-3.08,offense_selectively_promotable,Close direct public reconciliation.
austin,2025_jan_may,robbery,socrata_exact_ucr_category,327,ucr_category=120,349,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=454220,Robbery,exact,-22,-6.30,offense_selectively_promotable,Current official Jan-May 2025 TXDPS UCR table remains close enough for the exact path.
austin,2025_jan_nov,robbery,socrata_exact_ucr_category,704,ucr_category=120,739,APD Quarterly Update Data and Backup Materials,https://services.austintexas.gov/edims/document.cfm?id=465197,Robbery,exact,-35,-4.74,offense_selectively_promotable,Current official Jan-Nov 2025 TXDPS UCR table remains close enough for the exact path.
