reference_window,offense,published_count,published_source_name,published_source_url,notes
2024_ytd_through_2024_12_28,murder,199,Baltimore Police Department Executive Summary week ending 12/28/2024,https://www.arcgis.com/sharing/rest/content/items/af47f490708049148128fb53f9123eca/data,Official city-owned PDF.
2024_ytd_through_2024_12_28,shooting,411,Baltimore Police Department Executive Summary week ending 12/28/2024,https://www.arcgis.com/sharing/rest/content/items/af47f490708049148128fb53f9123eca/data,Official city-owned PDF.
2024_ytd_through_2024_12_28,rape,314,Baltimore Police Department Executive Summary week ending 12/28/2024,https://www.arcgis.com/sharing/rest/content/items/af47f490708049148128fb53f9123eca/data,Official city-owned PDF.
2024_ytd_through_2024_12_28,robbery,3267,Baltimore Police Department Executive Summary week ending 12/28/2024,https://www.arcgis.com/sharing/rest/content/items/af47f490708049148128fb53f9123eca/data,Official city-owned PDF total robbery series.
2024_ytd_through_2024_12_28,aggravated_assault,5347,Baltimore Police Department Executive Summary week ending 12/28/2024,https://www.arcgis.com/sharing/rest/content/items/af47f490708049148128fb53f9123eca/data,Official city-owned PDF.
2024_ytd_through_2024_12_28,burglary,2898,Baltimore Police Department Executive Summary week ending 12/28/2024,https://www.arcgis.com/sharing/rest/content/items/af47f490708049148128fb53f9123eca/data,Official city-owned PDF.
2024_ytd_through_2024_12_28,larceny,14120,Baltimore Police Department Executive Summary week ending 12/28/2024,https://www.arcgis.com/sharing/rest/content/items/af47f490708049148128fb53f9123eca/data,Official city-owned PDF total larceny series including larceny from auto.
2024_ytd_through_2024_12_28,motor_vehicle_theft,5871,Baltimore Police Department Executive Summary week ending 12/28/2024,https://www.arcgis.com/sharing/rest/content/items/af47f490708049148128fb53f9123eca/data,Official city-owned PDF auto theft series.
2024_ytd_through_2024_12_28,arson,118,Baltimore Police Department Executive Summary week ending 12/28/2024,https://www.arcgis.com/sharing/rest/content/items/af47f490708049148128fb53f9123eca/data,Official city-owned PDF.
2024_full_year,murder,201,Baltimore Police Department 2024 year-end press release,https://www.baltimorepolice.org/news/baltimore-police-department-releases-2024-year-end-crime-report-and-key-highlights,Official annual public release; legacy feed snapshot still shows 199.
2024_full_year,shooting,414,Baltimore Police Department 2024 year-end press release,https://www.baltimorepolice.org/news/baltimore-police-department-releases-2024-year-end-crime-report-and-key-highlights,Official annual public release; legacy feed snapshot still shows 415.
