city_key,packet_dir,packet_status,current_owner,production_ready,city_share_integration_status,reconciliation_status,has_research_findings,has_reconciliation_summary,has_packet_offense_status,offense_selective_ready_count,offense_selective_ready_offenses,central_recommended_disposition,packet_recommended_disposition,source_name,state_abbr
_factory,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/_factory,yes,new_york|chicago|seattle|san_francisco|austin|mesa|live_builder_code,,,,1,0,0,0,,,,,
atlanta_ga,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/atlanta_ga,,,partial,generic_contract_share_pilot,,1,1,1,0,,,ready_now,,
baton_rouge_la,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/baton_rouge_la,,,partial,generic_contract_share_pilot,,1,1,1,0,,,ready_now,,
charlotte,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/charlotte,,,partial,pilot_share_only,,1,1,1,0,,,ready_now,,
cincinnati,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/cincinnati,,,partial,gate15_generic_share_only,,1,1,1,0,,,ready_now,,
cleveland_oh,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/cleveland_oh,,,partial,generic_contract_share_pilot,,1,1,1,0,,,ready_now,,
colorado_springs_co,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/colorado_springs_co,,,partial,generic_contract_share_pilot,,1,1,1,0,,,ready_now,,
dallas,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/dallas,,,partial,pilot_share_only,,1,1,1,0,,,ready_now,,
fort_worth_tx,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/fort_worth_tx,,,partial,generic_contract_share_pilot,,1,1,1,0,,,ready_now,,
indianapolis_in,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/indianapolis_in,,,partial,generic_contract_share_pilot,,1,1,1,0,,,ready_now,,
kansas_city_mo,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/kansas_city_mo,,,partial,gate15_generic_share_only,,1,1,1,0,,,ready_now,,
louisville_ky,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/louisville_ky,,,partial,generic_contract_share_pilot,,1,1,1,0,,,ready_now,,
milwaukee_wi,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/milwaukee_wi,,,partial,generic_contract_share_pilot,,1,1,1,0,,,ready_now,,
montgomery_county_md,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/montgomery_county_md,,,no,pilot_share_only,,1,1,1,0,,,insufficient_quality,,
new_orleans_la,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/new_orleans_la,,,partial,generic_contract_share_pilot,,1,1,1,0,,,ready_now,,
omaha_ne,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/omaha_ne,,,partial,generic_contract_share_pilot,,1,1,1,0,,,ready_now,,
orlando_fl,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/orlando_fl,,,partial,generic_contract_share_pilot,,1,1,1,0,,,ready_now,,
raleigh_nc,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/raleigh_nc,,,partial,generic_contract_share_pilot,,1,1,1,0,,,ready_now,,
sacramento_ca,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/sacramento_ca,,,partial,generic_contract_share_pilot,,1,1,1,0,,,ready_now,,
san_diego,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/san_diego,,,partial,pilot_share_only,,1,1,1,0,,,ready_now,,
tucson,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/packets/city/tucson,,,partial,pilot_share_only,,1,1,1,0,,,ready_now,,
