reference_year,reference_type,reference_label,official_count,source_name,source_url,source_contract
2023,violent,Homicide,252,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' violent-offense year-end comparison table; homicide footnoted as victim-based preliminary data."
2024,violent,Homicide,203,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' violent-offense year-end comparison table; homicide footnoted as victim-based preliminary data."
2023,violent,Sex Assault,673,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' violent-offense year-end comparison table; sex assault footnoted as victim-based preliminary data."
2024,violent,Sex Assault,616,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' violent-offense year-end comparison table; sex assault footnoted as victim-based preliminary data."
2023,violent,Aggravated Assault,10445,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' violent-offense year-end comparison table; aggravated assault footnoted as victim-based preliminary data."
2024,violent,Aggravated Assault,9797,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' violent-offense year-end comparison table; aggravated assault footnoted as victim-based preliminary data."
2023,violent,Robbery,1394,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' violent-offense year-end comparison table."
2024,violent,Robbery,1210,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' violent-offense year-end comparison table."
2023,property,Burglary,4828,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' property-offense year-end comparison table."
2024,property,Burglary,4766,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' property-offense year-end comparison table."
2023,property,Larceny,15630,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' property-offense year-end comparison table."
2024,property,Larceny,15623,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' property-offense year-end comparison table."
2023,property,Motor Vehicle Theft,9260,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' property-offense year-end comparison table; motor-vehicle-theft footnoted as vehicle-based preliminary data."
2024,property,Motor Vehicle Theft,8408,Detroit 2024 Year End Stats Part 1 offense table,https://detroitmi.gov/sites/detroitmi.localhost/files/news/2025-01/2024YearEndStats_DraftV4.pdf,"PDF page 4 '2024 Part 1 Crimes' property-offense year-end comparison table; motor-vehicle-theft footnoted as vehicle-based preliminary data."
