source_field,source_value,source_label,v2_offense,include_in_v2,counting_basis,notes
NIBRS_Code,09A,Murder and Nonnegligent Manslaughter,murder,yes,row_count,"Direct homicide code; 2024 row count is 71."
NIBRS_Code,09B,Negligent Manslaughter,murder,no,exclude,"Not repo murder."
NIBRS_Code,09C,Justifiable Homicide,murder,no,exclude,"Not a crime."
NIBRS_Code,11A,Sex Offenses,rape,no,exclude,"Public feed collapses sex-crime codes into a generic Sex Offenses bucket, not a strict repo rape bucket."
NIBRS_Code,11B,Sex Offenses,rape,no,exclude,"Same aggregated sex-offense bucket."
NIBRS_Code,11D,Sex Offenses,rape,no,exclude,"Same aggregated sex-offense bucket."
NIBRS_Code,36B,Sex Offenses,rape,no,exclude,"Same aggregated sex-offense bucket; do not treat as a clean repo rape mapping."
NIBRS_Code,120,Robbery,robbery,yes,row_count,"Direct robbery code; 2024 row count is 1601."
NIBRS_Code,13A,Aggravated Assault,aggravated_assault,yes,row_count,"Direct aggravated-assault code; 2024 row count is 2385."
NIBRS_Code,220,Burglary/Breaking & Entering,burglary,yes,row_count,"Direct burglary code; 2024 row count is 2627."
NIBRS_Code,23A,Pocket-picking,larceny,yes,row_count,"Part of the repo larceny family."
NIBRS_Code,23B,Purse-snatching,larceny,yes,row_count,"Part of the repo larceny family."
NIBRS_Code,23C,Shoplifting,larceny,yes,row_count,"Part of the repo larceny family."
NIBRS_Code,23D,Theft From Building,larceny,yes,row_count,"Part of the repo larceny family."
NIBRS_Code,23E,Theft From Coin-Operated Machine or Device,larceny,yes,row_count,"Part of the repo larceny family."
NIBRS_Code,23F,Theft From Motor Vehicle,larceny,yes,row_count,"Part of the repo larceny family."
NIBRS_Code,23G,Theft of Motor Vehicle Parts or Accessories,larceny,yes,row_count,"Part of the repo larceny family."
NIBRS_Code,23H,All Other Larceny,larceny,yes,row_count,"Part of the repo larceny family; 2024 row-count family total is 12919."
NIBRS_Code,240,Motor Vehicle Theft,motor_vehicle_theft,yes,row_count,"Direct motor-vehicle-theft code; 2024 row count is 6677."
