reference_year,reference_type,reference_label,official_count,source_name,source_url,source_contract
2023,violent,Homicide,103,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
2024,violent,Homicide,103,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
2023,violent,Rape,537,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
2024,violent,Rape,643,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
2023,violent,Robbery,1307,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
2024,violent,Robbery,1169,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
2023,violent,Aggravated Assault,6962,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
2024,violent,Aggravated Assault,6559,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
2023,property,Burglary,2908,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
2024,property,Burglary,2921,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
2023,property,Larceny,23234,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
2024,property,Larceny,23781,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
2023,property,Vehicle Theft,5679,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
2024,property,Vehicle Theft,5201,Annual Criminal Justice Trends 2015-2024 reported-crime table,https://www.nashville.gov/sites/default/files/2025-12/CJP-Criminal-Justice-Trends-2024.pdf?ct=1765199758,"PDF page 4 'Reported Crimes' crime-index table sourced from MNPD Strategic Development Division, Crime Analysis Section."
