offense,located_count,latitude,longitude,point_count,point_share
aggravated_assault,2597,37.79925,-122.23121,22,0.008471313053523296
burglary,3221,37.78046,-122.23329,52,0.01614405464141571
burglary,3221,37.74571,-122.19577,34,0.01055572803477181
burglary,3221,37.78611,-122.19718,20,0.006209251785159888
burglary,3221,37.79828,-122.27196,19,0.0058987891959018934
burglary,3221,37.77637,-122.23205,18,0.005588326606643899
burglary,3221,37.83479,-122.24923,18,0.005588326606643899
larceny,15134,37.73661,-122.19682,230,0.015197568389057751
larceny,15134,37.80508,-122.27307,125,0.008259548037531386
larceny,15134,37.73072,-122.19899,115,0.007598784194528876
larceny,15134,37.81004,-122.24544,97,0.006409409277124356
larceny,15134,37.72808,-122.19756,90,0.0059468745870225985
larceny,15134,37.74209,-122.1953,80,0.005286110744020087
larceny,15134,37.8365,-122.26249,77,0.005087881591119334
motor_vehicle_theft,9966,37.79908,-122.27313,121,0.012141280353200883
rape,215,37.79925,-122.23121,5,0.023255813953488372
robbery,2594,37.73661,-122.19682,22,0.008481110254433308
robbery,2594,37.79969,-122.25136,16,0.006168080185042405
robbery,2594,37.74209,-122.1953,15,0.005782575173477255
robbery,2594,37.77531,-122.23069,14,0.005397070161912105
robbery,2594,37.81004,-122.24544,14,0.005397070161912105
robbery,2594,37.74213,-122.15065,13,0.0050115651503469544
