source_feed,include_in_v2,incident_category,incident_subcategory,incident_description,normalized_category,NIBRS_Offense_Code,NIBRS_Offense_Type,v2_offense,mapping_quality,mapping_basis,crosswalk_note,observed_rows_2024
late_2018_present,yes,Assault,Aggravated Assault,Assault or Attempted Murder Upon Gov't Officers,ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,1
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Aggravated, On Police Off., W/ Other Weapon",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,40
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Aggravated, On Police Officer, W/ Force",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,36
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Aggravated, On Police Officer, W/ Knife",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,4
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Aggravated, W/ Force",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,752
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Aggravated, W/ Gun",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,313
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Aggravated, W/ Knife",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,370
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Aggravated, W/ Machine Gun",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,2
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,1039
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Aggravated, W/ Semi Auto",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,4
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Att. Homicide, W/ Force",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,6
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Att. Homicide, W/ Gun",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,50
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Att. Homicide, W/ Knife",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,36
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Att. Homicide, W/ Other Weapon",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,12
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Att. Mayhem, W/ Knife",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,3
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Mayhem, W/ Force",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,14
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Mayhem, W/ Knife",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,5
late_2018_present,yes,Assault,Aggravated Assault,"Assault, Mayhem, W/ Other Weapon",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,3
late_2018_present,yes,Assault,Aggravated Assault,"Assault, W/ Caustic Chemical to Injure or Disfigure",ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,54
late_2018_present,no,Assault,Aggravated Assault,"Firearm, Discharging At An Inhabited Dwelling",ASSAULT,520,520 Weapon Law Violations,,excluded,legacy_categories_sf_desc_join,,10
late_2018_present,no,Assault,Aggravated Assault,"Firearm, Discharging at Occupied Bldg, Vehicle, or Aircraft",ASSAULT,520,520 Weapon Law Violations,,excluded,legacy_categories_sf_desc_join,,14
late_2018_present,no,Assault,Aggravated Assault,"Firearm, Discharging at Unoccupied Bldg, Vehicle or Aircraft",ASSAULT,520,520 Weapon Law Violations,,excluded,legacy_categories_sf_desc_join,,20
late_2018_present,no,Assault,Aggravated Assault,"Firearm, Discharging in Grossly Negligent Manner",ASSAULT,520,520 Weapon Law Violations,,excluded,legacy_categories_sf_desc_join,,58
late_2018_present,no,Assault,Aggravated Assault,"Firearm, Negligent Discharge",ASSAULT,520,520 Weapon Law Violations,,excluded,legacy_categories_sf_desc_join,,3
late_2018_present,no,Assault,Aggravated Assault,Shooting into Inhabited Dwelling or Occupied Vehicle,ASSAULT,520,520 Weapon Law Violations,,excluded,legacy_categories_sf_desc_join,,66
late_2018_present,no,Assault,Simple Assault,"Assault, Non-Aggravated",ASSAULT,13B,13B Simple Assault,,excluded,legacy_categories_sf_desc_join,,95
late_2018_present,no,Assault,Simple Assault,"Assault, Non-Aggravated, Att.",ASSAULT,13B,13B Simple Assault,,excluded,legacy_categories_sf_desc_join,,47
late_2018_present,no,Assault,Simple Assault,Battery,ASSAULT,13B,13B Simple Assault,,excluded,legacy_categories_sf_desc_join,,4276
late_2018_present,yes,Assault,Simple Assault,Battery with Serious Injuries,ASSAULT,13A,13A Aggravated Assault,aggravated_assault,exact,legacy_categories_sf_desc_join,,210
late_2018_present,no,Assault,Simple Assault,"Battery, Of A Police Officer",ASSAULT,13B,13B Simple Assault,,excluded,legacy_categories_sf_desc_join,,122
late_2018_present,no,Assault,Simple Assault,"Battery, Sexual",ASSAULT,11D,11D Fondling,,excluded,legacy_categories_sf_desc_join,,132
late_2018_present,no,Assault,Simple Assault,"Battery, former Spouse or Dating Relationship",ASSAULT,13B,13B Simple Assault,,excluded,legacy_categories_sf_desc_join,,311
late_2018_present,no,Assault,Simple Assault,False Imprisonment,ASSAULT,100,100 Kidnapping/Abduction,,excluded,legacy_categories_sf_desc_join,,137
late_2018_present,no,Assault,Simple Assault,"Sexual Assault, Administering Drug to Commit",ASSAULT,11D,11D Fondling,,excluded,legacy_categories_sf_desc_join,,4
late_2018_present,yes,Burglary,Burglary - Commercial,"Burglary, Safe,  Store",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,20
late_2018_present,yes,Burglary,Burglary - Commercial,"Burglary, Safe,  Warehouse",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,1
late_2018_present,yes,Burglary,Burglary - Commercial,"Burglary, Store, Att. Forcible Entry",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,81
late_2018_present,yes,Burglary,Burglary - Commercial,"Burglary, Store, Forcible Entry",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,433
late_2018_present,yes,Burglary,Burglary - Commercial,"Burglary, Store, Unlawful Entry",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,399
late_2018_present,yes,Burglary,Burglary - Commercial,"Burglary, Warehouse Under Constr, Forcible Entry",BURGLARY,,,,exact,legacy_categories_sf_desc_join,,3
late_2018_present,yes,Burglary,Burglary - Commercial,"Burglary, Warehouse, Att. Forcible Entry",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,16
late_2018_present,yes,Burglary,Burglary - Commercial,"Burglary, Warehouse, Forcible Entry",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,63
late_2018_present,yes,Burglary,Burglary - Commercial,"Burglary, Warehouse, Unlawful Entry",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,21
late_2018_present,yes,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Att. Forcible Entry",BURGLARY,22A,22A Residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,78
late_2018_present,yes,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Forcible Entry",BURGLARY,22A,22A Residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,262
late_2018_present,yes,Burglary,Burglary - Hot Prowl,"Burglary, Hot Prowl, Unlawful Entry",BURGLARY,22A,22A Residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,289
late_2018_present,yes,Burglary,Burglary - Other,"Burglary, Non-residential, Att. Forcible",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,75
late_2018_present,yes,Burglary,Burglary - Other,"Burglary, Non-residential, Forcible Entry",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,508
late_2018_present,yes,Burglary,Burglary - Other,"Burglary, Non-residential, Unlawful Entry",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,227
late_2018_present,yes,Burglary,Burglary - Other,"Burglary, Other Bldg. Under Constr., Att. Forcible",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,5
late_2018_present,yes,Burglary,Burglary - Other,"Burglary, Other Bldg. Under Constr., Forcible Entry",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,39
late_2018_present,yes,Burglary,Burglary - Other,"Burglary, Other Bldg. Under Constr., Unlawful Entry",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,23
late_2018_present,yes,Burglary,Burglary - Other,"Burglary, Other Bldg., Att. Forcible Entry",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,114
late_2018_present,yes,Burglary,Burglary - Other,"Burglary, Other Bldg., Forcible Entry",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,678
late_2018_present,yes,Burglary,Burglary - Other,"Burglary, Other Bldg., Unlawful Entry",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,741
late_2018_present,yes,Burglary,Burglary - Other,"Burglary, Safe, Other",BURGLARY,22B,22B Non-residential Burglary/Breaking & Entering,burglary,exact,legacy_categories_sf_desc_join,,15
