year,source_name,source_url,source_basis,offense,published_label,published_count
2024,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",murder,Homicide,35
2024,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",rape,Rape,259
2024,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",robbery,Robbery,2154
2024,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",aggravated_assault,Assault,2348
2024,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",burglary,Burglary,5176
2024,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",larceny,Larceny Theft,21260
2024,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",motor_vehicle_theft,Motor Vehicle Theft,5440
2025,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",murder,Homicide,28
2025,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",rape,Rape,215
2025,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",robbery,Robbery,1642
2025,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",aggravated_assault,Assault,2063
2025,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",burglary,Burglary,3744
2025,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",larceny,Larceny Theft,16909
2025,SFPD Crime Report December 2025,https://www.sanfranciscopolice.org/sites/default/files/2026-02/SFPD%20Crime%20Report%20December%202025.pdf,"Citywide YTD 2024 and YTD 2025 tables in the official SFPD December 2025 CompStat PDF. The PDF notes that most lines are based on date of occurrence, except rape and arson are based on date reported, and homicide reflects victims.",motor_vehicle_theft,Motor Vehicle Theft,3054
