dataset_id,dataset_name,field_position,field_name,display_name,data_type
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,1,pdid,PdId,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,2,incidntnum,IncidntNum,text
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,3,incident_code,Incident Code,text
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,4,category,Category,text
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,5,descript,Descript,text
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,6,dayofweek,DayOfWeek,text
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,7,date,Date,calendar_date
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,8,time,Time,text
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,9,pddistrict,PdDistrict,text
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,10,resolution,Resolution,text
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,11,address,Address,text
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,12,x,X,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,13,y,Y,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,14,location,location,point
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,15,data_loaded_at,data_loaded_at,calendar_date
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,16,:@computed_region_6qbp_sg9q,SF Find Neighborhoods 2 2,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,17,:@computed_region_qgnn_b9vv,Current Police Districts 2 2,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,18,:@computed_region_26cr_cadq,Current Supervisor Districts 2 2,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,19,:@computed_region_ajp5_b2md,Analysis Neighborhoods 2 2,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,20,:@computed_region_yftq_j783,DELETE - Fire Prevention Districts 2 2,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,21,:@computed_region_p5aj_wyqh,DELETE - Police Districts 2 2,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,22,:@computed_region_rxqg_mtj9,DELETE - Supervisor Districts 2 2,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,23,:@computed_region_bh8s_q3mv,DELETE - Zip Codes 2 2,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,24,:@computed_region_fyvs_ahh9,DELETE - Neighborhoods 2 2,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,25,:@computed_region_9dfj_4gjx,DELETE - 2017 Fix It Zones 2 2,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,26,:@computed_region_n4xg_c4py,Civic Center Harm Reduction Project Boundary 2 2,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,27,:@computed_region_4isq_27mq,Fix It Zones as of 2017-11-06  2 2,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,28,:@computed_region_fcz8_est8,DELETE - HSOC Zones 2 2,number
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,29,:@computed_region_pigm_ib2e,Fix It Zones as of 2018-02-07 2 2,number
