state_fips,expected_counties,manifest_rows,zip_files_present,state_parquet_present,downloaded,failed_permanent,failed_transient,http_403,http_429,max_attempt_count,manifest_coverage_share,zip_coverage_share
01,67,9,66,False,8,0,1,0,1,4,0.134328,0.985075
02,30,20,30,True,20,0,0,0,0,1,0.666667,1.0
04,15,0,15,True,0,0,0,0,0,0,0.0,1.0
05,75,24,75,True,24,0,0,0,0,1,0.32,1.0
06,58,58,58,True,56,2,0,2,0,2,1.0,1.0
08,64,63,64,True,47,16,0,16,0,2,0.984375,1.0
09,8,7,8,True,7,0,0,0,0,2,0.875,1.0
10,3,3,3,True,2,1,0,1,0,2,1.0,1.0
11,1,0,1,True,0,0,0,0,0,0,0.0,1.0
12,67,65,67,True,65,0,0,0,0,3,0.970149,1.0
13,159,144,159,True,144,0,0,0,0,2,0.90566,1.0
15,5,5,5,True,5,0,0,0,0,1,1.0,1.0
16,44,44,44,True,44,0,0,0,0,1,1.0,1.0
17,102,102,102,True,102,0,0,0,0,1,1.0,1.0
18,92,92,92,True,92,0,0,0,0,1,1.0,1.0
19,99,72,72,False,72,0,0,0,0,1,0.727273,0.727273
23,16,0,3,False,0,0,0,0,0,0,0.0,0.1875
25,14,0,2,False,0,0,0,0,0,0,0.0,0.142857
27,87,0,1,False,0,0,0,0,0,0,0.0,0.011494
31,93,0,2,False,0,0,0,0,0,0,0.0,0.021505
38,53,0,1,False,0,0,0,0,0,0,0.0,0.018868
40,77,0,1,False,0,0,0,0,0,0,0.0,0.012987
41,36,0,1,False,0,0,0,0,0,0,0.0,0.027778
42,67,0,3,False,0,0,0,0,0,0,0.0,0.044776
47,95,0,2,False,0,0,0,0,0,0,0.0,0.021053
48,254,0,1,False,0,0,0,0,0,0,0.0,0.003937
51,133,0,1,False,0,0,0,0,0,0,0.0,0.007519
54,55,0,1,False,0,0,0,0,0,0,0.0,0.018182
72,78,0,2,False,0,0,0,0,0,0,0.0,0.025641
