year,source_name,source_url,published_label,extract_role,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,published_total,comparison_target_v2_offense,comparison_quality,source_line_reference,notes
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Homicide,v2_core_exact,0,0,0,0,1,0,1,0,1,1,0,0,5,murder,exact,L593,City page labels this row as Homicide within the UCR Part 1 table. The displayed annual total is 5 even though the visible monthly cells sum to 4.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Rape,v2_core_exact,0,1,0,1,0,0,2,2,3,0,0,0,9,rape,exact,L594,Direct city UCR Part 1 row.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Robbery,v2_core_exact,2,3,4,2,0,4,2,1,2,2,4,0,26,robbery,exact,L595,Parent robbery total on the city page.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Robbery - Firearm,subslice_context,1,0,1,1,0,2,2,0,1,0,1,0,9,robbery,published_subslice,L596,Published weapon subtype of robbery; not a standalone V2 offense.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Robbery - Knife,subslice_context,0,0,0,0,0,0,0,0,1,1,0,0,2,robbery,published_subslice,L597,Published weapon subtype of robbery; not a standalone V2 offense.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Robbery - Other,subslice_context,0,0,1,1,0,0,0,0,0,1,2,0,5,robbery,published_subslice,L598,Published weapon subtype of robbery; not a standalone V2 offense.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Robbery - Strong Arm,subslice_context,1,3,2,0,0,2,0,1,0,0,1,0,10,robbery,published_subslice,L599,Published robbery subtype; subslices sum to the robbery parent row.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Assaults,context_only,30,28,42,42,39,33,40,55,52,33,34,29,457,,broader_than_target,L600,Broader assault family that contains aggravated and simple assault subtotals.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Aggravated Subtotal,v2_core_exact,5,9,10,8,16,9,8,15,9,3,5,9,106,aggravated_assault,exact,L601,Directly comparable aggravated assault subtotal nested under Assaults.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Simple Assaults Subtotal,context_only,25,19,32,34,23,24,31,40,43,30,29,20,351,,not_in_v2_core,L602,Published city subtotal outside the V2 core offense frame. The displayed annual total is 351 even though the visible monthly cells sum to 350.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Burglary,v2_core_exact,6,8,5,7,15,9,9,5,4,7,6,7,88,burglary,exact,L603,Direct city UCR Part 1 row.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Larceny,v2_core_exact,30,34,52,41,36,57,35,32,23,26,21,25,412,larceny,exact,L604,Direct city UCR Part 1 row.
2024,Crime Statistics | Brunswick GA,https://www.brunswickga.org/police/page/crime-statistics,Vehicle Theft,v2_core_exact,4,6,4,10,9,7,7,3,3,6,3,4,66,motor_vehicle_theft,exact,L605,Direct city UCR Part 1 row.
