source_id,title,url,publisher,source_type,key_finding
1,About DBPD,https://www.daytonabeach.gov/928/About-DBPD,City of Daytona Beach,official_city_government,"The City says DBPD is the law-enforcement agency for Daytona Beach and describes a staffed department of roughly 400 people including approximately 250 full-time officers."
2,Police Department,https://www.daytonabeach.gov/280/Police-Department/3862481777,City of Daytona Beach,official_city_government,"The City maintains an active Daytona Beach Police Department page with department contact information and current operations."
3,Adopted Budget Fiscal Year 2025-2026,https://www.daytonabeach.gov/Archive/ViewFile/Item/7755,City of Daytona Beach,official_city_budget,"The adopted budget contains a standalone Police Department section with a police-chief-led organizational chart, 335 total budgeted positions including 206 police officers, and a 2025-2026 police budget of 54,599,507 dollars."
4,CompStat,https://www.daytonabeach.gov/643/CompStat,City of Daytona Beach,official_police_page,"DBPD says it uses a computerized database to map criminal activity, detect patterns, and identify hot spots in real time."
5,Request A Report,https://www.daytonabeach.gov/994/Request-A-Report,City of Daytona Beach,official_police_records_page,"DBPD's official records page says public-records requests may include crime grids, indicating a city-maintained local records surface for offense backfill."
6,County and Municipal Offense Report 2020A,https://www.fdle.state.fl.us/getContentAsset/f371c6d4-5ac3-4e46-9f13-9b2a9f4cad99/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/County_and_Municipal_Offense_Report_2020A.pdf?language=en,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2020 county-and-municipal offense report lists Daytona Beach Police Department as a municipal row with population 73,703 and total index crime 2,870."
7,County and Municipal Offense Report 2021A,https://www.fdle.state.fl.us/CJAB/UCR/UCR/2021/Annual/County_and_Municipal_Offense_Report_2021A.aspx,Florida Department of Law Enforcement,official_state_crime_publication,"FDLE's 2021 county-and-municipal offense report lists Daytona Beach Police Department as a municipal row with population 74,113 and total index crime 2,874."
8,FIBRS Offense Detail 2021-2025 Q2 workbook,https://www.fdle.state.fl.us/getContentAsset/62327ea9-1c32-4e8b-a508-acd919320b3f/73aabf56-e6e5-4330-95a3-5f2a270a1d2b/FIBRS_Offense_Detail_2021-2025_Q2-1.xlsx?language=en,Florida Department of Law Enforcement,official_state_crime_workbook,"Inspection of the official FDLE FIBRS offense workbook found no Daytona Beach Police Department row in the 2021, 2022, 2023, 2024, or 2025 Q2 sheets."
9,agency_to_jurisdiction_crosswalk.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_to_jurisdiction_crosswalk.parquet,CrimeRisk repo,internal_repo_artifact,"The live crosswalk routes FL0640100 exclusively to Daytona Beach city."
10,agency_master.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/reference/agency_master.parquet,CrimeRisk repo,internal_repo_artifact,"FL0640100 is classified as a local police department and is flagged with SRS and NIBRS presence through 2024."
11,agency_year_observations.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/observations/agency_year_observations.parquet,CrimeRisk repo,internal_repo_artifact,"FL0640100 currently has only SRS annual rows in observations, with positive totals in 2018, 2019, 2020, and 2022 but zeros in 2021, 2023, and 2024."
12,jurisdiction_controls_2024.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/controls/jurisdiction_controls_2024.parquet,CrimeRisk repo,internal_repo_artifact,"All 2024 Daytona Beach offense controls are fully filled because preferred reported support is zero and the row is treated as structurally missing or unreliable."
13,municipal_target_review_queue.parquet,/Users/uzairqadir/Projects/data-projects/national/crimerisk-clone/state/review/municipal_target_review_queue.parquet,CrimeRisk repo,internal_repo_artifact,"Daytona Beach is queued in high_impact_full_fill_place with total_fill_count 3483.385507 and zero reported support."
